FB_Name,SC_Name,analysis_position_code,analysis_position_jp,psv99_per_match,assist_cross_proxy_per90,sprint_distance_full_all_per_match,dropping_off_runs_proxy_per90,pressure_engagement_proxy_per90,consecutive_on_ball_engagement_proxy_per90,above_hsr_engagement_proxy_per_match,dribble_success_rate_pct,carry_into_box_proxy_per90,cross_reception_proxy_per90,shot_conversion_rate_pct,pulling_wide_runs_proxy_per90,cross_success_rate_pct,opponent_box_ball_gain_proxy_per90,dribble_shot_proxy_per90
西谷　優希,Yuki  Nishiya,SH,サイドハーフ,27.72295081967213,0.26042122186495176,130.0327868852459,49.340836012861736,2.6913183279742765,7.4947717041800646,48.49180327868852,90.0,0.6945337620578778,0.28938906752411575,7.142857142857142,1.1286173633440513,23.074358974358972,0.8392282958199357,0.2604501607717042
岡田　優希,Yuki Okada,SH,サイドハーフ,28.415000000000003,0.833959731543624,173.03333333333333,20.30680728667306,1.3231064237775647,5.868178331735378,58.9,58.88598130841122,2.070949185043145,1.4956855225311603,16.455696202531644,2.3010546500479387,36.2425,0.3451581975071908,1.8123106423777566
西村　恭史,Yasufumi Nishimura,SH,サイドハーフ,28.6,0.21908553546592494,209.96610169491527,46.28303198887343,2.0027816411682893,8.105413769123782,55.47457627118644,25.0,0.844923504867872,0.844923504867872,2.272727272727273,0.844923504867872,25.92962962962963,0.5006954102920723,0.09388038942976357
森　晃太,Kota Mori,SH,サイドハーフ,29.446031746031746,0.799449378330373,229.95238095238096,35.77619893428064,1.1509769094138544,10.007712255772647,54.22222222222222,65.14628571428571,3.2930728241563054,1.8543516873889874,7.766990291262135,3.4849023090586146,22.94036697247706,0.44760213143872113,3.6449520426287747
山内　陸,Riku Yamauchi,SH,サイドハーフ,27.971153846153847,0.25028121137206427,174.96153846153845,38.38071693448702,2.1971569839307787,7.843099505562422,60.40384615384615,69.23846153846155,1.0290482076637826,0.33374536464771326,0.0,1.0012360939431397,24.997222222222216,1.3071693448702102,0.5006736711990112
徳永　晃太郎,Kotaro Tokunaga,SH,サイドハーフ,26.871666666666666,0.21922420796100733,111.26666666666667,57.53858651502843,1.3891145410235581,9.796584077985377,48.666666666666664,45.45454545454545,1.5718927701056051,0.4752233956133225,7.6923076923076925,1.3525588952071486,16.208108108108107,0.6580016246953696,0.1827782290820471
富所　悠,Yu Tomidokoro,SH,サイドハーフ,25.567307692307693,0.17482517482517482,48.73076923076923,38.56643356643357,0.9790209790209791,10.31576923076923,34.21153846153846,26.923076923076923,1.7482517482517481,0.9440559440559441,18.181818181818183,0.5594405594405595,31.25,0.24475524475524477,0.24475524475524477
山本　康裕,Kosuke Yamamoto,SH,サイドハーフ,27.401724137931033,0.22000349162011174,123.36206896551724,56.84706703910614,1.3512569832402235,16.373652234636875,40.706896551724135,60.0,1.0370111731843576,0.4399441340782123,3.7037037037037033,1.0998603351955307,20.002857142857145,0.8170391061452514,0.18854748603351956
永田　一真,Kazuma Nagata,SH,サイドハーフ,28.843103448275862,0.24459447213411867,201.0,25.07929315813321,2.7322156773901223,7.014861803352968,57.60344827586207,51.11555555555556,0.8971454463072043,0.9379247847757137,18.181818181818183,1.1826008155867693,20.682758620689654,0.5709107385591301,0.9380063434526508
菊井　悠介,Yusuke Kikui,SH,サイドハーフ,28.614,0.7882368621477532,171.9,38.59101294744859,0.7882711348057883,10.316618431073877,52.36,60.523684210526305,2.1934501142421934,0.6511805026656512,11.11111111111111,2.7075399847677075,29.112658227848105,0.7539984767707539,0.7882368621477532
平松　昇,Sho Hiramatsu,SH,サイドハーフ,27.73090909090909,0.5504057809894386,117.69090909090909,59.132851584213455,1.6509171762090051,12.406592551417456,42.32727272727273,75.86551724137931,1.9010561423012786,0.6003335186214563,4.3478260869565215,2.7515286270150083,20.003636363636364,0.7003891050583657,1.100661478599222
中島　賢星,Kensei Nakashima,SH,サイドハーフ,27.494444444444444,0.20657995409334354,109.14814814814815,43.00306044376435,1.7214996174445294,6.43899387911247,38.72222222222222,20.0,0.7230298393267023,0.20657995409334354,4.3478260869565215,0.7918898240244836,26.08695652173913,0.5508798775822494,0.03442999234889059
阿野　真拓,Mahiro Ano,SH,サイドハーフ,28.06779661016949,0.3583519108280255,157.96610169491527,26.727707006369428,1.3256369426751593,8.240983280254778,56.05084745762712,59.21710526315789,1.8988853503184713,1.1106687898089174,4.838709677419355,2.3646496815286624,15.154545454545454,1.0748407643312103,1.6124402866242036
岡野　凜平,Rimpei Okano,SH,サイドハーフ,27.905084745762714,0.4408100979653353,117.59322033898304,29.672192916352675,1.8990203466465712,5.188157498116051,40.67796610169491,26.91923076923077,0.8477769404672194,0.5764883195177091,3.571428571428571,1.322532027128862,33.33076923076923,0.7121326299924642,0.23734363225320268
武井　成豪,Seigo Takei,SH,サイドハーフ,27.272222222222222,0.06132879045996593,109.55555555555556,36.490630323679724,2.2078364565587734,9.077028960817717,42.388888888888886,51.61290322580645,0.766609880749574,0.5519591141396933,5.263157894736842,0.5519591141396933,11.11111111111111,1.011925042589438,0.4906303236797274
安永　玲央,Reo Yasunaga,SH,サイドハーフ,27.611666666666668,0.2751349974528783,108.8,37.137035150280184,1.696383087111564,7.6584819154355595,37.4,44.004000000000005,1.5588385124808968,0.45848191543555783,6.0606060606060606,1.696383087111564,16.21891891891892,0.7794192562404484,0.5043759551706573
長谷川　隼,Hayato Hasegawa,SH,サイドハーフ,26.086274509803925,0.08534850640113797,56.86274509803921,43.57041251778094,1.0668563300142246,11.524480796586062,29.666666666666668,100.0,0.6401137980085349,0.21337126600284498,11.76470588235294,0.5547652916073968,15.384615384615385,0.5120910384068279,0.29871977240398295
