対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,佐々木　敦河,Taiga Sasaki,MF,Midfield,711.0,780.45,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Taiga Sasaki,高知,2025|高知|780.45,高知,2025|高知|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / 入力名補正: Atsuga Sasaki -> Taiga Sasaki / SC元データ名: Taiga  Sasaki
2024-2025,J3,中村　翼,Tsubasa Nakamura,MF,Wide Attacker,708.0,780.3800000000001,SH,サイドハーフ,Right Forward (Position Group: Wide Attacker),Right Forward,Wide Attacker,Tsubasa Nakamura,福島,2025|福島|780.38,福島,2025|福島|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,風間　宏希,Koki Kazama,MF,Midfield,699.0,763.73,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Koki Kazama,群馬,2025|群馬|763.73,群馬,2025|群馬|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,エンリック　マルティネス,Enric Martínez Ros,MF,Midfield,686.0,746.77,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Enric Martínez Ros,沼津,2025|沼津|746.77,沼津,2025|沼津|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,ジョアオ,Joao,MF,Midfield,680.0,816.73,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Joao Vitor Gaudencio Nunes,鹿児島,2025|鹿児島|816.73,鹿児島,2025|鹿児島|0.00,alias,alias,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / SC元データ名: Joao Vitor Gaudencio Nunes
2024-2025,J3,村田　迅,Jin Murata,MF,Midfield,662.0,739.22,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Jin Murata,金沢,2025|金沢|739.22,金沢,2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴木　国友,Kunitomo Suzuki,FW,Wide Attacker,654.0,730.6,SH,サイドハーフ,Left Forward (Position Group: Wide Attacker),Left Forward,Wide Attacker,Kunitomo Suzuki,栃木Ｃ,2025|栃木Ｃ|730.60,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,吉長　真優,Mahiro Yoshinaga,MF,Wide Attacker,652.0,783.15,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Mahiro Yoshinaga,北九州,2025|北九州|731.13; 2024|讃岐|52.02,讃岐,2024|讃岐|38.00; 2025|北九州|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,パク　スビン,Su-bin Park,MF,Midfield,642.0,396.42,SH,サイドハーフ,LM (Position Group: Midfield),LM,Midfield,Su-bin Park,長野,2024|長野|396.42,長野,2024|長野|642.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,藤村　慶太,Keita Fujimura,MF,Midfield,638.0,736.89,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Keita Fujimura,鹿児島,2025|鹿児島|736.89,鹿児島,2025|鹿児島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
