FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_psv99_per_match,raw_assist_cross_proxy_per90,raw_sprint_distance_full_all_per_match,raw_dropping_off_runs_proxy_per90,raw_pressure_engagement_proxy_per90,raw_consecutive_on_ball_engagement_proxy_per90,raw_above_hsr_engagement_proxy_per_match,raw_dribble_success_rate_pct,raw_carry_into_box_proxy_per90,raw_cross_reception_proxy_per90,raw_shot_conversion_rate_pct,raw_pulling_wide_runs_proxy_per90,raw_cross_success_rate_pct,raw_opponent_box_ball_gain_proxy_per90,raw_dribble_shot_proxy_per90,win_psv99_per_match,win_assist_cross_proxy_per90,win_sprint_distance_full_all_per_match,win_dropping_off_runs_proxy_per90,win_pressure_engagement_proxy_per90,win_consecutive_on_ball_engagement_proxy_per90,win_above_hsr_engagement_proxy_per_match,win_dribble_success_rate_pct,win_carry_into_box_proxy_per90,win_cross_reception_proxy_per90,win_shot_conversion_rate_pct,win_pulling_wide_runs_proxy_per90,win_cross_success_rate_pct,win_opponent_box_ball_gain_proxy_per90,win_dribble_shot_proxy_per90,z_psv99_per_match,z_assist_cross_proxy_per90,z_sprint_distance_full_all_per_match,z_dropping_off_runs_proxy_per90,z_pressure_engagement_proxy_per90,z_consecutive_on_ball_engagement_proxy_per90,z_above_hsr_engagement_proxy_per_match,z_dribble_success_rate_pct,z_carry_into_box_proxy_per90,z_cross_reception_proxy_per90,z_shot_conversion_rate_pct,z_pulling_wide_runs_proxy_per90,z_cross_success_rate_pct,z_opponent_box_ball_gain_proxy_per90,z_dribble_shot_proxy_per90,imputed_psv99_per_match,imputed_assist_cross_proxy_per90,imputed_sprint_distance_full_all_per_match,imputed_dropping_off_runs_proxy_per90,imputed_pressure_engagement_proxy_per90,imputed_consecutive_on_ball_engagement_proxy_per90,imputed_above_hsr_engagement_proxy_per_match,imputed_dribble_success_rate_pct,imputed_carry_into_box_proxy_per90,imputed_cross_reception_proxy_per90,imputed_shot_conversion_rate_pct,imputed_pulling_wide_runs_proxy_per90,imputed_cross_success_rate_pct,imputed_opponent_box_ball_gain_proxy_per90,imputed_dribble_shot_proxy_per90
西谷　優希,Yuki  Nishiya,SH,サイドハーフ,27.72295081967213,0.26042122186495176,130.0327868852459,49.340836012861736,2.6913183279742765,7.4947717041800646,48.49180327868852,90.0,0.6945337620578778,0.28938906752411575,7.142857142857142,1.1286173633440513,23.074358974358972,0.8392282958199357,0.2604501607717042,27.72295081967213,0.26042122186495176,130.0327868852459,49.340836012861736,2.6913183279742765,7.4947717041800646,48.49180327868852,89.06783333333324,0.6945337620578778,0.28938906752411575,7.142857142857142,1.1286173633440513,23.074358974358972,0.8392282958199357,0.2604501607717042,0.06409195556547449,-0.4362197695146866,0.5014989635411203,0.9508885625221611,1.4126734447010298,-0.4143951264396971,1.1377982166884433,2.331248382168175,-0.8729293129773905,-0.9167291045304372,-0.13863291968663452,-0.5698243817368015,0.12611774244494076,0.47536188430661724,-0.5712761862132897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡田　優希,Yuki Okada,SH,サイドハーフ,28.415000000000003,0.833959731543624,173.03333333333333,20.30680728667306,1.3231064237775647,5.868178331735378,58.9,58.88598130841122,2.070949185043145,1.4956855225311603,16.455696202531644,2.3010546500479387,36.2425,0.3451581975071908,1.8123106423777566,28.415000000000003,0.833959731543624,173.03333333333333,20.398381953835248,1.3231064237775647,5.868178331735378,58.9,58.88598130841122,2.070949185043145,1.4956855225311603,16.455696202531644,2.3010546500479387,36.2425,0.3451581975071908,1.8123106423777566,0.634999906720775,1.3520687060713505,1.372314799522969,-1.7152581979467252,-0.8539291821666659,-1.0217816474703574,2.080929704843316,0.6754503266711241,0.7273603278776403,1.6656160727513287,1.37067419947386,0.31004800103666874,1.417841506778918,-1.2724626869883993,1.3421920767482276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西村　恭史,Yasufumi Nishimura,SH,サイドハーフ,28.6,0.21908553546592494,209.96610169491527,46.28303198887343,2.0027816411682893,8.105413769123782,55.47457627118644,25.0,0.844923504867872,0.844923504867872,2.272727272727273,0.844923504867872,25.92962962962963,0.5006954102920723,0.09388038942976357,28.6,0.21908553546592494,209.96610169491527,46.28303198887343,2.0027816411682893,8.105413769123782,55.47457627118644,25.0,0.844923504867872,0.844923504867872,2.272727272727273,0.844923504867872,25.92962962962963,0.5006954102920723,0.09388038942976357,0.7876161859766667,-0.5651041083522519,2.1202504006377643,0.6692070480217505,0.2720321023604994,-0.18637516416497954,1.7705373222414362,-1.1835589187769826,-0.6980786512580455,0.27251560321448504,-0.927921947138173,-0.7827265079881636,0.40620442680204527,-0.7222335531376882,-0.7766593213658158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
森　晃太,Kota Mori,SH,サイドハーフ,29.446031746031746,0.799449378330373,229.95238095238096,35.77619893428064,1.1509769094138544,10.007712255772647,54.22222222222222,65.14628571428571,3.2930728241563054,1.8543516873889874,7.766990291262135,3.4849023090586146,22.94036697247706,0.44760213143872113,3.6449520426287747,29.446031746031746,0.799449378330373,229.95238095238096,35.77619893428064,1.1509769094138544,10.007712255772647,54.22222222222222,65.14628571428571,3.2930728241563054,1.8543516873889874,7.766990291262135,3.4849023090586146,22.94036697247706,0.44760213143872113,3.6449520426287747,1.4855524952292687,1.2444657013938858,2.5249980124098186,-0.2986707571622727,-1.1390818023284575,0.5239624526857467,1.657056133374401,1.0188951177166592,2.148262598265653,2.43342056826346,-0.037481316168573336,1.1984834614124653,0.11297384819862884,-0.9100565719105519,3.601867607077166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山内　陸,Riku Yamauchi,SH,サイドハーフ,27.971153846153847,0.25028121137206427,174.96153846153845,38.38071693448702,2.1971569839307787,7.843099505562422,60.40384615384615,69.23846153846155,1.0290482076637826,0.33374536464771326,0.0,1.0012360939431397,24.997222222222216,1.3071693448702102,0.5006736711990112,27.971153846153847,0.25028121137206427,174.96153846153845,38.38071693448702,2.1971569839307787,7.843099505562422,60.27230769230768,69.23846153846155,1.0290482076637826,0.33374536464771326,0.0,1.0012360939431397,24.997222222222216,1.3071693448702102,0.5006736711990112,0.2688477523313755,-0.46783624094728743,1.4113634093514404,-0.058745448317653555,0.5940375323325698,-0.2843259800605314,2.205280409456962,1.2433948192865765,-0.4840060322003899,-0.8217746101490954,-1.2962568266155576,-0.6654194828987422,0.3147402783057651,2.1307522150323623,-0.27507683796766297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳永　晃太郎,Kotaro Tokunaga,SH,サイドハーフ,26.871666666666666,0.21922420796100733,111.26666666666667,57.53858651502843,1.3891145410235581,9.796584077985377,48.666666666666664,45.45454545454545,1.5718927701056051,0.4752233956133225,7.6923076923076925,1.3525588952071486,16.208108108108107,0.6580016246953696,0.1827782290820471,26.871666666666666,0.21922420796100733,111.26666666666667,57.53858651502843,1.3891145410235581,9.796584077985377,48.666666666666664,45.45454545454545,1.5718927701056051,0.4752233956133225,7.6923076923076925,1.3525588952071486,16.208108108108107,0.6580016246953696,0.1827782290820471,-0.6381773418464055,-0.5646717286242096,0.12146112644045225,1.7060562445683696,-0.7445790358293563,0.44512504219942467,1.1536433406559743,-0.06140788040643707,0.14713229665240224,-0.5189094981454064,-0.04958492684594802,-0.40176424625930446,-0.5474245137129091,-0.16574639131506264,-0.667046893678732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富所　悠,Yu Tomidokoro,SH,サイドハーフ,25.567307692307693,0.17482517482517482,48.73076923076923,38.56643356643357,0.9790209790209791,10.31576923076923,34.21153846153846,26.923076923076923,1.7482517482517481,0.9440559440559441,18.181818181818183,0.5594405594405595,31.25,0.24475524475524477,0.24475524475524477,25.567307692307693,0.17482517482517482,48.73076923076923,38.56643356643357,0.9790209790209791,10.31576923076923,34.21153846153846,26.923076923076923,1.7482517482517481,0.9440559440559441,18.181818181818183,0.5594405594405595,31.25,0.24475524475524477,0.24475524475524477,-1.714212009309643,-0.7031075580307741,-1.1449704494991675,-0.041637438208363756,-1.4239468603932743,0.6389940626087527,-0.15619802193639332,-1.0780575391011193,0.35217609453933735,0.4847305817025059,1.6504222092035197,-0.9969712802100477,0.9281041261661185,-1.627648617992346,-0.5906282633125538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山本　康裕,Kosuke Yamamoto,SH,サイドハーフ,27.401724137931033,0.22000349162011174,123.36206896551724,56.84706703910614,1.3512569832402235,16.373652234636875,40.706896551724135,60.0,1.0370111731843576,0.4399441340782123,3.7037037037037033,1.0998603351955307,20.002857142857145,0.8170391061452514,0.18854748603351956,27.401724137931033,0.22000349162011174,123.36206896551724,56.84706703910614,1.3512569832402235,16.373652234636875,40.706896551724135,60.0,1.0370111731843576,0.4399441340782123,3.7037037037037033,1.0998603351955307,20.002857142857145,0.8170391061452514,0.18854748603351956,-0.20090491451583764,-0.5622419284220058,0.3664084290782497,1.642354237586818,-0.8072944965378205,2.9010692344753823,0.43237432212319404,0.7365661913237287,-0.47474788889549724,-0.594432584120754,-0.6960073933931531,-0.5914055060881571,-0.17518005655498342,0.3968653084907914,-0.6599333095593092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永田　一真,Kazuma Nagata,SH,サイドハーフ,28.843103448275862,0.24459447213411867,201.0,25.07929315813321,2.7322156773901223,7.014861803352968,57.60344827586207,51.11555555555556,0.8971454463072043,0.9379247847757137,18.181818181818183,1.1826008155867693,20.682758620689654,0.5709107385591301,0.9380063434526508,28.843103448275862,0.24459447213411867,201.0,25.07929315813321,2.7322156773901223,7.014861803352968,57.60344827586207,51.11555555555556,0.8971454463072043,0.9379247847757137,18.181818181818183,1.1826008155867693,20.682758620689654,0.5709107385591301,0.9380063434526508,0.9881650711125545,-0.4855674483052355,1.9386754210643784,-1.2840578505978346,1.4804246748529892,-0.5935983680177959,1.9634435744599263,0.24915919512165632,-0.6373628015842251,0.4716054750732597,1.6504222092035197,-0.52931172550026,-0.1084853807756215,-0.47383949641210765,0.26416119188889065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菊井　悠介,Yusuke Kikui,SH,サイドハーフ,28.614,0.7882368621477532,171.9,38.59101294744859,0.7882711348057883,10.316618431073877,52.36,60.523684210526305,2.1934501142421934,0.6511805026656512,11.11111111111111,2.7075399847677075,29.112658227848105,0.7539984767707539,0.7882368621477532,28.614,0.7882368621477532,171.9,38.59101294744859,0.7882711348057883,10.316618431073877,52.36,60.523684210526305,2.1934501142421934,0.6511805026656512,11.11111111111111,2.7075399847677075,29.112658227848105,0.7539984767707539,0.7882368621477532,0.7991655260284635,1.2095051658181062,1.3493633559801708,-0.03937321289651268,-1.7399462290923748,0.639311162645821,1.4883121652551843,0.7652958828207238,0.8697860554004937,-0.1422342746387777,0.5044914730516561,0.6151007523252624,0.7184424013853495,0.17385249839172123,0.07949307730391005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
