SC_Name,FB_Name,Match_Score,Status,SC_Teams,FB_Teams,Shared_Teams,Tie_On_Best_Score
Rikiru Nakano,,50,,群馬,岩手 / 群馬,群馬,True
Rinta  Miyoshi,,50,,高知,FC大阪 / 高知,高知,False
Ryota Aoki,,50,,札幌,札幌 / 琉球,札幌,False
Ryota Iwabuchi,,50,,琉球,札幌 / 琉球,琉球,False
Ryota Takada,,50,,仙台,仙台,仙台,False
Ryusei Nose,,50,,FC大阪,FC大阪 / 仙台 / 栃木SC,FC大阪,False
Satoki Uejo,,50,,C大阪,C大阪,C大阪,False
Seigo Kobayashi,,50,,山口,山口 / 岡山,山口,False
Shinta  Hojo,,50,,滋賀,滋賀,滋賀,False
Shintaro Kokubu,,50,,山形,山形,山形,False
Shoma Doi,,50,,山形,北九州 / 山形 / 札幌,山形,False
Shosei Usui,,50,,富山 / 福岡,富山 / 福岡,富山 / 福岡,False
Soma Anzai,,50,,FC東京,FC東京,FC東京,False
Sota Koshimichi,,50,,広島,広島,広島,False
Takeshi Kanamori,,50,,福岡,福岡,福岡,False
Taku Ikawa,,50,,鳥取,横浜FC / 鳥取,鳥取,False
Takuma Arano,,50,,札幌,札幌 / 水戸 / 群馬 / 藤枝,札幌,False
Takuma Mizutani,,50,,秋田,秋田 / 鳥取,秋田,True
Tokumo Kawai,,50,,磐田,磐田 / 福岡,磐田,False
Yoshiatsu Oiji,,50,,岐阜,いわき / 岐阜 / 柏,岐阜,False
Yoshio Koizumi,,50,,柏,柏 / 鹿島,柏,False
Yuki Horigome,,50,,愛媛 / 札幌 / 鳥栖,札幌,札幌,False
Yuki Okada,,50,,奈良 / 福島,奈良,奈良,False
Yusuke Matsuo,,50,,浦和,浦和,浦和,False
Yusuke Segawa,,50,,柏,広島 / 柏,柏,False
Yuta Arai,,50,,東京V,名古屋 / 東京V,東京V,False
Yuta Goke,,50,,仙台,仙台,仙台,False
Yuto Kunitake,,50,,奈良,奈良 / 山口,奈良,False
Yuto Nagatomo,,50,,FC東京,FC東京,FC東京,False
Arata  Kozakai,,48,,大分,いわき / 大分,大分,False
Asahi Yada,,48,,北九州,北九州,北九州,False
Ayumu  Kameda,,48,,富山,富山 / 東京V,富山,False
Chihiro Konagaya,,48,,熊本,千葉 / 熊本,熊本,True
Daigo Takahashi,,48,,北九州,北九州,北九州,False
Daiki Yamaguchi,,48,,いわき,いわき,いわき,True
Daisuke Suzuki,,48,,千葉,千葉,千葉,False
Daizo Horikoshi,,48,,FC大阪,FC大阪 / 富山 / 讃岐,FC大阪,False
Eiji Miyamoto,,48,,新潟,新潟 / 藤枝,新潟,False
Erison Danilo de Souza,,48,,川崎F,川崎F,川崎F,False
Fuki Yamada,,48,,FC東京 / 京都,FC東京 / 栃木C,FC東京,True
Haru Kano Haru Kano,,48,,長野,長野,長野,False
Hayato Horiuchi,,48,,奈良,奈良,奈良,False
Hinata Kida,,48,,C大阪,C大阪,C大阪,False
Jin Ikoma,,48,,いわき,いわき / 横浜FM,いわき,False
Jordy Croux,,48,,磐田,広島 / 磐田,磐田,True
João Paulo Queiroz de Moraes,,48,,横浜FC,横浜FC,横浜FC,False
Kakeru Yamauchi,,48,,神戸,神戸 / 秋田,神戸,False
Kazuki Kozuka,,48,,清水,清水,清水,False
Kazuma Yamaguchi,,48,,群馬,北九州 / 愛媛 / 群馬 / 鳥栖,群馬,False
Keita Nakano,,48,,宮崎,宮崎,宮崎,False
Kenshiro Suzuki,,48,,沼津,沼津,沼津,False
Kento Haneda,,48,,清水,清水,清水,False
Kohei Tanabe,,48,,山口,山口 / 岡山,山口,False
Koji Okumura,,48,,宮崎,宮崎,宮崎,False
Koki Tsukagawa,,48,,水戸,水戸,水戸,False
Kosuke Hara,,48,,札幌,札幌 / 琉球,札幌,False
Kota Mori,,48,,今治 / 福島,今治,今治,False
Koya Fujii,,48,,熊本,G大阪 / 東京V / 熊本,熊本,False
Koya Yuruki,,48,,神戸,神戸 / 秋田,神戸,False
Kyota Mochii,,48,,今治,今治 / 千葉 / 松本,今治,False
Masashi Kokubun,,48,,八戸,八戸,八戸,False
Masayoshi Endo,,48,,鹿児島,町田 / 鹿児島,鹿児島,False
Mauricio Caprini Pinto,,48,,大宮,大宮 / 横浜FC,大宮,False
Mizuki  Kaburaki,,48,,八戸,八戸,八戸,False
Naoki Inoue,,48,,富山,FC大阪 / 富山 / 讃岐,富山,False
Nobuteru Nakagawa,,48,,柏,柏,柏,False
Rio Nitta,,48,,浦和 / 湘南,浦和 / 長崎,浦和,False
Ryosuke Yamanaka,,48,,名古屋,名古屋,名古屋,False
Ryuki Hirahara,,48,,北九州,北九州,北九州,False
Ryuta Koike,,48,,鹿島,鹿島,鹿島,False
Satoshi  Tanaka,,48,,広島,広島 / 柏,広島,False
Sho Iwamoto,,48,,琉球,札幌 / 琉球,琉球,False
Shota Kaneko,,48,,藤枝,清水 / 藤枝,藤枝,False
Shoya Nakajima,,48,,浦和,浦和,浦和,False
Taishi Semba,,48,,水戸,大分 / 水戸,水戸,False
Taku  Inafuku,,48,,松本,松本 / 相模原,松本,False
Takuji Yonemoto,,48,,京都,京都 / 山口,京都,False
Taro Sugimoto,,48,,徳島,徳島 / 栃木SC,徳島,False
Teruki Hara,,48,,名古屋,名古屋,名古屋,False
Tomoya Miki,,48,,福岡,熊本 / 福岡,福岡,False
Tsubasa Nakamura,,48,,福島,八戸 / 福島,福島,False
Wellington Luis de Sousa,,48,,福岡,福岡,福岡,False
Yuta Matsumura,,48,,鹿島,鹿島,鹿島,False
Yuya Takazawa,,48,,群馬,札幌 / 水戸 / 群馬 / 藤枝,群馬,False
Akiyuki Yokoyama,,47,,千葉,千葉,千葉,False
Alfredo Horacio Stephens Francis,,47,,清水,清水,清水,False
Aoi Kudo,,47,,仙台,仙台,仙台,False
Carlos Alberto de Souza Júnior,,47,,千葉,千葉 / 清水,千葉,False
Carlos Antônio de Souza Júnior,,47,,千葉,千葉 / 清水,千葉,False
Issei Tone,,47,,大分,大分 / 岡山,大分,False
Lucas Vargas Cavalcanti,,47,,松本,松本 / 琉球,松本,False
Naohiro  Sugiyama,,47,,山形,山形 / 湘南,山形,False
Naoki   Suto,,47,,高知,高知,高知,False
Weverton de Souza Santos,,47,,沼津,沼津 / 磐田,沼津,False
Adailton dos Santos da Silva,,46,,横浜FC,横浜FC,横浜FC,False
Fumiya Sugiura,,46,,水戸,富山 / 水戸 / 甲府,水戸,False
Gustavo Santos Costa,,46,,仙台,仙台,仙台,False
Kai Matsuzaki,,46,,清水,清水,清水,False
Kaique Ferraz Mafaldo,,46,,徳島,徳島 / 秋田,徳島,False
Kaito Seriu,,46,,藤枝,栃木SC / 藤枝,藤枝,False
Katsuyuki Tanaka,,46,,札幌,札幌,札幌,False
Kishin Gokita,,46,,水戸,大分 / 水戸,水戸,False
Lucas Barcelos Damasceno,,46,,徳島,徳島,徳島,False
Masaya Tashiro,,46,,福岡,福岡,福岡,False
Rafael Rogerio da Silva,,46,,C大阪,C大阪,C大阪,False
Riku Morioka,,46,,磐田,C大阪 / 横浜FM / 磐田,磐田,False
Ryoma Watanabe,,46,,浦和,浦和 / 長崎,浦和,True
Ryuji Kokubu,,46,,松本,松本,松本,False
Tae-Hyeon Kim,,46,,鹿島,柏 / 鹿島,鹿島,False
Taiga Maekawa,,46,,讃岐,讃岐,讃岐,False
Takumi Kusumoto,,46,,藤枝,松本 / 藤枝,藤枝,False
Werik Silva Pinto,,46,,岡山,岡山,岡山,False
Yasuto Wakizaka,,46,,川崎F,川崎F,川崎F,False
Yuhi Takemoto,,46,,熊本,熊本,熊本,False
Yuta Higuchi,,46,,鹿島,柏 / 鹿島,鹿島,False
Yuta Kumamoto,,46,,山形,山形,山形,False
Yuto Kawabata,,46,,相模原,松本 / 相模原,相模原,False
Douglas Willian da Silva Souza,,45,,清水,清水,清水,False
Hayao Kawabe,,45,,広島,広島 / 磐田,広島,False
Hiroto Iwabuchi,,45,,仙台 / 岡山,仙台,仙台,False
Hisatoshi Nishido,,45,,山口,京都 / 山口,山口,False
Ibuki Konno,,45,,愛媛,愛媛 / 福岡,愛媛,False
Katsuhiro Nakayama,,45,,名古屋,名古屋,名古屋,False
Keita Endo,,45,,FC東京,FC東京,FC東京,False
Koki  Morita,,45,,東京V,名古屋 / 東京V,東京V,False
Koya Kazama,,45,,千葉,千葉,千葉,False
Masaya Shibayama,,45,,C大阪,C大阪 / 京都 / 長崎,C大阪,False
Min-Tae Kim,,45,,湘南,湘南,湘南,False
Reo Osaki,,45,,札幌,札幌,札幌,False
Rodrigo Luiz Angelotti,,45,,鹿児島,今治 / 鹿児島,鹿児島,False
Ryo Kubota,,45,,愛媛 / 横浜FC,愛媛,愛媛,False
Ryota  Ichihara,,45,,今治,今治 / 千葉 / 松本,今治,False
Shuta  Sasa,,45,,今治,今治,今治,False
Soki Tamura,,45,,湘南,新潟 / 湘南,湘南,False
Sora  Hiraga,,45,,京都,京都 / 大分,京都,False
Taichi Kikuchi,,45,,名古屋,名古屋 / 金沢,名古屋,False
Takuya Shimamura,,45,,柏,広島 / 柏,柏,False
Yuki Kajiura,,45,,今治,今治 / 鹿児島,今治,False
Yuto Anzai,,45,,京都,京都 / 大宮,京都,False
Yuya Fukuda,,45,,東京V,名古屋 / 東京V,東京V,False
Aleksandar Čavrić,,44,,鹿島,鹿島,鹿島,False
Jun Amano,,44,,横浜FM,横浜FM,横浜FM,False
Kaiyo Yanagimachi,,44,,沼津,いわき / 沼津 / 金沢,沼津,False
Kanaru Matsumoto,,44,,湘南,C大阪 / 湘南 / 鳥栖,湘南,False
Kazuma Nagata,,44,,八戸,八戸,八戸,False
Kento Hashimoto,,44,,新潟,新潟,新潟,False
Kiichi  Yamazaki,,44,,水戸,札幌 / 水戸 / 群馬 / 藤枝,水戸,False
Ko Yanagisawa,,44,,徳島,徳島 / 栃木SC / 相模原,徳島,False
Kohei Shin,,44,,長野,長野,長野,False
Koki Yonekura,,44,,千葉,千葉,千葉,False
Konosuke  Fukumiya,,44,,高知,FC大阪 / 高知,高知,False
Koshiro Sumi,,44,,磐田,磐田,磐田,False
Lukian Araújo de Almeida,,44,,横浜FC / 湘南,横浜FC / 湘南,横浜FC / 湘南,False
Marco Túlio Oliveira Lemos,,44,,京都,京都,京都,False
Motoki Hasegawa,,44,,新潟,FC東京 / 新潟 / 浦和,新潟,False
Ryohei Watanabe,,44,,滋賀,滋賀,滋賀,False
Ryota Shibuya,,44,,松本,松本,松本,False
Ryoya Ogawa,,44,,鹿島,C大阪 / 鹿島,鹿島,True
Vykintas Slivka,,44,,鳥栖,鳥栖,鳥栖,False
Yasufumi Nishimura,,44,,群馬,秋田 / 群馬,群馬,True
Yukito  Murakami,,44,,長野,長野,長野,False
Kazunari Ohno,,43,,湘南,湘南,湘南,False
Kazune Kubota,,43,,滋賀,滋賀,滋賀,False
Keisuke Ito,,43,,長野,長野,長野,False
Keisuke Tsukui,,43,,鹿島,鹿島,鹿島,False
Keiya Shiihashi,,43,,名古屋,名古屋,名古屋,False
Kengo Fujii,,43,,沼津,沼津,沼津,False
Kensuke Fujiwara,,43,,磐田,磐田 / 福岡,磐田,False
Masaki Ikeda,,43,,湘南,C大阪 / 湘南 / 鳥栖,湘南,True
Min-kyu Park,,43,,札幌,札幌 / 水戸 / 群馬 / 藤枝,札幌,False
Naoki Suzu,,43,,福島,福島,福島,True
Patrick Verhon Pertel Pereira,,43,,今治,今治 / 鹿児島,今治,False
Reiya Sakata,,43,,C大阪,C大阪 / 湘南 / 鳥栖,C大阪,True
Shuto Udo,,43,,大分,大分,大分,False
Yudai Shimamoto,,43,,清水,清水 / 藤枝,清水,False
Yuki Omoto,,43,,熊本,熊本,熊本,False
Yuta Mikado,,43,,今治 / 高知,いわき / 高知,高知,False
Anderson Leonardo da Silva Chaves,,42,,藤枝,藤枝,藤枝,False
Anri Narita,,42,,琉球,琉球,琉球,False
Daiki Yagishita,,42,,八戸,八戸,八戸,False
Dean David,,42,,横浜FM,川崎F / 横浜FM,横浜FM,False
Hiroto Sese,,42,,藤枝,清水 / 藤枝,藤枝,False
Keigo Higashi,,42,,FC東京,FC東京 / 鳥栖,FC東京,False
Ken Masui,,42,,磐田,磐田,磐田,False
Rea Ishizuka,,42,,磐田,磐田 / 福岡,磐田,False
Ren  Sugimoto,,42,,相模原,八戸 / 栃木SC / 相模原,相模原,True
Seung-Jin Koh,,42,,北九州,北九州,北九州,False
Shuhei Tokumoto,,42,,名古屋,名古屋 / 町田,名古屋,False
Sora  Okita,,42,,水戸,栃木SC / 水戸,水戸,True
Takumi Ito,,42,,富山,FC大阪 / 富山 / 讃岐,富山,False
Yuki  Aida,,42,,磐田,広島 / 磐田,磐田,False
Yuma Mori,,42,,沼津,八戸 / 大宮 / 沼津,沼津,False
Yutani Azuri,,42,,仙台,仙台,仙台,False
Yuto  Ozeki,,42,,川崎F,川崎F / 横浜FM,川崎F,False
David Lawrence,,41,,徳島,徳島,徳島,False
Jelani Reshaun Sumiyoshi,,41,,清水,千葉 / 清水,清水,False
Lawrence  Izuchukwu,,41,,徳島,徳島,徳島,False
Lucas Fernandes,,41,,C大阪,C大阪,C大阪,False
Matheus Sousa de Jesus,,41,,長崎,松本 / 長崎 / 高知,長崎,False
Nao Yamada,,41,,徳島,徳島 / 栃木SC / 相模原,徳島,False
Ryoji Fujimori,,41,,長野,宮崎 / 長野,長野,False
Supachok Sarachat,,41,,札幌,札幌 / 栃木C / 横浜FC,札幌,False
Takumi Nagura,,41,,長崎,長崎,長崎,False
Anderson Patric Aguiar Oliveira,,40,,名古屋 / 金沢,金沢,金沢,False
Derek Freitas Ribeiro,,40,,千葉,千葉,千葉,False
Erik Nascimento de Lima,,40,,町田,町田 / 神戸,町田,True
Fuga  Sakurai,,40,,宮崎,宮崎,宮崎,False
Gabriel Costa França,,40,,大宮,八戸 / 大宮,大宮,True
Gaku Nawata,,40,,G大阪,G大阪,G大阪,False
Genya Sekino,,40,,栃木C,栃木C,栃木C,True
Haruya Ide,,40,,神戸,神戸,神戸,False
Hayato Nakama,,40,,柏,柏,柏,False
Juzo Ura,,40,,富山,富山 / 水戸 / 甲府,富山,False
Kakeru Higuchi,,40,,長野,長野,長野,False
Naoki Nomura,,40,,大分,いわき / 大分,大分,True
Renan Dos Santos Paixão,,40,,鹿児島,鹿児島,鹿児島,False
Rio Maeda,,40,,松本,松本,松本,False
Soichiro Mori,,40,,名古屋,今治 / 名古屋,名古屋,False
Talles Brener de Paula,,40,,鹿島,横浜FM / 鹿島,鹿島,False
Temma Matsuda,,40,,京都,京都 / 大宮,京都,False
Tolgay Ali Arslan,,40,,広島,広島 / 松本,広島,True
Toya Myogan,,40,,仙台,仙台,仙台,False
Jean Hebert de Freitas,,39,,鳥栖,FC東京 / 鳥栖,鳥栖,False
Leonardo de Sousa Pereira,,39,,C大阪 / 鹿島,鹿島,鹿島,False
Wesley Tanque da Silva,,39,,今治,今治,今治,False
Genki  Egawa,,38,,宮崎,宮崎 / 琉球,宮崎,True
Keita Nakamura,,38,,長崎,浦和 / 長崎,長崎,False
Kengo Nagai,,38,,柏,柏,柏,False
Leonardo da Silva Gomes,,38,,磐田,C大阪 / 磐田,磐田,False
Marcelo Ryan Silvestre dos Santos,,38,,FC東京 / 鳥栖,FC東京,FC東京,False
Mateus Souza Moraes,,38,,仙台,仙台 / 横浜FM,仙台,False
Miguel Silveira dos Santos,,38,,新潟,新潟,新潟,False
Ren Ikeda,,38,,大分,大分 / 岡山,大分,True
Ryota Ito,,38,,高知,高知,高知,False
Tatsuya Hasegawa,,38,,札幌,札幌,札幌,False
Vinicius Diniz Dall Antônia,,38,,今治,今治 / 名古屋,今治,True
Yu Tomidokoro,,38,,琉球,琉球,琉球,False
Hayata Yamamoto,,37,,水戸,札幌 / 水戸 / 群馬 / 藤枝,水戸,False
Hikaru Nakahara,,37,,清水,清水,清水,True
Joji  Ikegami,,37,,山口,山口,山口,False
João Victor Andrade Caetano,,37,,神戸,神戸,神戸,False
Lucas Marcos Meireles,,37,,岡山,大分 / 岡山,岡山,False
Marcos Guilherme de Almeida Santos Matos,,37,,長崎,長崎,長崎,False
Danilo Cardoso Novais da Silva,,36,,水戸,岐阜 / 水戸,水戸,False
Eronildo dos Santos Rocha,,36,,仙台,仙台 / 町田,仙台,False
Ikki Kawasaki,,36,,磐田,磐田,磐田,False
Kevin Pytlik,,36,,相模原,相模原,相模原,False
Luiz Eduardo Fleuri Pacheco,,36,,千葉,千葉 / 横浜FC,千葉,False
Luiz Eduardo dos Santos Gonzaga,,36,,岐阜,千葉 / 岐阜,岐阜,False
Teppei Yachida,,36,,大宮,大宮,大宮,True
Yumeki Yokoyama,,36,,今治,今治 / 山口 / 岐阜,今治,True
Gleyson Garcia de Oliveira,,35,,大分 / 岡山,岡山,岡山,False
Jason Geria,,35,,新潟,新潟,新潟,False
Michel Barbosa de Lima,,35,,横浜FC,横浜FC,横浜FC,False
Rei Ieizumi,,35,,札幌,札幌 / 栃木C / 横浜FC,札幌,False
Abdelrahman Boudah Saidi,,34,,新潟,FC東京 / 新潟 / 浦和,新潟,False
Ricardo Queiroz de Alencastro Graça,,34,,磐田,磐田,磐田,True
Gustavo Henric da Silva,,33,,磐田,磐田,磐田,False
Gustavo Klismahn Dimaraes Miranda,,33,,神戸,神戸 / 讃岐,神戸,False
Luiz Phellype Luciano Silva,,33,,湘南,山形 / 湘南,湘南,False
Gabriel Henrique,,32,,八戸,八戸,八戸,True
Eduardo Figueiredo da Cruz,,29,,讃岐,岐阜 / 讃岐,讃岐,True
Kanta Jojo,,29,,福島,熊本 / 福島 / 鳥栖,福島,False
Seung-won  Lee,,29,,長野,熊本 / 長野,長野,False
Patrick William Sá de Oliveira,,28,,京都,京都,京都,False
