SC_Name,FB_Name,Match_Score,Status,SC_Teams,FB_Teams,Shared_Teams,Tie_On_Best_Score
Shuhei Kawasaki,,69,,東京V,東京V,東京V,False
Vinícius de Souza Alves,,69,,FC大阪,FC大阪,FC大阪,False
Akito Ueno,,67,,讃岐,岐阜 / 讃岐,讃岐,False
Anderson José Lopes de Souza,,67,,横浜FM,横浜FM,横浜FM,False
Ben Duncan,,67,,愛媛,愛媛,愛媛,False
Gun-Hee Kim,,67,,札幌,札幌,札幌,False
Itsuki Someno,,67,,東京V,東京V,東京V,False
Kaito  Satori,,67,,相模原,相模原,相模原,False
Kein Sato,,67,,FC東京,FC東京,FC東京,False
Keita Yamashita,,67,,FC東京 / 栃木C,FC東京 / 栃木C,FC東京 / 栃木C,False
Kosei  Yoshida,,67,,北九州,北九州,北九州,False
Mahiro Yoshinaga,,67,,北九州,北九州,北九州,False
Manabu Saito,,67,,沼津,沼津,沼津,False
Mizuki Arai,,67,,水戸,水戸,水戸,False
Oriola Sunday,,67,,大宮,八戸 / 大宮,大宮,False
Peter Utaka,,67,,栃木C / 甲府,栃木C / 甲府,栃木C / 甲府,False
Ren Komatsu,,67,,神戸 / 秋田,神戸 / 秋田,神戸 / 秋田,False
Ryoma Kida,,67,,山形,山口 / 山形 / 鹿児島,山形,False
Ryosuke Shirai,,67,,東京V,東京V,東京V,False
Ryusei Takao,,67,,八戸,八戸 / 鳥取,八戸,False
Takumi Kato,,67,,松本 / 相模原,松本 / 相模原,松本 / 相模原,True
Toshiki Toya,,67,,FC大阪 / 高知,FC大阪 / 高知,FC大阪 / 高知,False
Toshiya Tanaka,,67,,高知 / 鹿児島,鹿児島,鹿児島,False
Vitor Frezarin Bueno,,67,,C大阪,C大阪,C大阪,False
Yotaro Nakajima,,67,,広島,広島,広島,False
Yuki Kusano,,67,,山口 / 水戸,山口 / 水戸,山口 / 水戸,False
Yukihito Kajiya,,67,,徳島 / 秋田,徳島 / 秋田,徳島 / 秋田,False
Yusei  Toshida,,67,,宮崎 / 金沢,金沢,金沢,False
Akinari Kawazura,,65,,名古屋,名古屋 / 藤枝,名古屋,False
Akira Silvano Disaro,,65,,山形 / 湘南,山形 / 湘南,山形 / 湘南,False
Arthur Rodrigues Viana,,65,,愛媛,愛媛,愛媛,False
Fabián Andrés González Lasso,,65,,大宮 / 甲府,大宮 / 甲府,大宮 / 甲府,False
Masato Nakayama,,65,,仙台,仙台,仙台,False
Mohamad Sadiki Wade,,65,,岐阜 / 琉球,岐阜 / 琉球,岐阜 / 琉球,False
Thiago Eduardo de Andrade,,65,,C大阪,C大阪,C大阪,False
Wadi Ibrahim Suzuki,,65,,沼津,徳島 / 沼津,沼津,False
Yan Matheus Santos Souza,,65,,横浜FM,横浜FM,横浜FM,False
Ahmed Ahmedov,,64,,清水,清水,清水,False
Cal Jennings,,64,,琉球,琉球,琉球,False
Dai Hirase,,64,,岐阜,岐阜 / 水戸,岐阜,False
Hayate Take,,64,,宮崎 / 富山,FC大阪 / 宮崎 / 富山,宮崎 / 富山,False
Jun  Nishikawa,,64,,鳥栖,鳥栖,鳥栖,False
Junki Hata,,64,,秋田,秋田,秋田,False
Kazushi Mitsuhira,,64,,甲府,大宮 / 甲府,甲府,False
Keita  Kobayashi,,64,,熊本,熊本,熊本,False
Keita Fujimura,,64,,鹿児島,鹿児島,鹿児島,False
Kyota Tokiwa,,64,,FC東京,FC東京,FC東京,False
Mao Hosoya,,64,,柏,柏,柏,False
Masato Handai,,64,,熊本,熊本,熊本,False
Masato Yuzawa,,64,,福岡,磐田 / 福岡,福岡,False
Mitchell  Duke,,64,,町田,町田,町田,False
Ota Yamamoto,,64,,山口 / 柏,大宮 / 山口 / 柏 / 栃木SC,山口 / 柏,False
Ryosuke Tamura,,64,,奈良,奈良,奈良,False
Valère Germain,,64,,広島,広島,広島,False
William Owie,,64,,いわき / 岐阜,いわき / 岐阜 / 柏,いわき / 岐阜,False
Yuki Kakita,,64,,柏,柏 / 鹿島,柏,False
Daigo Araki,,63,,岐阜,八戸 / 岐阜 / 相模原,岐阜,False
Daiki Sato,,63,,秋田,秋田,秋田,False
Hyun-woo  Kim,,63,,いわき / 大分,いわき / 大分,いわき / 大分,False
Jeong Min Bae,,63,,熊本,熊本,熊本,False
Keita Shirawachi,,63,,沼津 / 金沢,いわき / 沼津 / 金沢,沼津 / 金沢,False
Matheus Leiria Dos Santos,,63,,甲府,富山 / 水戸 / 甲府,甲府,False
Naoki Sato,,63,,沼津,沼津,沼津,False
Shun  Osaki,,63,,熊本 / 長野,熊本 / 長野,熊本 / 長野,False
Hidetoshi Takeda,,62,,仙台,仙台,仙台,False
Hisatsugu Ishii,,62,,湘南,湘南,湘南,False
Kai Miki,,62,,相模原,八戸 / 岐阜 / 相模原,相模原,False
Keita  Negishi,,62,,熊本,熊本,熊本,False
Kensei Nakashima,,62,,奈良 / 山口,山口 / 岡山,山口,False
Kensei Ukita,,62,,長野,長野,長野,False
Masahide Hiraoka,,62,,栃木C,栃木C,栃木C,False
Matheus Purcelo Blecha de Moraes,,62,,新潟,新潟,新潟,False
Nabel Yoshitaka Furusawa,,62,,柏,柏,柏,False
Taiyo Shimokawa,,62,,群馬,岐阜 / 清水 / 秋田 / 群馬,群馬,False
Takahiro Kitsui,,62,,FC大阪,FC大阪 / 宮崎 / 富山,FC大阪,False
Takato Nonomura,,62,,松本,松本,松本,False
Vinícius  Vasconcelos Araújo,,62,,鳥栖,鳥栖,鳥栖,False
Yushi Yamaya,,62,,岐阜,岐阜,岐阜,True
Yuto Iwasaki,,62,,福岡,熊本 / 福岡,福岡,False
Alef Firmino dos Anjos,,61,,山口,山口,山口,False
Cayman Togashi,,61,,鳥栖,鳥栖,鳥栖,False
Hagumi Wada,,61,,FC大阪,FC大阪,FC大阪,False
Haruto Nakano,,61,,沼津,八戸 / 大宮 / 沼津,沼津,False
Kai Shibato,,61,,浦和,浦和,浦和,False
Kazuya Onohara,,61,,秋田,秋田 / 鳥取,秋田,False
Kenyu Sugimoto,,61,,大宮,大宮,大宮,False
Kosuke Onose,,61,,湘南,新潟 / 湘南,湘南,False
Mateus dos Santos Castro,,61,,名古屋,名古屋,名古屋,False
Naoya Senoo,,61,,八戸,YS横浜 / 八戸,八戸,False
Shido Izuma,,61,,札幌,札幌 / 栃木C / 横浜FC,札幌,False
Shuto Nagano,,61,,鳥取,群馬 / 鳥取,鳥取,False
Toshiki Takahashi,,61,,浦和 / 清水,横浜FC / 浦和 / 清水,浦和 / 清水,False
Cheikh Diamanka,,60,,栃木SC / 藤枝,栃木SC / 藤枝,栃木SC / 藤枝,False
Daichi Kobayashi,,60,,高知,仙台 / 高知,高知,False
Kisho Yano,,60,,栃木SC,栃木SC,栃木SC,False
Kosuke Fujieda,,60,,松本,松本,松本,False
Murilo De Souza Costa,,60,,京都,京都,京都,False
Rin  Yamazaki,,60,,鹿児島,鹿児島,鹿児島,False
Sonosuke Sato,,60,,福岡,福岡,福岡,False
Sotaro Yamamoto,,60,,奈良,奈良 / 山口,奈良,False
Yohei Ono,,60,,讃岐,讃岐,讃岐,False
George Onaiwu,,59,,仙台 / 横浜FM,仙台 / 横浜FM,仙台 / 横浜FM,False
Hiroya Sueki,,59,,富山,富山 / 徳島,富山,False
Ismael Dunga,,59,,讃岐,讃岐,讃岐,False
Juan Manuel Delgado Lloria,,59,,長崎,長崎,長崎,False
Ryo Sato,,59,,FC大阪 / 愛媛,愛媛 / 群馬,愛媛,False
Taishi  Tamashiro,,59,,群馬,群馬 / 鳥取,群馬,False
Taishi Taguchi,,59,,千葉,千葉 / 熊本,千葉,False
Takumi Matsui,,59,,大宮,大宮,大宮,False
Takumi Tsukui,,59,,大宮,大宮,大宮,False
Yoshiaki Takagi,,59,,新潟,新潟,新潟,False
Yuto Yamashita,,59,,水戸,大分 / 水戸,水戸,False
Hinata  Yamauchi,,58,,仙台 / 柏,仙台,仙台,False
Kanta Chiba,,58,,清水 / 藤枝,清水 / 藤枝,清水 / 藤枝,False
Kazuki Fukai,,58,,札幌,札幌 / 栃木C / 横浜FC,札幌,False
Kota Kawano,,58,,山口,山口 / 岡山,山口,False
Rafael Elias da Silva,,58,,京都,京都,京都,False
Rafael Victor de Oliveira Furtado,,58,,相模原,相模原,相模原,False
Riku Ochiai,,58,,新潟,新潟,新潟,False
Shuto Okaniwa,,58,,湘南,広島 / 湘南,湘南,False
Taiga Ishiura,,58,,愛媛 / 琉球,岐阜 / 愛媛 / 金沢,愛媛,False
Toi Kagami,,58,,群馬,岐阜 / 清水 / 秋田 / 群馬,群馬,False
Yohei  Okuyama,,58,,山口,山口,山口,False
Yuhei Nishida,,58,,鳥取,秋田 / 鳥取,鳥取,False
Yuta Miyamoto,,58,,京都,京都,京都,False
Asuma Ikari,,57,,水戸,水戸,水戸,False
Edigar Junio Teixeira Lima,,57,,今治 / 長崎,今治 / 長崎,今治 / 長崎,False
Hikaru Manabe,,57,,宮崎,宮崎,宮崎,False
Hiroya Matsumoto,,57,,広島,G大阪 / 広島,広島,False
Jean Patric Lima dos Reis,,57,,神戸,神戸,神戸,False
Kodai Dohi,,57,,鳥取,秋田 / 鳥取,鳥取,True
Makoto Okazaki,,57,,鹿児島,鹿児島,鹿児島,False
Masaki Watai,,57,,柏,大宮 / 山口 / 柏 / 栃木SC,柏,False
Matheus Vieira Campos Peixoto,,57,,磐田,磐田,磐田,False
Nobuyuki Shiina,,57,,富山,富山 / 福岡,富山,False
Norman Campbell,,57,,長崎,長崎,長崎,False
Ren Nishimura,,57,,長崎,長崎,長崎,False
Rui Tone,,57,,FC大阪,FC大阪,FC大阪,False
Ryo Germain,,57,,広島 / 磐田,広島 / 磐田,広島 / 磐田,False
Shintaro Shimada,,57,,金沢,いわき / 沼津 / 金沢,金沢,False
Shota Kawanishi,,57,,讃岐,讃岐,讃岐,False
Shunto Kodama,,57,,徳島,徳島 / 秋田,徳島,False
Shuto  Adachi,,57,,群馬,秋田 / 群馬,群馬,False
Taira Maeda,,57,,相模原,松本 / 相模原,相模原,False
Takashi Kawano,,57,,千葉,千葉,千葉,False
Yoshiki Takahashi,,57,,富山,富山 / 町田,富山,False
Yuki Kagawa,,57,,大分,大分,大分,False
Chihiro Kato,,56,,山形 / 水戸,水戸,水戸,False
Eitaro Matsuda,,56,,鳥栖,C大阪 / 湘南 / 鳥栖,鳥栖,False
Jin Okumura,,56,,新潟,新潟,新潟,False
Jorn Pedersen,,56,,八戸,YS横浜 / 八戸,八戸,False
Kakeru  Aoto,,56,,高知,高知,高知,False
Keisuke Kasai,,56,,新潟,新潟,新潟,False
Kosei Ashibe,,56,,水戸 / 福島,水戸,水戸,False
Mahiro Yunomae,,56,,富山,富山 / 町田,富山,False
Masaki  Shintani,,56,,高知,高知,高知,False
Mário Sérgio Pereira Júnior,,56,,札幌,札幌,札幌,False
Naoki Yamada,,56,,岐阜,岐阜,岐阜,False
Ryo Saito,,56,,愛媛,愛媛 / 群馬,愛媛,False
Ryotaro Ishida,,56,,秋田,秋田 / 鳥取,秋田,False
Shu Kurata,,56,,G大阪,G大阪,G大阪,False
Shunji Masuda,,56,,FC大阪,FC大阪,FC大阪,False
Toya Nakamura,,56,,札幌,札幌 / 水戸 / 群馬 / 藤枝,札幌,False
Yuki Morikawa,,56,,讃岐,徳島 / 愛媛 / 横浜FM / 讃岐,讃岐,False
Yuki Yamamoto,,56,,川崎F,川崎F,川崎F,False
Yusuke Chajima,,56,,広島,広島,広島,False
Yuto Minakuchi,,56,,FC大阪,FC大阪,FC大阪,False
Yuto Mori,,56,,讃岐,讃岐,讃岐,False
Hibiki Okazawa,,55,,高知,FC大阪 / 高知,高知,False
Hijiri Onaga,,55,,東京V,東京V,東京V,False
Jiro Nakamura,,55,,岐阜,岐阜,岐阜,False
Kazuaki Saso,,55,,松本,松本 / 相模原,松本,False
Kazuki Fukui,,55,,相模原,松本 / 相模原,相模原,False
Ken Tokura,,55,,栃木C,岩手 / 栃木C,栃木C,False
Kotaro  Yamahara,,55,,愛媛,FC東京 / 愛媛,愛媛,False
Kotatsu Kumakura,,55,,甲府,甲府,甲府,False
Masaya Okugawa,,55,,京都,C大阪 / 京都 / 長崎,京都,False
Ruon  Hisanaga,,55,,いわき,いわき / 鳥取,いわき,False
Ryogo Yamasaki,,55,,京都 / 長崎,C大阪 / 京都 / 長崎,京都 / 長崎,False
Ryuji Izumi,,55,,名古屋,名古屋 / 東京V,名古屋,False
Shinji Kagawa,,55,,C大阪,C大阪 / 横浜FC,C大阪,False
Shintaro Nago,,55,,福岡,福岡,福岡,False
Shogo Asada,,55,,京都,京都 / 大分,京都,False
Shota Hino,,55,,鳥栖,鳥栖,鳥栖,False
Taiki Arai,,55,,新潟,新潟 / 藤枝,新潟,True
Zain Issaka,,55,,千葉 / 山形,千葉,千葉,False
Kasper Junker,,54,,名古屋,名古屋,名古屋,False
Koichi Murata,,54,,水戸,水戸,水戸,False
Koya  Hayashida,,54,,甲府,栃木SC / 甲府,甲府,False
Masaki Kaneura,,54,,鳥取,鳥取,鳥取,False
Nanasei Iino,,54,,神戸,神戸,神戸,False
Ryota Kajikawa,,54,,藤枝,札幌 / 水戸 / 群馬 / 藤枝,藤枝,False
Ryota Nakamura,,54,,秋田,東京V / 秋田 / 鹿児島,秋田,False
Ryota Sawazaki,,54,,FC大阪 / 松本,松本 / 琉球,松本,False
Serigne Diop,,54,,長崎 / 高知,松本 / 長崎 / 高知,長崎 / 高知,False
Shunsuke Saito,,54,,水戸,水戸,水戸,False
Takaya  Kimura,,54,,岡山,山口 / 岡山,岡山,False
Takuya Yasui,,54,,千葉,千葉,千葉,False
Yuki Kobayashi,,54,,札幌,札幌 / 栃木C / 横浜FC,札幌,False
Abdul Hanan  Sani Brown,,53,,福岡,福岡,福岡,False
Kohei Hosoya,,53,,愛媛,愛媛 / 琉球,愛媛,False
Miyu Sato,,53,,琉球,札幌 / 琉球,琉球,False
Ren Inoue,,53,,宮崎,宮崎 / 琉球,宮崎,False
Ryo Nemoto,,53,,水戸 / 湘南,水戸 / 湘南,水戸 / 湘南,False
Ryota  Ozawa,,53,,山口,山口 / 山形 / 鹿児島,山口,False
Soichiro Fukaminato,,53,,いわき,いわき,いわき,False
Yuya  Mineda,,53,,山口,山口 / 山形 / 鹿児島,山口,False
Akira Ibayashi,,52,,讃岐,秋田 / 讃岐,讃岐,True
Atsuki Yamanaka,,52,,群馬,秋田 / 群馬,群馬,True
Browne Noah Kenshin,,52,,岡山 / 磐田,山口 / 岡山,岡山,False
Haruto  Murakami,,52,,いわき,いわき / 横浜FM,いわき,False
Hinata Konishi,,52,,長野,長野,長野,False
Hinata Mukai,,52,,沼津,いわき / 沼津 / 金沢,沼津,False
Hiromu Kamada,,52,,仙台,仙台 / 高知,仙台,False
Junya Kato,,52,,今治 / 山口,山口,山口,True
Kaito Konomi,,52,,北九州,北九州 / 山形 / 札幌,北九州,False
Kaito Miyake,,52,,滋賀,今治 / 滋賀,滋賀,False
Kei Ikoma,,52,,奈良,奈良,奈良,False
Kimiya Moriyama,,52,,愛媛,徳島 / 愛媛 / 横浜FM / 讃岐,愛媛,False
Koju Yoshio,,52,,鹿児島,鹿児島,鹿児島,False
Koki  Sakamoto,,52,,山形,山形 / 愛媛,山形,False
Kota Nakayama,,52,,大宮,八戸 / 大宮 / 沼津,大宮,False
Kota Yamada,,52,,G大阪,G大阪 / 広島,G大阪,False
Manato Hyakuda,,52,,奈良 / 群馬,愛媛 / 群馬,群馬,False
Nagi Kawatani,,52,,奈良,奈良,奈良,False
Naoki Tsubaki,,52,,千葉,千葉,千葉,True
Noriyoshi Sakai,,52,,鳥栖,鳥栖,鳥栖,False
Rikuto Hirose,,52,,神戸,神戸,神戸,False
Ryohei Wakizaka,,52,,八戸,八戸 / 岐阜 / 相模原,八戸,False
Ryosuke Hisadomi,,52,,藤枝,藤枝,藤枝,True
Ryotaro Araki,,52,,鹿島,柏 / 鹿島,鹿島,False
Ryuhei Oishi,,52,,秋田,秋田 / 鳥取,秋田,False
Shinya Nakano,,52,,G大阪,G大阪,G大阪,True
Shinya Yajima,,52,,清水,岐阜 / 清水 / 秋田 / 群馬,清水,False
Shuhei Mizoguchi,,52,,鹿島,鹿島,鹿島,False
Shuma Kido,,52,,札幌,札幌,札幌,False
Taiga  Sasaki,,52,,高知,FC大阪 / 高知,高知,False
Taishi  Matsumoto,,52,,浦和,浦和,浦和,False
Takahiro Sekine,,52,,浦和,浦和,浦和,False
Takumi Hasegawa,,52,,秋田,秋田 / 群馬,秋田,True
Takuya Shigehiro,,52,,徳島,富山 / 徳島,徳島,False
Takuya Wada,,52,,大宮,大宮 / 山口 / 柏 / 栃木SC,大宮,True
Tatsuya Hakozaki,,52,,岐阜,岐阜,岐阜,False
Toki Yukutomo,,52,,愛媛,山形 / 愛媛,愛媛,False
Tomoya Koyamatsu,,52,,柏,柏,柏,False
Tsukasa Morishima,,52,,名古屋,名古屋,名古屋,False
Tsuyoshi Miyaichi,,52,,讃岐,FC大阪 / 富山 / 讃岐,讃岐,False
Yamato Natsukawa,,52,,FC大阪,FC大阪 / 高知,FC大阪,False
Yoshihiro Nakano,,52,,秋田,秋田 / 鳥取,秋田,False
Yoshihito  Kondo,,52,,いわき / 鹿児島,いわき / 栃木SC / 鹿児島,いわき / 鹿児島,False
Yoshiki Torikai,,52,,水戸 / 甲府,栃木SC / 甲府,甲府,False
Yuya Asano,,52,,名古屋,名古屋,名古屋,True
Malcolm Tsuyoshi Moyo,,51,,徳島,富山 / 徳島,徳島,False
