対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,大山　武蔵,Musashi Oyama,MF,Full Back,787.0,451.02,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Musashi Oyama,富山,2024|富山|451.02,富山,2024|富山|787.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,田頭　亮太,Ryota Tagashira,DF,Full Back,747.0,803.8,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Ryota Tagashira,群馬,2025|群馬|624.50; 2025|奈良|179.30,奈良,2025|奈良|0.00; 2025|群馬|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,藤谷　壮,So Fujitani,DF,Full Back,679.0,477.56,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,So Fujitani,松本,2024|松本|380.66; 2025|MIO Biwako Shiga|96.90,松本,2024|松本|679.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,前田　紘基,Hiroki Maeda,DF,Full Back,635.0,474.3,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Hiroki Maeda,北九州,2024|北九州|474.30,北九州,2024|北九州|635.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,坂本　稀吏也,Kiriya  Sakamoto,DF,Full Back,627.0,693.05,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Kiriya Sakamoto,北九州,2025|北九州|693.05,北九州,2025|北九州|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,ルーカス　セナ,Lucas Breno Sena Lima,DF,Full Back,611.0,691.53,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Lucas Breno Sena Lima,沼津,2025|沼津|691.53,沼津,2025|沼津|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小竹　知恩,Sean Kotake,FW,Full Back,570.0,641.55,SB,サイドバック,Left Wing Back (Position Group: Full Back),Left Wing Back,Full Back,Sean Kotake,群馬,2025|群馬|641.55,群馬,2025|群馬|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / 入力名補正: Chion Kotake -> Sean Kotake
2024-2025,J3,大越　寛人,Hiroto Okoshi,DF,Full Back,563.0,307.93,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Hiroto Okoshi,YS横浜,2024|YS横浜|307.93,YS横浜,2024|YS横浜|563.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小川　真輝,Masaki Ogawa,DF,Full Back,555.0,133.74,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Masaki Ogawa,岐阜,2024|岐阜|133.74,岐阜,2024|岐阜|555.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,柳　世根,Se-gun Ryu,DF,Full Back,548.0,380.63,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Se-gun Ryu,岩手,2024|岩手|380.63,岩手,2024|岩手|548.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Daiki Kogure
