FB_Name,SC_Name,analysis_position_code,analysis_position_jp,psv99_per_match,total_metersperminute_full_all_per_match,hi_distance_full_all_per_match,sprint_count_full_all_per_match,dropping_off_runs_proxy_per90,overlap_runs_proxy_per90,underlap_runs_proxy_per90,cross_success_rate_pct,early_cross_proxy_success_rate_pct,pa_entry_per90,tackle_win_rate_pct,cross_block_proxy_per90,pulling_half_space_runs_proxy_per90,successful_on_ball_actions_per90,attacking_third_entry_proxy_per90
内田　瑞己,Mizuki  Uchida,SB,サイドバック,29.6296875,98.7278125,735.5625,11.640625,11.228239845261122,4.090909090909091,0.0,18.439716312056735,22.34148936170213,1.3056092843326885,66.2525,2.3500967117988396,0.0,6.296141199226305,0.0
音泉　翔眞,Shoma Otoizumi,SB,サイドバック,28.759649122807016,112.12052631578948,992.8947368421053,14.210526315789474,12.816455696202533,3.3227848101265822,0.0,24.766666666666666,27.865573770491803,1.6772151898734178,65.88470588235293,2.879746835443038,0.0,9.399113924050633,0.0
杉井　颯,Hayate Sugii,SB,サイドバック,28.46551724137931,108.4148275862069,795.9137931034483,10.913793103448276,28.47094801223242,1.8960244648318043,0.0,30.6483870967742,27.13563829787234,1.1314984709480123,63.46346153846155,2.53822629969419,0.0,20.672874617737005,0.0
下川　陽太,Yota Shimokawa,SB,サイドバック,28.808620689655175,110.1498275862069,701.3965517241379,9.46551724137931,26.43243243243243,5.286486486486486,0.0,26.99570552147239,33.33690476190476,2.172972972972973,72.55098039215687,2.983783783783784,0.0,14.596378378378377,0.0
藤春　廣輝,Hiroki Fujiharu,SB,サイドバック,29.054000000000002,110.5748,840.18,12.08,29.45928548439009,2.1435468297392983,0.0,21.62162162162162,33.33472222222222,0.6372706791116833,61.534615384615385,1.4773093015770842,0.0,15.786672030897973,0.0
小澤　秀充,Hideatsu Ozawa,SB,サイドバック,28.443636363636365,114.71563636363636,790.4,10.236363636363636,11.890871654083734,2.964996568291009,0.0,23.96041666666667,22.22222222222222,2.687028140013727,68.08936170212766,2.1002059025394644,0.0,6.918109128345916,0.0
山脇　樺織,Kaoru Yamawaki,SB,サイドバック,30.844642857142855,115.77464285714287,900.6964285714286,14.446428571428571,17.65316205533597,5.380434782608696,0.0,28.91900826446281,25.803225806451614,2.134387351778656,71.42285714285713,3.2905138339920947,0.0,10.983779644268774,0.0
松本　雄真,Yuma Matsumoto,SB,サイドバック,28.849999999999998,111.85086206896553,881.4310344827586,12.206896551724139,20.72584856396867,3.0548302872062667,0.0,18.461538461538463,23.4421875,1.2689295039164492,64.17910447761194,2.443864229765013,0.0,9.446757180156657,0.0
鈴　直樹,Naoki Suzu,SB,サイドバック,28.06551724137931,112.8703448275862,711.2241379310345,8.241379310344827,24.888965995836223,1.9049271339347675,0.0,24.59508196721312,26.926923076923075,0.9993060374739764,49.99705882352941,3.6849410131852878,0.0,10.525128383067315,0.0
安在　達弥,Tatsuya Anzai,SB,サイドバック,28.896428571428572,110.22642857142857,697.4821428571429,9.017857142857142,34.539951573849876,1.3347457627118644,0.0,30.608163265306125,32.63958333333334,1.1985472154963681,67.56756756756756,2.070217917675545,0.0,11.878120460048427,0.0
舘野　俊祐,Shunsuke Tachino,SB,サイドバック,27.79615384615385,101.82442307692307,548.3461538461538,5.673076923076923,15.55345316934721,3.9451277199621573,0.0,16.55179856115108,22.55588235294118,1.5326395458845792,57.47241379310345,2.469252601702933,0.0,8.8000756859035,0.0
生駒　稀生,Kei Ikoma,SB,サイドバック,28.367924528301888,111.30207547169812,609.3207547169811,8.660377358490566,23.63636363636364,1.379310344827586,0.0,24.99090909090909,31.37843137254902,0.5329153605015674,64.28571428571429,2.9780564263322886,0.0,9.18551724137931,0.0
松長根　悠仁,Yuto  Matsunagane,SB,サイドバック,28.841509433962262,106.43245283018868,767.7924528301887,10.924528301886792,19.32754880694143,2.3427331887201737,0.0,24.993333333333332,33.78243243243243,1.0151843817787418,60.46744186046512,3.631236442516269,0.0,9.995739696312363,0.0
文　仁柱,In Ju Mun,SB,サイドバック,28.986792452830187,112.77264150943395,763.8867924528302,10.377358490566039,29.413533834586467,1.7142857142857144,0.0,18.421052631578945,31.645569620253166,1.443609022556391,67.5,2.706766917293233,0.0,16.105669172932334,0.0
樋口　大輝,Daiki Higuchi,SB,サイドバック,28.239682539682537,111.26777777777778,692.047619047619,8.158730158730158,13.960270498732037,1.6737109044801353,0.0,15.911363636363637,22.502500000000005,0.5705832628909552,68.57428571428572,3.1191885038038882,0.0,7.303770076077769,0.0
西谷　和希,Kazuki Nishiya,SB,サイドバック,28.645614035087718,106.91192982456141,750.5438596491229,9.842105263157896,13.215859030837004,3.303964757709251,0.0,22.002,27.26818181818182,2.1145374449339207,72.71818181818182,1.7841409691629957,0.0,8.589713656387666,0.0
橋本　陸,Riku Hashimoto,SB,サイドバック,29.205357142857142,109.11321428571429,657.8571428571429,9.178571428571429,15.70754716981132,3.8979416809605487,0.0,15.837623762376236,27.26727272727273,1.5051457975986278,64.27857142857142,1.813893653516295,0.0,7.794571183533448,0.0
丸山　壮大,Sota Maruyama,SB,サイドバック,29.358333333333334,109.554375,590.8333333333334,8.020833333333334,25.254860746190225,1.371518654755649,0.0,6.896551724137931,20.0,0.42564372044140836,55.54888888888889,2.0809248554913293,0.0,11.588575932737784,0.0
小島　雅也,Masaya Kojima,SB,サイドバック,28.684905660377357,108.48207547169811,644.9622641509434,8.433962264150944,14.815987336762959,4.416303917688959,0.0,18.549193548387095,29.84626865671642,1.6739216462208153,58.97179487179487,2.2081519588444793,0.0,8.619378709932727,0.0
美馬　和也,Kazuya Mima,SB,サイドバック,29.21764705882353,108.87970588235294,712.8823529411765,10.147058823529411,11.174496644295303,1.8120805369127515,0.0,22.727272727272727,29.840322580645157,0.9609517998779744,57.35588235294118,1.8669920683343504,0.0,7.110576571079929,0.0
山本　龍平,Ryuhei Yamamoto,SB,サイドバック,28.959615384615386,111.36692307692307,603.5384615384615,8.5,17.13293191292265,4.460398332561371,0.0,22.42897196261682,24.994999999999997,1.1672070402964336,71.42857142857143,2.667901806391848,0.0,9.046604909680408,0.0
乾　貴哉,Takaya Inui,SB,サイドバック,28.225641025641025,110.80974358974359,670.5128205128206,8.923076923076923,19.100169779286926,2.200339558573854,0.0,23.612499999999997,39.02682926829269,1.100169779286927,63.1578947368421,2.6893039049235994,0.0,10.726594227504242,0.0
石原　崇兆,Takayoshi Ishihara,SB,サイドバック,28.795555555555556,111.84844444444445,564.0888888888888,7.6,23.483691880638446,1.5301873698820265,0.0,30.612244897959183,37.345783132530116,1.5926439972241497,79.41176470588235,1.1242192921582235,0.0,10.273022206800833,0.0
荒木　遼太,Ryota Araki,SB,サイドバック,29.91219512195122,112.77121951219512,972.9024390243902,14.75609756097561,23.258426966292138,4.382022471910113,0.0,7.6923076923076925,33.33333333333333,1.348314606741573,50.0,1.6853932584269664,0.0,6.738539325842696,0.0
加々美　登生,Toi Kagami,SB,サイドバック,28.924444444444443,108.41688888888889,581.4,8.222222222222221,13.426829268292684,1.573170731707317,0.0,16.27441860465116,24.242424242424242,1.3902439024390245,80.00250000000001,1.7926829268292683,0.0,5.414670731707317,0.0
近藤　貴司,Takashi Kondo,SB,サイドバック,29.360975609756096,114.9560975609756,821.3170731707318,12.463414634146341,13.125870877844866,3.887598699489085,0.0,23.653763440860214,19.230769230769234,2.0483046911286578,74.08148148148149,1.2958662331630284,0.0,6.395559684161636,0.0
上月　翔聖,Shosei Kozuki,SB,サイドバック,29.586842105263155,111.75894736842106,970.3684210526316,14.526315789473685,,,0.0,,,,,,0.0,,0.0
