FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,raw_hi_distance_full_all_per_match,raw_sprint_count_full_all_per_match,raw_crosses_per90,raw_cross_success_rate_pct,raw_pa_entry_per90,raw_tackle_win_rate_pct,raw_blocks_per90,raw_forward_long_pass_success_rate_pct,raw_regain_within_5s_per90,win_running_distance_full_all_per_match,win_hi_distance_full_all_per_match,win_sprint_count_full_all_per_match,win_crosses_per90,win_cross_success_rate_pct,win_pa_entry_per90,win_tackle_win_rate_pct,win_blocks_per90,win_forward_long_pass_success_rate_pct,win_regain_within_5s_per90,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,imputed_running_distance_full_all_per_match,imputed_hi_distance_full_all_per_match,imputed_sprint_count_full_all_per_match,imputed_crosses_per90,imputed_cross_success_rate_pct,imputed_pa_entry_per90,imputed_tackle_win_rate_pct,imputed_blocks_per90,imputed_forward_long_pass_success_rate_pct,imputed_regain_within_5s_per90
内田　瑞己,Mizuki  Uchida,SB,サイドバック,1188.359375,735.5625,11.640625,4.090909090909091,18.439716312056735,1.3056092843326885,66.2525,2.3500967117988396,22.34148936170213,1.0444874274661509,1188.359375,735.5625,11.640625,4.090909090909091,18.439716312056735,1.3056092843326885,66.2525,2.3500967117988396,22.34148936170213,1.0444874274661509,0.28629632082716794,0.653839493985519,1.23040469497573,0.7355429484377203,-0.33167231333911673,-0.245601714510852,0.3767612948441107,-0.003480207002298897,-0.5082096072550614,-0.008488781102215117,0,0,0,0,0,0,0,0,0,0
音泉　翔眞,Shoma Otoizumi,SB,サイドバック,1584.719298245614,992.8947368421053,14.210526315789474,3.3227848101265822,24.766666666666666,1.6772151898734178,65.88470588235293,2.879746835443038,27.865573770491803,0.9493670886075949,1584.719298245614,982.7955555555556,14.210526315789474,3.3227848101265822,24.766666666666666,1.6772151898734178,65.88470588235293,2.879746835443038,27.865573770491803,0.9493670886075949,1.632722547933139,2.1112836151308114,2.1799644949792576,0.1902966726766197,0.547921163804934,0.43891811243540735,0.33605738499321947,0.7689665917353014,0.10924659508468997,-0.23304234718530834,0,0,0,0,0,0,0,0,0,0
杉井　颯,Hayate Sugii,SB,サイドバック,1453.5689655172414,795.9137931034483,10.913793103448276,1.8960244648318043,30.6483870967742,1.1314984709480123,63.46346153846155,2.53822629969419,27.13563829787234,1.8042813455657494,1453.5689655172414,795.9137931034483,10.913793103448276,1.8960244648318043,30.6483870967742,1.1314984709480123,63.46346153846155,2.53822629969419,27.13563829787234,1.8042813455657494,1.1872076577464972,1.0096116505019117,0.9618456082569392,-0.8224766299497414,1.365617310407059,-0.5663240229309163,0.06809738571093783,0.2708897807128526,0.027657837288095358,1.7851805418300162,0,0,0,0,0,0,0,0,0,0
下川　陽太,Yota Shimokawa,SB,サイドバック,1347.896551724138,701.3965517241379,9.46551724137931,5.286486486486486,26.99570552147239,2.172972972972973,72.55098039215687,2.983783783783784,33.33690476190476,0.9405405405405406,1347.896551724138,701.3965517241379,9.46551724137931,5.286486486486486,26.99570552147239,2.172972972972973,72.55098039215687,2.983783783783784,33.33690476190476,0.9405405405405406,0.8282407161658218,0.45243050218984077,0.426718236055227,1.584213064240646,0.857809487104199,1.3521329640690667,1.0738164291678585,0.9206950707986299,0.7208062682725621,-0.2538794559303493,0,0,0,0,0,0,0,0,0,0
藤春　廣輝,Hiroki Fujiharu,SB,サイドバック,1477.08,840.18,12.08,2.1435468297392983,21.62162162162162,0.6372706791116833,61.534615384615385,1.4773093015770842,33.33472222222222,0.6662375281622144,1477.08,840.18,12.08,2.1435468297392983,21.62162162162162,0.6372706791116833,61.534615384615385,1.4773093015770842,33.33472222222222,0.6662375281622144,1.267074141710777,1.2705618816989823,1.392750554158413,-0.6467750527311391,0.11068664292233889,-1.476720541112073,-0.14536872534234496,-1.2763617016116888,0.7205623142407057,-0.9014351769889223,0,0,0,0,0,0,0,0,0,0
小澤　秀充,Hideatsu Ozawa,SB,サイドバック,1475.7272727272727,790.4,10.236363636363636,2.964996568291009,23.96041666666667,2.687028140013727,68.08936170212766,2.1002059025394644,22.22222222222222,0.5559368565545642,1475.7272727272727,790.4,10.236363636363636,2.964996568291009,23.96041666666667,2.687028140013727,68.08936170212766,2.1002059025394644,22.22222222222222,0.5559368565545642,1.2624789559432372,0.9771077228787448,0.7115403590517662,-0.06367616902709822,0.43583363328864494,2.2990526678115035,0.5800474528998133,-0.36792334980428576,-0.5215407277734252,-1.1618254305149183,0,0,0,0,0,0,0,0,0,0
山脇　樺織,Kaoru Yamawaki,SB,サイドバック,1476.0357142857142,900.6964285714286,14.446428571428571,5.380434782608696,28.91900826446281,2.134387351778656,71.42285714285713,3.2905138339920947,25.803225806451614,1.3784584980237153,1476.0357142857142,900.6964285714286,14.446428571428571,5.380434782608696,28.91900826446281,2.134387351778656,71.42285714285713,3.2905138339920947,25.803225806451614,1.3784584980237153,1.2635267253554783,1.6273075153115495,2.267128658563581,1.65090143727652,1.1251933691469926,1.2810559915324906,0.9489666155439896,1.3680331054427917,-0.12127297115386743,0.7799271955671507,0,0,0,0,0,0,0,0,0,0
松本　雄真,Yuma Matsumoto,SB,サイドバック,1386.2413793103449,881.4310344827586,12.206896551724139,3.0548302872062667,18.461538461538463,1.2689295039164492,64.17910447761194,2.443864229765013,23.4421875,1.6919060052219324,1386.2413793103449,881.4310344827586,12.206896551724139,3.0548302872062667,18.461538461538463,1.2689295039164492,64.17910447761194,2.443864229765013,23.4421875,1.6919060052219324,0.9584972797284623,1.513737607384048,1.439637904865611,9.15075088068598e-05,-0.32863852624334705,-0.31316801679126344,0.1472978521755945,0.1332712367247251,-0.385178740580679,1.5198925527751326,0,0,0,0,0,0,0,0,0,0
鈴　直樹,Naoki Suzu,SB,サイドバック,1356.0862068965516,711.2241379310345,8.241379310344827,1.9049271339347675,24.59508196721312,0.9993060374739764,49.99705882352941,3.6849410131852878,26.926923076923075,1.436502428868841,1356.0862068965516,711.2241379310345,8.241379310344827,1.9049271339347675,24.59508196721312,0.9993060374739764,49.99705882352941,3.6849410131852878,26.926923076923075,1.436502428868841,0.8560608005598207,0.5103643319121834,-0.02559180473431507,-0.8161571484619552,0.5240668937446205,-0.8098302222029139,-1.4222343401770343,1.9432694705485112,0.00432863046193252,0.9169533228619131,0,0,0,0,0,0,0,0,0,0
安在　達弥,Tatsuya Anzai,SB,サイドバック,1172.8035714285713,697.4821428571429,9.017857142857142,1.3347457627118644,30.608163265306125,1.1985472154963681,67.56756756756756,2.070217917675545,32.63958333333334,0.6809927360774819,1172.8035714285713,697.4821428571429,9.017857142857142,1.3347457627118644,30.608163265306125,1.1985472154963681,67.56756756756756,2.070217917675545,32.63958333333334,0.6809927360774819,0.23345358702912608,0.42935497865945704,0.2613110933721299,-1.2208953880225304,1.360025260872597,-0.44281631131793675,0.5223003047133953,-0.41165811332958824,0.6428629550945912,-0.8666020950694209,0,0,0,0,0,0,0,0,0,0
