FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_sprint_distance_full_all_per_match,win_sprint_distance_full_all_per_match,z_sprint_distance_full_all_per_match,imputed_sprint_distance_full_all_per_match,raw_hsr_count_full_all_per_match,win_hsr_count_full_all_per_match,z_hsr_count_full_all_per_match,imputed_hsr_count_full_all_per_match,raw_dribble_success_rate_pct,win_dribble_success_rate_pct,z_dribble_success_rate_pct,imputed_dribble_success_rate_pct,raw_crosses_per90,win_crosses_per90,z_crosses_per90,imputed_crosses_per90,raw_cross_success_rate_pct,win_cross_success_rate_pct,z_cross_success_rate_pct,imputed_cross_success_rate_pct,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_pa_entry_per90,win_pa_entry_per90,z_pa_entry_per90,imputed_pa_entry_per90,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_regain_within_5s_per90,win_regain_within_5s_per90,z_regain_within_5s_per90,imputed_regain_within_5s_per90,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_3,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
幸喜　祐心,Yushin Koki,SH,サイドハーフ,70.88888888888889,70.88888888888889,-0.69624,0,28.833333333333332,28.833333333333332,-0.64354,0,28.57142857142857,28.57142857142857,-0.987628,0,1.1002444987775062,1.1002444987775062,-0.591117,0,0.0,0.0,-2.137353,0,0.4400977995110024,0.4400977995110024,-1.36757,0,0.8801955990220048,0.8801955990220048,-0.65707,0,13.333333333333334,13.333333333333334,0.864641,0,0.9902200488997556,0.9902200488997556,-0.295969,0,0,0.0,3,2.90502,2.905020242732054,-1.99685,0.691659,-2.6157570000000003,-2.905020242732054,172,43,195,133
東出　壮太,Sota Higashide,SH,サイドハーフ,94.0,94.0,-0.228211,0,35.9,35.9,-0.003199,0,36.84210526315789,36.84210526315789,-0.533893,0,1.3582208101667992,1.3582208101667992,-0.397515,0,21.047368421052628,21.047368421052628,-0.072719,0,1.072279586973789,1.072279586973789,-0.057743,0,1.000794281175536,1.000794281175536,-0.516855,0,0.0,0.0,-1.296257,0,0.7148530579825257,0.7148530579825257,-0.836033,0,0,0.0,3,1.766079,1.76607938920933,-0.748265,-0.3021400000000001,-0.9721129999999999,-1.76607938920933,134,142,161,62
藤森　亮志,Ryoji Fujimori,SH,サイドハーフ,144.79310344827587,144.79310344827587,0.800414,0,35.310344827586206,35.310344827586206,-0.05663,0,45.47272727272728,45.47272727272728,-0.06041,0,3.0215827338129495,3.0215827338129495,0.850779,0,28.57857142857143,28.57857142857143,0.666051,0,0.6474820143884893,0.6474820143884893,-0.937888,0,1.5107913669064748,1.5107913669064748,0.076093,0,0.0,0.0,-1.296257,0,0.8633093525179856,0.8633093525179856,-0.544873,0,0,0.0,0,2.332201,2.44279356631419,0.819877,-0.48446300000000003,-0.011016000000000137,-2.44279356631419,68,150,68,100
齋藤　学,Manabu Saito,SH,サイドハーフ,46.84905660377358,46.84905660377358,-1.183078,0,14.641509433962264,14.641509433962264,-1.929523,0,63.80000000000001,63.80000000000001,0.945037,0,8.042553191489363,8.001363956601377,4.587927,0,22.223809523809525,22.223809523809525,0.042683,0,3.0638297872340425,2.686493316485997,3.286769,0,5.744680851063829,5.744680851063829,4.998625,0,13.333333333333334,13.333333333333334,0.864641,0,0.6382978723404256,0.6382978723404256,-0.986177,0,0,0.0,2,1.752553,8.054192486623784,1.8860239999999995,-1.931214,12.873320999999999,-8.054192486623784,38,200,2,214
遠藤　光,Hikaru Endo,SH,サイドハーフ,38.875,38.875,-1.344562,0,24.1875,24.1875,-1.064519,0,50.0,50.0,0.187959,0,0.588716271463614,0.588716271463614,-0.975001,0,37.5125,37.5125,1.542422,0,0.294358135731807,0.294358135731807,-1.66953,0,0.588716271463614,0.588716271463614,-0.995958,0,14.285714285714285,14.285714285714285,1.018991,0,1.6189697465249389,1.6189697465249389,0.937168,0,0,0.0,1,3.031325,3.220314405265269,-3.405039,0.749209,-3.640489,-3.220314405265269,208,42,212,142
山中　惇希,Atsuki Yamanaka,SH,サイドハーフ,236.0,236.0,2.64747,0,56.68421052631579,56.68421052631579,1.880147,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,1.843362,3.824715684244517,4.323831,-0.30044099999999996,-0.5235650000000001,-3.824715684244517,7,98,107,172
大橋　尚志,Hisashi  Ohashi,SH,サイドハーフ,43.21739130434783,43.21739130434783,-1.256623,0,26.26086956521739,26.26086956521739,-0.876642,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,3,0.994961,0.9949606963212165,-2.337051,-0.30044099999999996,-0.5235650000000001,-0.9949606963212165,184,94,103,32
山口　一真,Kazuma Yamaguchi,SH,サイドハーフ,92.0,92.0,-0.268713,0,22.88,22.88,-1.182997,0,47.37368421052632,47.37368421052632,0.043877,0,4.26264800861141,4.26264800861141,1.782154,0,11.365909090909092,11.365909090909092,-1.022418,0,1.0656620021528525,1.0656620021528525,-0.071454,0,1.743810548977395,1.743810548977395,0.347013,0,9.67741935483871,9.67741935483871,0.272137,0,0.193756727664155,0.193756727664155,-1.858034,0,0,0.0,3,2.828372,2.8283717147510865,-1.104697,-1.901911,2.0577129999999997,-2.8283717147510865,146,198,32,130
中山　陸,Riku Nakayama,SH,サイドハーフ,132.14285714285714,132.14285714285714,0.544231,0,54.285714285714285,54.285714285714285,1.662809,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,1.144971,2.283966561827252,2.003254,-0.30044099999999996,-0.5235650000000001,-2.283966561827252,36,80,89,88
松原　亘紀,Koki Matsubara,SH,サイドハーフ,118.75,118.75,0.273008,0,38.375,38.375,0.221071,0,27.766666666666666,27.766666666666666,-1.031778,0,0.6343612334801763,0.6343612334801763,-0.940746,0,0.0,0.0,-2.137353,0,0.7136563876651982,0.7136563876651982,-0.80078,0,0.3964757709251101,0.3964757709251101,-1.219466,0,0.0,0.0,-1.296257,0,0.8722466960352422,0.8722466960352422,-0.527344,0,0,0.0,3,3.271951,3.271951676233315,-0.725387,0.504434,-2.960992,-3.271951676233315,133,47,200,145
藤井　建悟,Kengo Fujii,SH,サイドハーフ,185.5,185.5,1.624781,0,48.95,48.95,1.179317,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,0.887758,2.589671980838693,2.6003119999999997,-0.30044099999999996,-0.5235650000000001,-2.589671980838693,26,127,136,117
バスケス　バイロン,Byron Gustavo Andrés Vásquez Maragaño,SH,サイドハーフ,226.8571428571429,226.8571428571429,2.462315,0,62.285714285714285,60.27230769230768,2.20528,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,1.874815,3.8875608770333105,4.463809,-0.30044099999999996,-0.5235650000000001,-3.8875608770333105,6,77,86,173
田中　直基,Naoki Tanaka,SH,サイドハーフ,107.92857142857144,107.92857142857144,0.05386,0,28.642857142857142,28.642857142857142,-0.6608,0,50.0,50.0,0.187959,0,1.6901408450704225,1.6901408450704225,-0.148421,0,19.994999999999997,19.994999999999997,-0.175951,0,0.4225352112676056,0.4225352112676056,-1.403958,0,0.76056338028169,0.76056338028169,-0.79616,0,15.0,15.0,1.134753,0,0.8450704225352113,0.8450704225352113,-0.580644,0,0,0.0,3,1.927463,1.9274633081859172,-1.4031,-0.768603,-2.348539,-1.9274633081859172,156,166,188,71
宇都木　峻,Shun Utsugi,SH,サイドハーフ,86.4,86.4,-0.382121,0,33.8,33.8,-0.193489,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,3,0.310994,0.3109946683932057,-0.779396,-0.30044099999999996,-0.5235650000000001,-0.3109946683932057,136,96,105,2
道本　大飛,Hiroto Domoto,SH,サイドハーフ,58.6875,58.6875,-0.943334,0,28.125,28.125,-0.707725,0,44.81379310344827,44.81379310344827,-0.09656,0,2.0809248554913293,2.0809248554913293,0.144848,0,4.1625,4.1625,-1.729034,0,1.0404624277456649,1.0404624277456649,-0.123666,0,1.1271676300578035,1.1271676300578035,-0.369927,0,0.0,0.0,-1.296257,0,0.8670520231213872,0.8670520231213872,-0.537532,0,0,0.0,3,2.260119,2.2601186988368553,-2.020986,-0.44097200000000003,-0.34874499999999997,-2.2601186988368553,175,149,78,86
三門　雄大,Yuta Mikado,SH,サイドハーフ,72.69565217391305,72.69565217391305,-0.659651,0,27.347826086956523,27.347826086956523,-0.778149,0,0.0,0.0,-2.555077,0,2.190847127555988,2.190847127555988,0.227341,0,32.0,32.0,1.001675,0,1.4021421616358325,1.4021421616358325,0.625704,0,1.314508276533593,1.314508276533593,-0.152116,0,12.5,12.5,0.729585,0,1.2268743914313536,1.2268743914313536,0.16817,0,0,0.0,1,2.661075,3.2279176850575046,-1.5899159999999999,2.7232469999999998,0.700929,-3.2279176850575046,159,17,53,144
楠　大樹,Daiki Kusunoki,SH,サイドハーフ,218.9090909090909,218.9090909090909,2.301357,0,44.45454545454545,44.45454545454545,0.771965,0,41.66388888888888,41.66388888888888,-0.269366,0,5.704225352112676,5.704225352112676,2.864006,0,17.45079365079365,17.45079365079365,-0.425524,0,0.9959758551307848,0.9959758551307848,-0.215838,0,2.0824949698189132,2.0824949698189132,0.740784,0,0.0,0.0,-1.296257,0,0.9054325955734408,0.9054325955734408,-0.462258,0,0,0.0,0,3.315676,4.5591374152367905,3.814106,-0.192892,3.3889519999999997,-4.5591374152367905,14,70,17,195
植田　啓太,Keita Ueda,SH,サイドハーフ,74.9375,74.9375,-0.614251,0,30.375,30.375,-0.503843,0,38.46153846153847,38.46153846153847,-0.445049,0,2.459514170040486,2.459514170040486,0.428966,0,40.74444444444445,40.74444444444445,1.859458,0,1.0020242914979756,1.0020242914979756,-0.203306,0,1.2753036437246963,1.2753036437246963,-0.197697,0,5.88235294117647,5.88235294117647,-0.342919,0,0.3643724696356275,0.3643724696356275,-1.523414,0,0,0.0,3,2.544584,2.5445835300300126,-1.3157910000000002,-1.078365,0.027963000000000016,-2.5445835300300126,152,182,66,114
芦部　晃生,Kosei Ashibe,SH,サイドハーフ,263.75,254.90244897959153,3.030269,0,58.0,58.0,1.999377,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,2.209201,4.2045862010824555,4.82586,-0.30044099999999996,-0.5235650000000001,-4.2045862010824555,5,125,134,188
石浦　大雅,Taiga Ishiura,SH,サイドハーフ,77.13333333333334,77.13333333333334,-0.569782,0,34.13333333333333,34.13333333333333,-0.163285,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,3,0.362889,0.36288813954991694,-0.936853,-0.30044099999999996,-0.5235650000000001,-0.36288813954991694,141,118,127,5
碓井　鉄平,Teppei Usui,SH,サイドハーフ,42.785714285714285,42.785714285714285,-1.265365,0,23.285714285714285,23.285714285714285,-1.146234,0,100.0,89.06783333333324,2.331248,0,0.8709677419354839,0.8709677419354839,-0.763181,0,11.11111111111111,11.11111111111111,-1.047412,0,0.4838709677419355,0.4838709677419355,-1.276876,0,0.6774193548387097,0.6774193548387097,-0.892827,0,0.0,0.0,-1.296257,0,2.129032258064516,2.129032258064516,1.937529,0,0,0.0,3,3.959602,3.9596009835017467,-3.304426,-0.39371899999999993,-2.9328839999999996,-3.9596009835017467,206,146,199,177
武沢　一翔,Kazuto Takezawa,SH,サイドハーフ,143.28571428571428,143.28571428571428,0.769888,0,45.142857142857146,45.142857142857146,0.834336,0,44.44444444444444,44.44444444444444,-0.116823,0,2.386740331491713,2.386740331491713,0.374352,0,24.99583333333333,24.99583333333333,0.314604,0,0.8950276243093922,0.8950276243093922,-0.424994,0,1.5911602209944753,1.5911602209944753,0.169534,0,9.523809523809524,9.523809523809524,0.247242,0,0.7955801104972376,0.7955801104972376,-0.677707,0,0,0.0,0,1.006859,1.9773973827182538,1.773758,-0.5608839999999999,0.118892,-1.9773973827182538,41,152,65,75
小林　里駆,Riku Kobayashi,SH,サイドハーフ,78.47058823529412,78.47058823529412,-0.542701,0,29.764705882352946,29.764705882352946,-0.559145,0,66.66666666666666,66.66666666666666,1.102304,0,2.4725274725274726,2.4725274725274726,0.438732,0,0.0,0.0,-2.137353,0,0.7417582417582418,0.7417582417582418,-0.742555,0,0.989010989010989,0.989010989010989,-0.530555,0,33.33333333333333,28.57142857142857,3.334239,0,0.989010989010989,0.989010989010989,-0.29834,0,0,0.0,3,4.066924,4.066924777199475,-1.6324010000000002,-1.400644,-0.834378,-4.066924777199475,161,186,155,183
鏑木　瑞生,Mizuki  Kaburaki,SH,サイドハーフ,55.71875,55.71875,-1.003455,0,21.5625,21.5625,-1.302382,0,80.0,80.0,1.833781,0,1.1226611226611227,1.1226611226611227,-0.574294,0,16.666666666666664,16.666666666666664,-0.502442,0,1.683991683991684,1.683991683991684,1.209672,0,1.683991683991684,1.683991683991684,0.277464,0,0.0,0.0,-1.296257,0,0.9355509355509356,0.9355509355509356,-0.403189,0,0,0.0,3,2.796882,2.796882327107274,-2.0283729999999998,-2.2369700000000003,0.9128420000000002,-2.796882327107274,176,208,47,128
福田　晃斗,Akito Fukuta,SH,サイドハーフ,118.27272727272728,118.27272727272728,0.263343,0,53.18181818181818,53.18181818181818,1.562781,0,,50.0,0.187959,1,,1.61243096999367,-0.20674,1,,21.58474378881988,-0.020005,1,,1.045591440249933,-0.113039,1,,1.270066866836491,-0.203786,1,,7.6923076923076925,-0.049585,1,,1.0837758152830617,-0.112482,1,7,0.7778,0,1.278581,2.0864412193285005,1.622338,-0.30044099999999996,-0.5235650000000001,-2.0864412193285005,46,119,128,82
毛利　駿也,Shunya Mouri,SH,サイドハーフ,68.86206896551724,68.86206896551724,-0.737286,0,22.655172413793103,22.655172413793103,-1.20337,0,0.0,0.0,-2.555077,0,1.6861826697892273,1.6861826697892273,-0.151391,0,50.0,50.0,2.767378,0,0.6323185011709602,0.6323185011709602,-0.969305,0,1.053864168618267,1.053864168618267,-0.455154,0,0.0,0.0,-1.296257,0,1.053864168618267,1.053864168618267,-0.171147,0,0,0.0,1,3.473478,4.415492443677602,-2.39581,2.38393,-1.57585,-4.415492443677602,185,23,174,193
山本　凌太郎,Ryotaro Yamamoto,SH,サイドハーフ,51.07142857142857,51.07142857142857,-1.097569,0,21.714285714285715,21.714285714285715,-1.288628,0,54.54545454545454,54.54545454545454,0.437326,0,0.7446808510638298,0.7446808510638298,-0.857955,0,14.27142857142857,14.27142857142857,-0.737402,0,0.425531914893617,0.425531914893617,-1.397749,0,0.7446808510638298,0.7446808510638298,-0.814626,0,7.6923076923076925,7.6923076923076925,-0.049585,0,1.3829787234042552,1.3829787234042552,0.47433,0,0,0.0,3,2.22385,2.223849574934195,-3.200823,0.03700399999999998,-3.0703300000000002,-2.223849574934195,204,59,203,84
