FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_sprint_distance_full_all_per_match,win_sprint_distance_full_all_per_match,z_sprint_distance_full_all_per_match,imputed_sprint_distance_full_all_per_match,raw_hsr_count_full_all_per_match,win_hsr_count_full_all_per_match,z_hsr_count_full_all_per_match,imputed_hsr_count_full_all_per_match,raw_dribble_success_rate_pct,win_dribble_success_rate_pct,z_dribble_success_rate_pct,imputed_dribble_success_rate_pct,raw_crosses_per90,win_crosses_per90,z_crosses_per90,imputed_crosses_per90,raw_cross_success_rate_pct,win_cross_success_rate_pct,z_cross_success_rate_pct,imputed_cross_success_rate_pct,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_pa_entry_per90,win_pa_entry_per90,z_pa_entry_per90,imputed_pa_entry_per90,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_regain_within_5s_per90,win_regain_within_5s_per90,z_regain_within_5s_per90,imputed_regain_within_5s_per90,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center
西谷　優希,Yuki  Nishiya,SH,サイドハーフ,130.0327868852459,130.0327868852459,0.501499,0,48.49180327868852,48.49180327868852,1.137798,0,90.0,89.06783333333324,2.331248,0,1.1286173633440513,1.1286173633440513,-0.569824,0,23.074358974358972,23.074358974358972,0.126118,0,0.607717041800643,0.607717041800643,-1.020277,0,0.6945337620578778,0.6945337620578778,-0.872929,0,7.142857142857142,7.142857142857142,-0.138633,0,1.8231511254019295,1.8231511254019295,1.337619,0,0,0.0000,0,3.259817
岡田　優希,Yuki Okada,SH,サイドハーフ,173.03333333333333,173.03333333333333,1.372315,0,58.9,58.9,2.080930,0,58.88598130841122,58.88598130841122,0.675450,0,2.3010546500479387,2.3010546500479387,0.310048,0,36.2425,36.2425,1.417842,0,1.2080536912751678,1.2080536912751678,0.223569,0,2.070949185043145,2.070949185043145,0.727360,0,16.455696202531644,16.455696202531644,1.370674,0,0.4889741131351869,0.4889741131351869,-1.279038,0,0,0.0000,0,2.441666
西村　恭史,Yasufumi Nishimura,SH,サイドハーフ,209.96610169491527,209.96610169491527,2.120250,0,55.47457627118644,55.47457627118644,1.770537,0,25.0,25.0,-1.183559,0,0.844923504867872,0.844923504867872,-0.782727,0,25.92962962962963,25.92962962962963,0.406204,0,1.0326842837273993,1.0326842837273993,-0.139781,0,0.844923504867872,0.844923504867872,-0.698079,0,2.272727272727273,2.272727272727273,-0.927922,0,1.8776077885952713,1.8776077885952713,1.444423,0,0,0.0000,0,3.111894
森　晃太,Kota Mori,SH,サイドハーフ,229.95238095238096,229.95238095238096,2.524998,0,54.22222222222222,54.22222222222222,1.657056,0,65.14628571428571,65.14628571428571,1.018895,0,3.4849023090586146,3.4849023090586146,1.198483,0,22.94036697247706,22.94036697247706,0.112974,0,1.2468916518650088,1.2468916518650088,0.304038,0,3.2930728241563054,3.2930728241563054,2.148263,0,7.766990291262135,7.766990291262135,-0.037481,0,0.44760213143872113,0.44760213143872113,-1.360179,0,0,0.0000,0,2.886773
山内　陸,Riku Yamauchi,SH,サイドハーフ,174.96153846153845,174.96153846153845,1.411363,0,60.40384615384615,60.27230769230768,2.205280,0,69.23846153846155,69.23846153846155,1.243395,0,1.0012360939431397,1.0012360939431397,-0.665419,0,24.997222222222216,24.997222222222216,0.314740,0,1.195920889987639,1.195920889987639,0.198431,0,1.0290482076637826,1.0290482076637826,-0.484006,0,0.0,0.0,-1.296257,0,1.779975278121137,1.779975278121137,1.252941,0,0,0.0000,0,2.810146
徳永　晃太郎,Kotaro Tokunaga,SH,サイドハーフ,111.26666666666667,111.26666666666667,0.121461,0,48.666666666666664,48.666666666666664,1.153643,0,45.45454545454545,45.45454545454545,-0.061408,0,1.3525588952071486,1.3525588952071486,-0.401764,0,16.208108108108107,16.208108108108107,-0.547425,0,1.4622258326563768,1.4622258326563768,0.750192,0,1.5718927701056051,1.5718927701056051,0.147132,0,7.6923076923076925,7.6923076923076925,-0.049585,0,1.3160032493907392,1.3160032493907392,0.342974,0,0,0.0000,0,1.669660
富所　悠,Yu Tomidokoro,SH,サイドハーフ,48.73076923076923,48.73076923076923,-1.144970,0,34.21153846153846,34.21153846153846,-0.156198,0,26.923076923076923,26.923076923076923,-1.078058,0,0.5594405594405595,0.5594405594405595,-0.996971,0,31.25,31.25,0.928104,0,2.377622377622378,2.377622377622378,2.646815,0,1.7482517482517481,1.7482517482517481,0.352176,0,18.181818181818183,18.181818181818183,1.650422,0,0.48951048951048953,0.48951048951048953,-1.277986,0,0,0.0000,3,3.917906
山本　康裕,Kosuke Yamamoto,SH,サイドハーフ,123.36206896551724,123.36206896551724,0.366408,0,40.706896551724135,40.706896551724135,0.432374,0,60.0,60.0,0.736566,0,1.0998603351955307,1.0998603351955307,-0.591406,0,20.002857142857145,20.002857142857145,-0.175180,0,0.8798882681564246,0.8798882681564246,-0.456362,0,1.0370111731843576,1.0370111731843576,-0.474748,0,3.7037037037037033,3.7037037037037033,-0.696007,0,1.1312849162011174,1.1312849162011174,-0.019305,0,0,0.0000,3,1.629378
永田　一真,Kazuma Nagata,SH,サイドハーフ,201.0,201.0,1.938675,0,57.60344827586207,57.60344827586207,1.963444,0,51.11555555555556,51.11555555555556,0.249159,0,1.1826008155867693,1.1826008155867693,-0.529312,0,20.682758620689654,20.682758620689654,-0.108485,0,0.8971454463072043,0.8971454463072043,-0.420606,0,0.8971454463072043,0.8971454463072043,-0.637363,0,18.181818181818183,18.181818181818183,1.650422,0,1.1418214771182602,1.1418214771182602,0.001360,0,0,0.0000,0,2.401208
菊井　悠介,Yusuke Kikui,SH,サイドハーフ,171.9,171.9,1.349363,0,52.36,52.36,1.488312,0,60.523684210526305,60.523684210526305,0.765296,0,2.7075399847677075,2.7075399847677075,0.615101,0,29.112658227848105,29.112658227848105,0.718442,0,2.9817212490479816,2.686493316485997,3.286769,0,2.1934501142421934,2.1934501142421934,0.869786,0,11.11111111111111,11.11111111111111,0.504491,0,0.8568164508758568,0.8568164508758568,-0.557607,0,0,0.0000,0,3.377162
