Issue_Type,FB_Name,FB_Pos,FB_Minutes,SC_Name,SC_Position_Group,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes,Match_Vector_Score
low_confidence_top_candidate,小西　宏登,FW,1386.0,Taiyo Shimokawa,Full Back,1709.15,auto_j3_outfield,76.95,1.5,42.42,92.53,81.09,4,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,山中　惇希,MF,1189.0,Ren Fujimura,Midfield,1731.99,auto_j3_outfield,71.68,0.68,29.63,92.16,68.65,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,鈴木　隆雅,DF,373.0,Carlos Eduardo da Silva Rodrigues Lima,Central Defender,253.23,auto_j3_outfield,70.54,3.45,26.42,91.97,67.89,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,堤　奏一郎,MF,2042.0,Asahi Haga,Midfield,1659.97,auto_j3_outfield,72.12,1.42,27.59,91.76,81.29,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,櫻井　文陽,MF,510.0,Koki Kazama,Midfield,763.73,auto_j3_outfield,71.59,4.48,30.77,91.69,66.78,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,パトリック,FW,1645.0,Taiki Kato,Wide Attacker,2107.41,auto_j3_outfield,78.95,2.78,52.63,91.08,78.06,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,玉城　大志,MF,544.0,Koki Kazama,Midfield,763.73,auto_j3_outfield,77.47,17.9,50.0,91.06,71.23,14,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,中野　克哉,MF,2597.0,Taichi Aoshima,Midfield,2359.08,auto_j3_outfield,75.04,4.37,35.71,90.85,90.84,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,櫻井　風我,DF,800.0,Fuga  Sakurai,Full Back,669.41,auto_j3_outfield,82.21,6.67,62.07,90.81,83.68,22,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,佐藤　諒,MF,1356.0,Asahi Haga,Midfield,1659.97,auto_j3_outfield,72.75,1.54,31.58,90.6,81.69,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,奈良坂　巧,DF,814.0,Takumi Narasaka,Central Defender,507.34,auto_j3_outfield,84.41,11.84,76.92,90.58,62.33,11,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,吉尾　虹樹,MF,2007.0,Takumi Yamaguchi,Midfield,3316.04,auto_j3_outfield,72.92,1.76,40.0,90.13,60.52,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,下川　太陽,MF,1793.0,Gijo Sehata,Midfield,2092.71,auto_j3_outfield,78.74,4.47,51.85,89.65,85.68,13,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,中村　充孝,MF,554.0,Koki Matsubara,Midfield,995.07,auto_j3_outfield,74.81,1.56,50.0,88.92,55.67,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,永井　颯太,MF,1875.0,Taiga Ishiura,Midfield,1038.31,auto_j3_outfield,75.39,1.49,52.17,88.84,55.38,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,圓道　将良,MF,1363.0,Shuto Inaba,Midfield,725.18,auto_j3_outfield,69.58,0.77,34.48,88.3,53.2,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,田中　稔也,MF,1300.0,Eisuke Watanabe,Midfield,2571.59,auto_j3_outfield,74.11,2.07,51.61,87.64,50.55,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
low_confidence_top_candidate,芦部　晃生,MF,982.0,Kaisei  Kano,Midfield,1965.48,auto_j3_outfield,70.99,0.31,41.67,87.49,49.96,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",0.0
