FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,distance_to_cluster_center_3,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
澤田　雄大,Yudai Sawada,CB,3,センターバック,3.259661,-0.945674,-0.020701,1.246672,1.476944,0.095349,0.794705,-0.217834,1.422537,1.528623,2.178483,3.2596616024355964,1.9994079999999999,-2.3789480000000003,1.225971,-3.2596616024355964,28,138,20,95
畑尾　大翔,Hiroto Hatao,CB,0,センターバック,2.307634,0.015025,-0.247496,-0.142352,-1.549191,-0.508997,1.411255,-0.066685,0.320945,-0.642283,-0.883253,3.045450963484226,1.665515,0.14831100000000003,-0.389848,-3.045450963484226,30,66,105,89
常田　克人,Masato Tokida,CB,3,センターバック,2.474745,1.399284,-0.637965,0.276351,0.026232,0.928329,0.127747,0.262688,0.448667,1.002715,2.184831,2.4747444284515523,0.839102,1.324898,-0.361614,-2.4747444284515523,43,30,102,66
二階堂　正哉,Seiya Nikaido,CB,0,センターバック,1.656321,-0.087256,0.593088,-0.964506,-0.444625,0.18083,1.3158,0.589999,0.820828,0.012864,-0.365118,2.451544558213658,2.726627,0.08070999999999999,-0.371418,-2.451544558213658,20,71,104,64
江川　慶城,Genki Egawa,CB,1,センターバック,1.857555,0.465566,-0.321131,-0.964506,-0.160362,1.041109,0.494911,-1.182598,-0.466161,-0.223126,-0.259738,2.248827584085761,-1.153848,1.729801,-1.285637,-2.248827584085761,115,21,130,58
冨田　康平,Kohei Tomita,CB,3,センターバック,3.790135,-0.21579,0.879439,-0.964506,3.322198,0.442664,0.297791,-0.16625,-1.06195,1.463614,1.633954,3.790135283589624,-0.930409,-1.23674,-0.085067,-3.790135283589624,113,119,54,107
雪江　悠人,Hiroto Yukie,CB,2,センターバック,4.107251,-0.838852,2.092459,3.954976,-0.13035,-2.371463,-3.284433,-2.337872,-1.640077,-0.15549,0.492515,6.754849236932531,-7.262382,-3.054825,6.047435,-6.754849236932531,149,140,2,145
奥田　雄大,Yudai Okuda,CB,3,センターバック,1.39063,0.251325,-0.247265,-0.035504,-0.409139,-0.378819,-0.513771,-0.11438,-0.193069,-0.289077,0.826039,1.390630550993685,-0.8212200000000001,0.16158299999999998,-0.282769,-1.390630550993685,109,64,99,28
中村　勇太,Yuta Nakamura,CB,0,センターバック,1.124326,0.004964,-0.409655,-0.303883,-0.59188,-1.006385,1.033379,1.482587,0.644398,0.745735,-0.390542,2.7183332464127723,3.1603640000000004,-1.7471560000000002,-0.713538,-2.7183332464127723,16,128,120,76
菊地　脩太,Shuta Kikuchi,CB,3,センターバック,0.631171,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.549867,0.091174,0.6311702932640287,-0.021795000000000023,-0.543864,-0.11054,-0.6311702932640287,85,94,89,11
宮部　大己,Taiki Miyabe,CB,3,センターバック,2.364184,0.906313,0.562083,-0.313753,1.337148,-0.664233,1.074931,-0.596282,-0.604546,-0.489501,0.267594,2.364183947013218,-0.12589699999999993,0.731581,0.24833,-2.364183947013218,97,46,45,62
工藤　孝太,Kota Kudo,CB,3,センターバック,1.799398,1.156195,0.592938,0.480608,-0.885516,0.505988,-0.129516,0.402888,-0.026906,0.600812,0.442797,1.7993975747974653,0.24646600000000007,1.0613710000000003,1.073546,-1.7993975747974653,51,36,24,36
市原　亮太,Ryota  Ichihara,CB,3,センターバック,1.801493,0.411263,0.082193,0.221604,-0.150032,-0.602419,-1.163037,0.078932,-0.308777,1.162838,1.255493,1.8014930392035937,-1.3928820000000002,-1.3539940000000001,0.303797,-1.8014930392035937,123,121,43,37
金浦　真樹,Masaki Kaneura,CB,0,センターバック,2.902581,-1.757056,0.500182,-0.964506,-0.049775,-0.860095,0.409074,1.312814,2.237279,-0.615922,-1.394602,4.365043332403929,3.959167,-2.001229,-0.46432399999999996,-4.365043332403929,8,132,110,129
佐藤　喜生,Yoshiki Sato,CB,3,センターバック,0.808446,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.521941,1.297323,0.8084452721526671,-0.021795000000000023,-0.515938,-0.11054,-0.8084452721526671,58,91,62,15
加藤　徹也,Tetsuya Kato,CB,3,センターバック,2.55499,0.115806,0.374883,1.449761,1.412545,-1.255885,-0.585731,-0.094087,0.029732,1.106703,1.150586,2.5549900502416834,-0.650086,-2.2467819999999996,1.8246440000000002,-2.5549900502416834,105,135,14,68
宗近　慧,Kei Munechika,CB,3,センターバック,1.667797,1.107394,0.796011,0.290767,-0.489223,0.674792,0.063557,0.205313,-0.450739,0.698804,1.06427,1.6677963010286958,-0.181869,1.0833819999999998,1.086778,-1.6677963010286958,99,35,23,33
千布　一輝,Kazuki Chibu,CB,3,センターバック,0.718627,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.109889,0.339218,0.7186258494286161,-0.021795000000000023,-1.103886,-0.11054,-0.7186258494286161,61,116,65,12
池ヶ谷　颯斗,Hayato Ikegaya,CB,3,センターバック,2.019244,-0.276322,0.550145,-0.645775,0.953265,-0.990797,0.292526,0.310193,-1.195811,0.530545,0.287429,2.0192448113131305,-0.593092,-1.7976640000000002,-0.09562999999999999,-2.0192448113131305,104,131,56,46
マテイ　ヨニッチ,Matej Jonjić,CB,3,センターバック,0.457153,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.796143,0.541668,0.45715212851194303,-0.021795000000000023,-0.7901400000000001,-0.11054,-0.45715212851194303,55,106,59,2
大畑　隆也,Ryuya Ohata,CB,3,センターバック,0.54659,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.943891,0.598165,0.5465893830417858,-0.021795000000000023,-0.937888,-0.11054,-0.5465893830417858,63,112,67,7
篠﨑　輝和,Terukazu Shinozaki,CB,0,センターバック,5.842364,-0.283395,2.992442,3.954976,-2.503637,-0.122441,1.652605,0.990054,3.001505,0.969964,1.332634,6.760421645834674,5.644164,-1.3758,6.947418,-6.760421645834674,1,122,1,146
沼田　航征,Kosei Numata,CB,0,センターバック,3.28322,-1.491529,0.415955,-0.184794,-0.10535,-2.29886,0.667158,-0.25568,2.133082,-0.620885,-1.120398,4.341345242785467,2.5445599999999997,-3.1695040000000003,0.231161,-4.341345242785467,24,141,46,128
鈴木　俊也,Shunya Suzuki,CB,3,センターバック,7.394542,-3.762774,-1.057481,-0.964506,3.322198,4.601248,-0.236619,1.632849,-2.226394,0.21911,1.32931,7.39454335420572,-0.8301639999999999,0.6193640000000001,-2.0219869999999998,-7.39454335420572,111,48,143,148
市原　吏音,Rion Ichihara,CB,3,センターバック,2.021638,1.356642,-0.84454,0.425377,-0.609406,0.261774,0.400922,0.512221,0.184219,1.083816,0.456921,2.0216371293248945,1.097362,0.5346,-0.41916299999999995,-2.0216371293248945,39,51,108,47
村上　陽介,Yosuke Murakami,CB,1,センターバック,1.545198,0.043748,-0.157198,0.425377,-0.136213,0.465181,-0.140862,-0.74697,-0.283449,-0.048358,-0.859907,1.8309022528999195,-1.171281,0.557287,0.268179,-1.8309022528999195,117,50,44,39
庄司　朋乃也,Honoya Shoji,CB,3,センターバック,2.192438,-0.09207,1.305311,-0.964506,-0.728677,-0.041387,-0.412744,0.192913,0.573238,0.146228,0.225281,2.1924372190861017,0.353407,-0.27968499999999996,0.34080500000000014,-2.1924372190861017,48,83,41,55
岩﨑　博,Hiroshi  Iwasaki,CB,3,センターバック,1.337222,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.16725,1.714875,1.3372211625983936,-0.021795000000000023,-1.161247,-0.11054,-1.3372211625983936,69,118,73,26
高橋　勇利也,Yuriya Takahashi,CB,3,センターバック,1.495511,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.680264,1.499301,1.4955103146006716,-0.021795000000000023,-1.674261,-0.11054,-1.4955103146006716,92,127,96,29
福森　直也,Naoya Fukumori,CB,3,センターバック,2.290234,0.208047,0.742485,-0.605307,-1.279818,-0.178514,0.191401,-1.287536,0.047936,0.772343,-0.071114,2.2902333153462773,-1.048199,-0.74281,0.1371779999999999,-2.2902333153462773,114,104,49,59
浦上　仁騎,Niki Urakami,CB,3,センターバック,2.201642,-0.803624,-0.538468,0.117243,0.583,-0.919197,0.639076,0.741998,-0.016145,1.680264,0.245055,2.20164192532596,1.3649289999999998,-3.403085,-0.42122499999999996,-2.20164192532596,35,143,109,57
平松　航,Wataru Hiramatsu,CB,3,センターバック,0.506937,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.774625,0.833896,0.5069353672441882,-0.021795000000000023,-0.768622,-0.11054,-0.5069353672441882,70,105,74,5
井上　竜太,Ryota Inoue,CB,0,センターバック,2.308106,1.481546,0.400491,-0.59914,-0.96887,-1.036369,0.435892,0.639906,1.095614,0.308085,0.976453,2.789100752502319,2.171412,0.13709199999999994,-0.19864900000000002,-2.789100752502319,27,67,98,80
高橋　祥平,Shohei Takahashi,CB,0,センターバック,1.761048,-0.185857,-1.056806,-0.964506,-0.08001,-0.362478,1.230936,1.191484,1.316433,0.290026,-0.034023,2.898154095543575,3.7388529999999998,-0.838361,-2.021312,-2.898154095543575,10,108,140,85
森　侑里,Yuri Mori,CB,0,センターバック,2.125201,-0.20061,-0.13686,-0.214159,0.115297,-0.559599,1.48584,2.869735,0.04792,0.071022,-0.489413,3.590078059420714,4.403495,-0.8312309999999999,-0.35101899999999997,-3.590078059420714,5,107,100,102
松本　大輔,Daisuke Matsumoto,CB,3,センターバック,0.860052,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.084143,-0.014169,0.860052489780711,-0.021795000000000023,-0.07813999999999999,-0.11054,-0.860052489780711,76,76,80,19
中里　崇宏,Takahiro Nakazato,CB,0,センターバック,2.885342,-1.40915,0.703531,1.325997,-0.691454,-1.463999,-0.200726,1.360127,1.322366,0.625908,-1.693517,4.16420335917832,2.481767,-3.4990569999999996,2.029528,-4.16420335917832,25,145,9,121
柳下　大樹,Daiki Yagishita,CB,1,センターバック,2.565009,0.523703,-0.418446,0.345192,0.078139,-0.791774,-2.13447,-0.080264,-0.167678,-0.180729,-0.234609,2.751192738773676,-2.382412,-0.08734199999999995,-0.07325399999999999,-2.751192738773676,131,77,53,78
山下　諒時,Ryoji Yamashita,CB,3,センターバック,2.598836,-0.399779,-1.910309,0.227391,0.436401,0.051807,-0.336923,1.098326,0.503467,0.364199,-0.075097,2.5988360908899195,1.26487,-0.712171,-1.682918,-2.5988360908899195,36,103,137,70
大和　優槻,Yuzuki  Yamato,CB,1,センターバック,1.542611,0.761288,-1.507472,-0.041911,0.199192,-0.246746,-0.141084,-0.443546,0.259539,-1.076439,-1.110886,2.99896767401351,-0.32509099999999996,1.5909809999999998,-1.549383,-2.99896767401351,101,25,135,88
