FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
西田　恵,Megumu Nishida,SB,2,サイドバック,2.357899,-0.449804,-0.480142,-0.730601,0.171584,-0.308096,-0.249972,1.345773,-1.083018,1.186836,-1.026435,2.357899643257957,-1.6605469999999998,-0.9226170000000002,-2.357899643257957,1.267385,89,91,42,25
生地　慶充,Yoshiatsu Oiji,SB,1,サイドバック,1.336263,-1.183346,-1.359679,-1.508775,-1.287171,-0.578168,-0.93559,0.423651,0.189995,1.18474,0.700534,2.9973176120077767,-4.0518,2.075269,-2.9973176120077767,-1.7991100000000002,112,14,64,104
三鬼　海,Kai Miki,SB,2,サイドバック,0.968955,-0.873147,-0.753004,-0.821635,-0.005555,0.314077,0.371517,-0.315205,-0.354551,0.188144,-0.261057,0.9689553141146396,-2.4477860000000002,-0.42746399999999996,-0.9689553141146396,0.050757,101,76,10,43
一丸　大地,Daichi Ichimaru Daichi Ichimaru,SB,0,サイドバック,0.484863,0.878748,0.741723,0.580736,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.1362078859237927,2.201207,-0.161028,-2.1362078859237927,-0.093431,26,45,35,49
梅木　怜,Rei Umeki,SB,0,サイドバック,3.126123,-0.141376,0.240593,0.624206,-0.179237,-0.033387,0.38575,0.653161,1.857854,0.938259,1.806204,3.6197580707370483,0.723423,4.602316999999999,-3.6197580707370483,0.8596739999999999,53,4,90,33
高安　孝幸,Takayuki Takayasu,SB,2,サイドバック,4.090922,-1.198725,-1.041348,-0.558171,0.321489,-0.861413,1.919516,-3.266415,0.312183,-1.142515,-0.050678,4.090922039677119,-2.7982439999999995,-0.88101,-4.090922039677119,-1.02541,103,87,100,92
大迫　暁,Akira Osako,SB,3,サイドバック,2.045161,0.697384,0.130288,0.254713,1.160361,1.382417,1.003975,1.78229,-0.668966,0.419395,0.719131,3.436348241564437,1.082385,0.46956000000000003,-3.436348241564437,3.946626,45,36,83,8
松本　歩夢,Ayumu Matsumoto,SB,2,サイドバック,3.03346,-1.186156,-1.120046,-1.149359,0.329971,1.473684,0.498383,-1.421909,-1.377704,-1.608245,0.374461,3.0334596794292485,-3.455561,-2.611488,-3.0334596794292485,-0.593555,106,117,65,87
桐　蒼太,Sota Kiri,SB,1,サイドバック,2.955641,-1.826656,-1.762309,-1.555801,0.18242,-2.895222,-0.676976,-0.12023,0.120438,2.06892,-0.174829,4.365278371384579,-5.144766,2.014529,-4.365278371384579,-0.614786,115,16,106,88
長峰　祐斗,Yuto Nagamine,SB,2,サイドバック,1.48633,-1.154819,-0.542481,-0.391899,0.150683,0.245359,-0.515203,-0.039913,-0.971739,-0.307797,0.760014,1.486330218450799,-2.089199,-0.519522,-1.486330218450799,-0.40443299999999993,96,79,20,81
藤沼　拓夢,Takumu Fujinuma,SB,2,サイドバック,5.677898,-2.135544,-1.971451,-1.408004,-1.150254,-1.157431,-0.999363,-3.677476,-1.600609,-3.005436,-1.204527,5.677897927962249,-5.5149989999999995,-5.8105720000000005,-5.677897927962249,-5.827093,119,123,119,122
柴田　徹,Toru Shibata,SB,1,サイドバック,3.898662,-1.614213,-1.504434,-1.408004,-0.8991,1.738887,-0.454779,0.948809,2.219246,1.565157,2.802226,5.296062342394395,-4.526651,6.586629,-5.296062342394395,-0.40507000000000004,114,2,116,82
船橋　勇真,Yuma Funabashi,SB,0,サイドバック,1.042002,0.069759,0.730333,1.050543,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.0059909598183636,1.850635,-0.161028,-2.0059909598183636,-0.093431,31,67,31,71
若林　龍,Ryu Wakabayashi,SB,2,サイドバック,2.133716,-0.904912,-0.241892,0.197868,-0.102397,0.313007,0.236198,1.651653,-0.818807,-0.522783,-0.888677,2.1337161064680092,-0.948936,-2.230267,-2.1337161064680092,1.785454,82,114,34,19
櫻井　風我,Fuga  Sakurai,SB,3,サイドバック,3.887674,-1.450065,-1.24395,-0.931553,1.865164,1.590745,2.414113,1.34485,-1.820128,0.987337,-0.743361,4.4659657453015695,-3.625568,-1.576152,-4.4659657453015695,5.6241270000000005,109,102,108,2
大山　武蔵,Musashi Oyama,SB,0,サイドバック,1.040716,0.920311,0.407354,0.901325,0.266935,-0.116147,0.087901,-0.31705,0.238304,-0.344652,0.22545,2.27499912164994,2.22899,0.11910199999999999,-2.27499912164994,0.037785999999999986,25,40,37,44
田頭　亮太,Ryota Tagashira,SB,2,サイドバック,0.854612,-0.746927,-0.160238,0.205447,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.8546114925543653,-0.7017180000000001,-0.161028,-0.8546114925543653,-0.093431,78,64,8,68
藤谷　壮,So Fujitani,SB,1,サイドバック,3.520555,-2.058222,-1.907916,-1.45839,0.654285,-1.505453,-1.185645,1.884096,0.628607,-1.408646,0.029036,4.000360858841237,-5.4245280000000005,-0.7510030000000001,-4.000360858841237,1.352736,118,85,98,23
前田　紘基,Hiroki Maeda,SB,2,サイドバック,2.755527,0.33671,-0.106397,-0.632069,-0.357419,-0.57894,-1.839375,-0.315205,0.909894,-0.481478,-1.470467,2.755527299643573,-0.401756,-1.042051,-2.755527299643573,-2.5119990000000003,75,95,58,112
坂本　稀吏也,Kiriya  Sakamoto,SB,2,サイドバック,1.154703,0.394534,-0.039849,-0.566382,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.1547031106578867,-0.21169700000000008,-0.161028,-1.1547031106578867,-0.093431,70,49,13,53
ルーカス　セナ,Lucas Breno Sena Lima,SB,2,サイドバック,1.375691,-1.104742,-1.127415,-1.272524,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,1.3756916138768163,-3.5046809999999997,-0.161028,-1.3756916138768163,-0.093431,107,44,18,48
小竹　知恩,Sean Kotake,SB,2,サイドバック,0.809188,-0.99971,-0.840917,-0.431488,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.8091874009640783,-2.272115,-0.161028,-0.8091874009640783,-0.093431,97,54,7,58
大越　寛人,Hiroto Okoshi,SB,2,サイドバック,4.265468,0.022149,-0.566209,-1.075461,-1.487511,1.738887,-1.178272,1.559381,-0.400086,-3.005436,0.167428,4.265467897463888,-1.619521,-3.238094,-4.265467897463888,-1.1064020000000003,88,120,104,95
小川　真輝,Masaki Ogawa,SB,1,サイドバック,2.362296,-2.016378,-1.897599,-1.962243,-1.362587,-0.909175,-0.559625,0.422597,1.062594,-0.876915,-0.177315,3.5447393542034935,-5.87622,0.008364000000000038,-3.5447393542034935,-1.499615,120,42,87,100
柳　世根,Se-gun Ryu,SB,1,サイドバック,3.587757,-0.097424,0.08696,-0.040881,-1.352295,-2.895222,-1.743027,-0.631406,1.599032,-0.286578,0.239736,4.232247108412504,-0.051345,1.55219,-4.232247108412504,-3.7267280000000005,67,21,103,118
玉城　大志,Taishi Tamashiro,SB,1,サイドバック,4.731418,-0.062984,-0.962445,-1.734863,-1.516458,-2.895222,2.424449,0.422597,3.265895,1.784934,1.861794,6.428372722266188,-2.7602919999999997,6.912623,-6.428372722266188,1.330588,102,1,121,24
大串　昇平,Shohei Ogushi,SB,2,サイドバック,0.567298,-0.56332,-0.555991,-0.176362,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.567297332095789,-1.295673,-0.161028,-0.567297332095789,-0.093431,85,51,1,55
小泉　隆斗,Ryuto Koizumi,SB,1,サイドバック,4.148574,-0.584976,-0.787125,-0.946138,-0.397534,0.310869,-0.52969,-1.420525,0.207366,1.882637,4.210692,5.2655275577390155,-2.318239,6.300695,-5.2655275577390155,-2.3477490000000003,98,3,115,108
秋山　陽介,Yosuke Akiyama,SB,0,サイドバック,2.878397,1.981635,1.440456,1.363191,-1.032607,0.58036,-0.808552,0.949599,-1.680792,-0.76993,0.358635,4.308375915861335,4.7852820000000005,-2.0920870000000003,-4.308375915861335,-0.8915600000000002,7,111,105,91
川島　功奨,Kosuke K Kawashima,SB,0,サイドバック,0.723944,1.443445,0.713404,0.501041,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.501868302216965,2.65789,-0.161028,-2.501868302216965,-0.093431,21,57,50,61
黒﨑　隼人,Hayato Kurosaki,SB,0,サイドバック,0.984962,0.512673,1.100903,1.43709,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.646495458041823,3.050666,-0.161028,-2.646495458041823,-0.093431,18,73,55,77
西山　峻太,Shunta Nishiyama,SB,1,サイドバック,3.855073,-1.861197,-2.313064,-2.258117,-1.823518,-2.895222,-1.721841,-0.805844,2.08411,0.188144,-1.283958,5.5518461341033225,-6.432378,0.988296,-5.5518461341033225,-4.351203,122,29,118,121
大竹　優心,Yushin Otake,SB,1,サイドバック,6.500884,-2.135544,-2.370645,-2.258117,-1.440311,-2.895222,-1.705965,-3.677476,3.584364,-3.005436,2.368283,8.111592022364045,-6.7643059999999995,2.947211,-8.111592022364045,-6.823752,123,9,123,123
五月田　星矢,Seiya Satsukida,SB,1,サイドバック,3.070611,-1.564155,-1.854124,-1.73131,-0.638156,0.578622,-0.168795,0.087233,0.105978,2.06892,-0.565867,3.370873248890412,-5.149589,1.6090309999999999,-3.370873248890412,-0.719718,116,20,81,90
大熊　健太,Kenta Okuma,SB,1,サイドバック,5.281184,-1.590057,-2.370645,-2.116199,-0.748671,1.738887,0.112477,0.422597,-1.820128,1.465576,4.210692,6.10739781329823,-6.076901,3.85614,-6.10739781329823,-0.21359699999999993,121,6,120,79
寺島　はるひ,Haruhi Terashima,SB,2,サイドバック,4.493943,-1.812899,-1.781762,-1.740548,2.713279,0.128836,0.654079,-1.423753,-0.378399,-2.146486,1.05509,4.493943140997002,-5.335209000000001,-1.4697949999999997,-4.493943140997002,1.9436049999999998,117,101,109,18
