FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
乾　貴哉,Takaya Inui,SB,0,サイドバック,1.651351,0.53741,0.27037,0.22629,-0.606461,0.387465,-0.624033,0.03428,0.491223,1.356799,0.050818,2.5021305654042116,1.03407,1.89884,-2.5021305654042116,-1.1962139999999999,47,18,51,98
石原　崇兆,Takayoshi Ishihara,SB,2,サイドバック,3.347937,-0.46075,-0.357001,-0.262577,-1.082163,1.360593,0.283133,1.833102,-1.791312,1.1689,-0.336315,3.3479373281608784,-1.080328,-0.9587269999999999,-3.3479373281608784,1.034072,83,92,80,27
荒木　遼太,Ryota Araki,SB,0,サイドバック,3.94047,1.248243,2.052963,2.290152,0.942187,-1.825812,-0.166936,-1.421909,-0.97289,0.720407,-1.678491,5.046262940832255,5.591358,-1.9309739999999997,-5.046262940832255,-0.6466580000000001,3,108,112,89
加々美　登生,Toi Kagami,SB,2,サイドバック,2.46351,-0.483774,-0.254952,-0.03267,-1.051652,-0.632699,-0.0897,1.884096,-0.816418,-0.295732,-0.574142,2.463511112312668,-0.771396,-1.686292,-2.463511112312668,0.7427440000000001,79,107,47,35
近藤　貴司,Takashi Kondo,SB,3,サイドバック,2.438194,0.72776,1.159365,1.534419,0.591225,0.393202,1.122487,1.243198,-1.54098,-0.855911,-1.191356,3.763997371765554,3.421544,-3.588247,-3.763997371765554,2.95691,14,122,94,13
上月　翔聖,Shosei Kozuki,SB,0,サイドバック,2.108483,1.530515,2.038025,2.290152,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,4.212132865517422,5.8586920000000005,-0.161028,-4.212132865517422,-0.093431,2,47,102,51
濱　託巳,Takumi Hama,SB,0,サイドバック,1.229857,0.657724,0.696112,0.550307,-0.220498,0.896041,-0.097711,0.422187,-0.641625,0.084287,0.012268,2.245158594340943,1.904143,-0.54507,-2.245158594340943,0.10397799999999996,30,81,36,41
高野　遼,Ryo Takano,SB,3,サイドバック,1.410535,-0.281925,0.214548,0.664368,1.948726,0.221536,1.309815,0.908576,-0.805747,-0.211403,-1.175841,3.0403279704275326,0.5969909999999999,-2.192991,-3.0403279704275326,4.167117,54,113,66,5
外山　凌,Ryo Toyama,SB,0,サイドバック,0.645148,1.382771,0.900243,0.593415,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2.581054525529633,2.876429,-0.161028,-2.581054525529633,-0.093431,20,50,53,54
オタボー　ケネス,Kenneth Otabor,SB,2,サイドバック,2.380596,-0.533422,-0.725133,-0.550592,-0.721708,0.6927,-0.04697,-0.315759,-1.273631,1.597734,-0.767067,2.380596610001997,-1.8091469999999998,-0.4429639999999999,-2.380596610001997,-1.0844369999999999,92,77,46,94
