cluster_id,cluster_label,rank,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90
1,守備回収・配球型,9,大竹　優心,Yushin Otake,SB,1,守備回収・配球型,2.947211,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-2.135544,-2.370645,-2.258117,-1.440311,-2.895222,-1.705965,-3.677476,3.584364,-3.005436,2.368283
1,守備回収・配球型,10,鈴　直樹,Naoki Suzu,SB,0,上下動型,2.8645509999999996,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,0.856061,0.510364,-0.025592,-0.816157,0.524067,-0.80983,-1.422234,1.943269,0.004329,0.916953
2,平均型,1,大串　昇平,Shohei Ogushi,SB,2,平均型,-0.567297332095789,0.567297332095789,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.56332,-0.555991,-0.176362,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,2,永井　颯太,Sota Nagai,SB,2,平均型,-0.5886657415409868,0.5886657415409868,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.565679,-0.481157,-0.627964,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,3,河野　諒祐,Ryosuke Kawano,SB,2,平均型,-0.6151718105838401,0.6151718105838401,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.690763,-0.559135,-0.619753,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,4,木實　快斗,Kaito Konomi,SB,2,平均型,-0.6336407407845552,0.6336407407845552,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.730485,-0.451138,-0.070441,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,5,小川　大貴,Daiki Ogawa,SB,2,平均型,-0.6652713883145734,0.6652713883145734,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.536007,-0.77398,-0.615383,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,6,福森　健太,Kenta Fukumori,SB,2,平均型,-0.8089236895022918,0.8089236895022918,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.284555,-0.541192,-0.923045,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,7,小竹　知恩,Sean Kotake,SB,2,平均型,-0.8091874009640783,0.8091874009640783,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.99971,-0.840917,-0.431488,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
2,平均型,8,田頭　亮太,Ryota Tagashira,SB,2,平均型,-0.8546114925543653,0.8546114925543653,"score_cluster_2 = - euclidean_distance(player_z_vector, sb_cluster_2_center_z_vector)",サイドバック,-0.746927,-0.160238,0.205447,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
