FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,win_running_distance_full_all_per_match,z_running_distance_full_all_per_match,imputed_running_distance_full_all_per_match,raw_ball_gains_per90,win_ball_gains_per90,z_ball_gains_per90,imputed_ball_gains_per90,raw_interceptions_per90,win_interceptions_per90,z_interceptions_per90,imputed_interceptions_per90,raw_pass_success_rate_pct,win_pass_success_rate_pct,z_pass_success_rate_pct,imputed_pass_success_rate_pct,raw_forward_pass_success_rate_pct,win_forward_pass_success_rate_pct,z_forward_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,raw_short_pass_share_pct,win_short_pass_share_pct,z_short_pass_share_pct,imputed_short_pass_share_pct,raw_long_pass_share_pct,win_long_pass_share_pct,z_long_pass_share_pct,imputed_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_opponent_half_gain_share_pct,z_opponent_half_gain_share_pct,imputed_opponent_half_gain_share_pct,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center
末木　裕也,Hiroya Sueki,CMF,セントラルMF,1842.5833333333333,1842.5833333333333,1.338350,0,6.680073126142596,6.680073126142596,-0.255426,0,0.263254113345521,0.263254113345521,0.376195,0,81.60878938640133,81.60878938640133,0.780676,0,64.55436893203886,64.55436893203886,1.127836,0,60.19900497512438,60.19900497512438,0.265612,0,6.550580431177446,6.550580431177446,-1.123959,0,42.857142857142854,42.857142857142854,1.680360,0,0,0.0000,1,2.444480
工藤　真人,Manato Kudo,CMF,セントラルMF,1428.6451612903227,1428.6451612903227,0.185770,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.573718
岡庭　裕貴,Yuki Okaniwa,CMF,セントラルMF,1586.6875,1586.6875,0.625827,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.576533
島川　俊郎,Toshio Shimakawa,CMF,セントラルMF,1601.9032258064517,1601.9032258064517,0.668194,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.594257
土井　紅貴,Koki Doi,CMF,セントラルMF,2312.8636363636365,2012.5524912587405,1.811616,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,1.506329
岩本　翔,Sho Iwamoto,CMF,セントラルMF,961.8918918918919,961.8918918918919,-1.113869,0,6.107784431137725,6.107784431137725,-0.619872,0,0.35928143712574845,0.35928143712574845,1.176394,0,81.84483985765127,81.84483985765127,0.834856,0,66.67435897435897,66.67435897435897,1.442675,0,70.8185053380783,70.8185053380783,2.255626,0,3.9145907473309607,4.2349970411563,-2.167935,0,44.11764705882353,44.11764705882353,1.933811,0,0,0.0000,2,2.018323
河井　陽介,Yosuke Kawai,CMF,セントラルMF,753.6842105263158,753.6842105263158,-1.693608,0,7.367256637168142,7.367256637168142,0.182187,0,0.19911504424778761,0.19911504424778761,-0.158278,0,83.74658385093169,83.74658385093169,1.271361,0,62.263052208835326,62.263052208835326,0.787554,0,52.484472049689444,52.484472049689444,-1.180034,0,10.041407867494824,10.041407867494824,0.449874,0,36.486486486486484,36.486486486486484,0.399404,0,0,0.0000,1,2.660363
喜山　康平,Kohei Kiyama,CMF,セントラルMF,695.6296296296297,695.6296296296297,-1.855257,0,7.115902964959569,7.115902964959569,0.022120,0,0.16172506738544476,0.16172506738544476,-0.469850,0,70.86683501683501,70.86683501683501,-1.684913,0,51.338783269961986,51.338783269961986,-0.834802,0,53.03030303030303,53.03030303030303,-1.077749,0,10.606060606060606,10.606060606060606,0.704447,0,39.77272727272727,39.77272727272727,1.060172,0,0,0.0000,0,2.585433
柴田　壮介,Sosuke Shibata,CMF,セントラルMF,1808.0,1808.0,1.242055,0,10.885766646304216,10.49737441849537,2.175516,0,0.38485033598045204,0.38485033598045204,1.389461,0,75.73633841886269,75.73633841886269,-0.567221,0,57.81879432624114,57.81879432624114,0.127541,0,60.05547850208044,60.05547850208044,0.238716,0,9.153952843273231,9.153952843273231,0.049767,0,48.484848484848484,45.10026737967913,2.131387,0,0,0.0000,1,3.311641
小島　秀仁,Shuto Kojima,CMF,セントラルMF,1364.1,1364.1,0.006049,0,5.357821405953135,5.357821405953135,-1.097465,0,0.2279924002533249,0.2279924002533249,0.082358,0,78.70587155963302,78.70587155963302,0.114372,0,54.76488095238095,54.76488095238095,-0.325994,0,61.46788990825688,61.46788990825688,0.503391,0,8.256880733944955,8.256880733944955,-0.354676,0,36.17021276595745,36.17021276595745,0.335810,0,0,0.0000,1,1.543510
岩上　祐三,Yuzo Iwakami,CMF,セントラルMF,940.2,940.2,-1.174269,0,5.620915032679738,5.620915032679738,-0.929922,0,0.32679738562091504,0.32679738562091504,0.905704,0,71.96473684210527,71.96473684210527,-1.432912,0,48.29315589353612,48.29315589353612,-1.287106,0,44.86842105263158,50.54869144013882,-1.542785,0,18.421052631578945,14.197038097335376,2.323432,0,30.23255813953488,30.23255813953488,-0.858081,0,0,0.0000,0,2.814897
高橋　耕平,Kohei Takahashi,CMF,セントラルMF,1166.888888888889,1166.888888888889,-0.543071,0,8.222591362126247,8.222591362126247,0.726883,0,0.0,0.0,-1.817510,0,75.42163934426229,75.42163934426229,-0.639454,0,65.52972972972974,65.52972972972974,1.272687,0,59.67213114754099,59.67213114754099,0.166879,0,9.836065573770492,9.836065573770492,0.357296,0,25.454545454545453,25.454545454545453,-1.818802,0,0,0.0000,0,2.875109
河合　駿樹,Toshiki  Kawai,CMF,セントラルMF,1589.111111111111,1589.111111111111,0.632575,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.579185
渡邉　綾平,Ryohei Watanabe,CMF,セントラルMF,1562.0,1562.0,0.557086,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.553498
加藤　匠人,Takuto Kato,CMF,セントラルMF,1046.125,1046.125,-0.879329,0,5.6103896103896105,5.6103896103896105,-0.936624,0,0.0,0.0,-1.817510,0,86.08164556962025,86.08164556962025,1.807325,0,69.22500000000001,68.241726836394,1.675443,0,65.66455696202532,65.66455696202532,1.289815,0,5.537974683544303,5.537974683544303,-1.580490,0,31.25,31.25,-0.653503,0,0,0.0000,2,2.543240
岡澤　韻生,Hibiki Okazawa,CMF,セントラルMF,1294.7857142857142,1294.7857142857142,-0.186952,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,0.793316
宮崎　智彦,Tomohiko Miyazaki,CMF,セントラルMF,687.25,693.744212962963,-1.860506,0,6.212389380530974,6.212389380530974,-0.553258,0,0.3185840707964602,0.3185840707964602,0.837262,0,86.10592255125285,86.08710789048759,1.808579,0,62.11290322580646,62.11290322580646,0.765256,0,70.84282460136674,70.84282460136674,2.260184,0,4.328018223234624,4.328018223234624,-2.125997,0,30.76923076923077,30.76923076923077,-0.750172,0,0,0.0000,2,1.864423
ガブリエル　エンリケ,Gabriel Nascimento,CMF,セントラルMF,1257.2,1257.2,-0.291606,0,8.571428571428571,8.571428571428571,0.949031,0,0.0,0.0,-1.817510,0,75.31171548117155,75.31171548117155,-0.664684,0,56.97906976744186,56.97906976744186,0.002834,0,55.64853556485355,55.64853556485355,-0.587112,0,12.97071129707113,12.97071129707113,1.770545,0,34.0,34.0,-0.100557,0,0,0.0000,0,2.152827
由井　航太,Kota Yui,CMF,セントラルMF,1039.6,1039.6,-0.897497,0,,6.897988045551083,-0.116653,1,,0.22063127121670983,0.021018,1,,78.60197687570692,0.090525,1,,57.589421672924495,0.093477,1,,57.54542629573295,-0.231649,1,,9.281646751306944,0.107337,1,,33.92307692307692,-0.116024,1,7,0.8750,1,1.404047
坪川　潤之,Hiroyuki Tsubokawa,CMF,セントラルMF,840.7272727272727,840.7272727272727,-1.451243,0,9.810426540284361,9.810426540284361,1.738052,0,0.2132701421800948,0.2132701421800948,-0.040323,0,77.79055555555556,77.79055555555556,-0.095719,0,48.97551020408164,48.97551020408164,-1.185770,0,62.22222222222222,62.22222222222222,0.644747,0,7.777777777777778,7.777777777777778,-0.570679,0,26.08695652173913,26.08695652173913,-1.691643,0,0,0.0000,0,2.887058
山田　尚幸,Naoyuki Yamada,CMF,セントラルMF,1766.3333333333333,1766.3333333333333,1.126037,0,10.384615384615385,10.384615384615385,2.103708,0,0.0,0.0,-1.817510,0,69.64494382022473,69.64494382022473,-1.965372,0,42.84603174603174,43.28216202090592,-2.031285,0,57.30337078651685,57.30337078651685,-0.277008,0,9.550561797752808,9.550561797752808,0.228577,0,25.0,25.352272727272727,-1.839367,0,0,0.0000,0,3.224872
