cluster_id,cluster_label,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,top10_filter_mode,top10_imputed_ratio_threshold_used,official_top10_eligible_count,analysis_position_jp,imputed_count,imputed_ratio,z_running_distance_full_all_per_match,z_ball_gains_per90,z_interceptions_per90,z_pass_success_rate_pct,z_forward_pass_success_rate_pct,z_short_pass_share_pct,z_long_pass_share_pct,z_opponent_half_gain_share_pct
1,ボックストゥボックス型,8,16,堀内　颯人,Hayato Horiuchi,CMF,1,ボックストゥボックス型,-2.609952570947794,2.609952570947794,"score_cluster_1 = - euclidean_distance(player_z_vector, cmf_cluster_1_center_z_vector)",strict,0.25,24,セントラルMF,0,0.0,0.885767,0.572472,1.76089,1.138253,0.888676,-1.152467,0.889963,-0.444993
1,ボックストゥボックス型,9,17,河井　陽介,Yosuke Kawai,CMF,1,ボックストゥボックス型,-2.6603626536226224,2.6603626536226224,"score_cluster_1 = - euclidean_distance(player_z_vector, cmf_cluster_1_center_z_vector)",strict,0.25,24,セントラルMF,0,0.0,-1.693608,0.182187,-0.158278,1.271361,0.787554,-1.180034,0.449874,0.399404
1,ボックストゥボックス型,10,18,安田　虎士朗,Kojiro Yasuda,CMF,1,ボックストゥボックス型,-2.7956062707806333,2.7956062707806333,"score_cluster_1 = - euclidean_distance(player_z_vector, cmf_cluster_1_center_z_vector)",strict,0.25,24,セントラルMF,0,0.0,1.56885,0.440621,1.357651,-0.886483,-1.348295,0.696801,-0.443796,0.948167
2,ゲームオーガナイザー型,1,1,宮崎　智彦,Tomohiko Miyazaki,CMF,2,ゲームオーガナイザー型,4.834019,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-1.860506,-0.553258,0.837262,1.808579,0.765256,2.260184,-2.125997,-0.750172
2,ゲームオーガナイザー型,2,2,針谷　岳晃,Takeaki Harigaya,CMF,2,ゲームオーガナイザー型,4.809933,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-0.574692,-1.677459,0.829454,1.630121,1.633049,1.546763,-0.764552,1.042038
2,ゲームオーガナイザー型,3,3,加藤　匠人,Takuto Kato,CMF,2,ゲームオーガナイザー型,4.772583,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-0.879329,-0.936624,-1.81751,1.807325,1.675443,1.289815,-1.58049,-0.653503
2,ゲームオーガナイザー型,4,4,岩本　翔,Sho Iwamoto,CMF,2,ゲームオーガナイザー型,4.533157,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-1.113869,-0.619872,1.176394,0.834856,1.442675,2.255626,-2.167935,1.933811
2,ゲームオーガナイザー型,5,5,佐藤　祐太,Yuta Sato,CMF,2,ゲームオーガナイザー型,3.415284,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,0.393248,-0.756514,0.700868,0.066679,1.028657,2.319948,-1.853915,-0.131491
2,ゲームオーガナイザー型,6,6,末木　裕也,Hiroya Sueki,CMF,1,ボックストゥボックス型,2.174124,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,1.33835,-0.255426,0.376195,0.780676,1.127836,0.265612,-1.123959,1.68036
2,ゲームオーガナイザー型,7,7,河井　陽介,Yosuke Kawai,CMF,1,ボックストゥボックス型,0.8788809999999999,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-1.693608,0.182187,-0.158278,1.271361,0.787554,-1.180034,0.449874,0.399404
2,ゲームオーガナイザー型,8,8,堀内　颯人,Hayato Horiuchi,CMF,1,ボックストゥボックス型,0.8744620000000001,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,0.885767,0.572472,1.76089,1.138253,0.888676,-1.152467,0.889963,-0.444993
2,ゲームオーガナイザー型,9,9,高橋　耕平,Kohei Takahashi,CMF,0,ボールハンター型,0.8001119999999999,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,-0.543071,0.726883,-1.81751,-0.639454,1.272687,0.166879,0.357296,-1.818802
2,ゲームオーガナイザー型,10,10,高吉　正真,Shoma Takayoshi,CMF,1,ボックストゥボックス型,0.488409,,score_cluster_2 = z_short_pass_share_pct + z_forward_pass_success_rate_pct + z_pass_success_rate_pct,strict,0.25,24,セントラルMF,0,0.0,0.484691,0.464164,-0.280155,0.274914,0.399785,-0.18629,0.483706,-0.366541
