FB_Name,SC_Name,analysis_position_code,analysis_position_jp,shot_conversion_rate_pct,out_box_shots_per90,box_shots_per90,shot_on_target_rate_pct,goals_per90,aerial_wins_per90,successful_forward_passes_per90,last_passes_per90,attacking_third_gains_per90,sprint_count_full_all_per_match
橋本　啓吾,Keigo Hashimoto,FW,フォワード,14.285714285714285,0.547550432276657,1.8731988472622478,29.760714285714286,0.345821325648415,5.590259365994236,2.420806916426513,1.0086455331412103,0.25936599423631124,14.627118644067796
佐藤　碧,Aoi Sato,FW,フォワード,6.0,0.895310279488394,1.1084793936522974,25.52978723404255,0.12790146849834202,0.9378588346755092,3.197621980104216,1.1084793936522974,0.8526764566556135,7.9245283018867925
富樫　佑太,Yuta Togashi,FW,フォワード,3.6363636363636362,0.9222886421861657,1.1912894961571308,27.27272727272727,0.07685738684884715,0.8070794192997438,3.612566182749787,0.5764304013663536,0.3074295473953886,6.018518518518518
西谷　亮,Ryo Nishitani,FW,フォワード,14.814814814814813,0.39003250270855905,0.9263271939328277,37.03703703703704,0.19501625135427952,1.4138678223185264,4.972719393282773,1.0725893824485373,0.6338028169014085,12.018518518518519
永井　龍,Ryo Nagai,FW,フォワード,15.053763440860216,0.8194233687405159,2.1851289833080427,29.537499999999994,0.4779969650986343,3.004893778452201,1.638744309559939,0.6828528072837633,0.4779969650986343,9.958333333333334
澤上　竜二,Ryuji Sawakami,FW,フォワード,11.11111111111111,0.5831533477321814,1.1663066954643628,27.77777777777778,0.19438444924406048,4.762030237580994,1.2639848812095034,1.0691144708423326,0.48596112311015116,8.566037735849056
増田　隼司,Shunji Masuda,FW,フォワード,10.0,0.5871886120996441,1.0142348754448398,20.003333333333334,0.16014234875444838,1.4414946619217084,5.925587188612099,1.4412811387900357,0.9608540925266904,7.654545454545454
島田　拓海,Takumi Shimada,FW,フォワード,8.108108108108109,0.3973509933774834,2.0529801324503314,27.027027027027028,0.1986754966887417,2.847682119205298,2.78158940397351,1.0596026490066226,0.1986754966887417,7.758064516129032
樋口　寛規,Hiroki Higuchi,FW,フォワード,23.333333333333332,0.307797537619699,1.292749658002736,46.15384615384615,0.43091655266757867,0.8619562243502051,1.96953488372093,0.8002735978112175,0.24623803009575923,7.5
浅川　隼人,Hayato Asakawa,FW,フォワード,22.033898305084744,0.2915316982878297,2.082369273484498,49.11929824561403,0.5414160111059695,1.3327579824155484,1.1245210550670985,0.4997686256362795,0.5414160111059695,7.410714285714286
浮田　健誠,Kensei Ukita,FW,フォワード,18.84057971014493,0.755984880302394,1.7009659806803865,38.456923076923076,0.4913901721965561,2.002717345653087,1.662977740445191,0.6047879042419152,0.377992440151197,5.73469387755102
百田　真登,Manato Hyakuda,FW,フォワード,13.953488372093023,0.19057702488088937,1.858125992588671,30.23255813953488,0.285865537321334,2.0486553732133403,0.7621651667548967,0.4287983059820011,0.142932768660667,4.977777777777778
國武　勇斗,Yuto Kunitake,FW,フォワード,4.3478260869565215,0.30434782608695654,0.6956521739130435,43.47826086956522,0.043478260869565216,0.7825652173913044,2.260913043478261,0.9565217391304348,0.9130434782608695,5.7272727272727275
マルクス　ヴィニシウス,Marcus Vinicius Ferreira Teixeira,FW,フォワード,12.025316455696203,1.2622309197651662,3.1996086105675143,30.925657894736847,0.557729941291585,7.073542074363992,4.549549902152642,1.5264187866927592,0.6751467710371819,11.73076923076923
中野　誠也,Seiya Nakano,FW,フォワード,7.142857142857142,0.48582995951417,1.2145748987854252,35.714285714285715,0.1214574898785425,1.2148178137651824,0.97165991902834,0.242914979757085,0.48582995951417,8.173913043478262
川西　翔太,Shota Kawanishi,FW,フォワード,20.833333333333336,0.3961848862802641,1.1885546588407925,41.66666666666667,0.3301540719002201,1.056294937637564,7.658451944240644,0.7923697725605282,0.6603081438004402,3.5217391304347827
佐々木　快,Kai  Sasaki,FW,フォワード,16.94915254237288,0.5110410094637224,2.782334384858044,36.210344827586205,0.5678233438485805,5.849034700315459,2.0450157728706624,0.8517350157728707,0.3974763406940063,6.584905660377358
河村　慶人,Keito  Kawamura,FW,フォワード,,,,,,,,,,13.55
安藤　翼,Tsubasa Ando,FW,フォワード,10.16949152542373,0.7809110629067245,1.5227765726681128,30.508474576271187,0.23427331887201736,1.3664381778741863,3.006468546637744,1.0151843817787418,0.5075921908893709,4.894736842105263
杉本　健勇,Kenyu Sugimoto,FW,フォワード,14.084507042253522,0.49073064340239914,1.766630316248637,36.233333333333334,0.3271537622682661,3.174078516902945,5.071112322791712,1.3086150490730644,0.45801526717557256,7.375
和田　育,Hagumi Wada,FW,フォワード,18.64406779661017,0.38428693424423566,1.8445772843723314,34.484482758620686,0.4227156276686592,1.8446541417591802,0.9604483347566182,0.9222886421861657,0.26900085397096496,10.153846153846153
土信田　悠生,Yusei  Toshida,FW,フォワード,8.695652173913043,0.2575107296137339,2.703862660944206,26.08695652173913,0.2575107296137339,9.785278969957082,1.8027038626609444,0.5150214592274678,0.38626609442060084,5.617021276595745
オリオラ　サンデー,Oriola Sunday,FW,フォワード,10.9375,0.3578528827037773,1.89662027833002,31.750793650793653,0.25049701789264417,3.0777852882703782,2.362294234592446,1.359840954274354,0.39363817097415504,12.68
田中　翔太,Shota Tanaka,FW,フォワード,19.047619047619047,0.35928143712574845,2.0958083832335332,34.146341463414636,0.47904191616766467,2.2154491017964073,0.6586227544910179,0.2994011976047904,0.41916167664670656,4.458333333333333
田口　裕也,Yuya Taguchi,FW,フォワード,15.0,0.5035971223021583,2.194244604316547,33.33333333333333,0.4316546762589928,5.001654676258991,1.762482014388489,0.7913669064748201,0.4676258992805756,8.25
清水　一雅,Kazumasa  Shimizu,FW,フォワード,18.181818181818183,0.4376012965964344,2.771474878444084,31.81363636363636,0.5834683954619124,5.104764991896271,4.959481361426256,1.1669367909238249,1.0210696920583469,6.052631578947368
藤岡　浩介,Kosuke Fujioka,FW,フォワード,21.34831460674157,0.8791208791208791,2.271062271062271,37.20697674418604,0.6959706959706959,0.9157875457875458,1.9779487179487178,0.5860805860805861,0.40293040293040294,6.75
髙木　彰人,Akito Takagi,FW,フォワード,7.142857142857142,0.36474164133738607,2.188449848024316,46.432142857142864,0.18237082066869303,1.6414285714285717,1.5500607902735561,0.8206686930091185,0.547112462006079,6.076923076923077
古川　大悟,Daigo Furukawa,FW,フォワード,11.29032258064516,0.22765598650927485,2.0868465430016863,27.8672131147541,0.26559865092748736,6.980084317032041,2.580252951096121,0.7209106239460371,0.30354131534569984,8.5
高木　大輔,Daisuke Takagi,FW,フォワード,7.142857142857142,0.6550218340611353,1.1790393013100435,21.428571428571427,0.13100436681222707,1.8339301310043667,4.059825327510917,1.4410480349344978,0.0,5.8604651162790695
武　颯,Hayate Take,FW,フォワード,20.454545454545457,0.8866995073891626,1.900070372976777,45.456818181818186,0.5700211118930331,2.1536664320900774,4.5601688951442645,1.4567206192821955,0.633356790992259,6.571428571428571
武藤　雄樹,Yuki Muto,FW,フォワード,30.0,0.14469453376205788,1.157556270096463,44.44444444444444,0.4340836012861737,0.14469453376205788,4.630225080385852,1.0128617363344052,0.14469453376205788,4.775
アンジェロッティ,Rodrigo Luiz Angelotti,FW,フォワード,0.0,0.0,1.291866028708134,50.0,0.0,3.660717703349283,3.660717703349283,1.7224880382775118,1.291866028708134,6.5
大野　耀平,Yohei Ono,FW,フォワード,13.636363636363635,0.40358744394618834,2.286995515695067,5.0,0.40358744394618834,7.399775784753362,0.6723766816143497,0.5381165919282511,0.0,5.317073170731708
吉澤　柊,Shu Yoshizawa,FW,フォワード,18.181818181818183,0.2504638218923933,2.504638218923933,30.303030303030305,0.5009276437847866,5.092764378478664,3.4227551020408167,1.7532467532467533,0.5009276437847866,4.607142857142857
矢島　輝一,Kiichi Yajima,FW,フォワード,4.444444444444445,0.8161582852431987,2.522671063478978,19.997777777777774,0.1483924154987634,2.5222258862324813,3.6350948062654584,1.706512778235779,0.7419620774938169,2.784313725490196
伊藤　恵亮,Keisuke Ito,FW,フォワード,19.230769230769234,0.7568325157673441,0.7568325157673441,33.33333333333333,0.3153468815697267,0.3781639803784162,1.954772249474422,0.7568325157673441,0.4414856341976174,7.064516129032258
庵原　篤人,Atsuhito Ihara,FW,フォワード,2.941176470588235,0.8904109589041096,1.4383561643835616,26.47058823529412,0.0684931506849315,1.0275342465753425,1.7124657534246577,0.821917808219178,0.547945205479452,7.795454545454546
田村　翔太,Shota Tamura,FW,フォワード,,,,,,,,,,9.419354838709678
碓井　聖生,Shosei Usui,FW,フォワード,11.538461538461538,1.2413793103448276,2.1724137931034484,38.95844155844156,0.39901477832512317,4.478763546798029,2.5266945812807884,1.1527093596059113,0.39901477832512317,6.708333333333333
太田　龍之介,Ryunosuke Ota,FW,フォワード,,,,,,,,,,7.12
東家　聡樹,Toshiki Toya,FW,フォワード,,,,,,,,,,8.297297297297296
進　昂平,Kohei Shin,FW,フォワード,50.0,0.0,1.7704918032786887,83.33333333333334,0.8852459016393444,3.5403934426229506,1.1794426229508197,0.8852459016393444,0.5901639344262295,4.17948717948718
田中　想来,Sora Tanaka,FW,フォワード,,,,,,,,,,9.5
木匠　貴大,Takahiro Kitsui,FW,フォワード,0.0,0.3529411764705882,0.9411764705882353,54.54545454545454,0.0,2.9416470588235293,4.117647058823529,0.3529411764705882,0.7058823529411764,5.552631578947368
河辺　駿太郎,Shuntaro Kawabe,FW,フォワード,23.52941176470588,0.8181818181818181,0.5727272727272728,29.411764705882355,0.32727272727272727,0.49066363636363636,1.8819,1.309090909090909,0.08181818181818182,10.035714285714286
岩渕　良太,Ryota Iwabuchi,FW,フォワード,6.666666666666667,1.062730627306273,0.8634686346863468,31.031034482758624,0.13284132841328414,1.6603837638376384,7.838369003690037,1.2619926199261993,0.4649446494464945,1.4705882352941178
新谷　聖基,Masaki Shintani,FW,フォワード,,,,,,,,,,6.21875
松木　駿之介,Shunnosuke Matsuki,FW,フォワード,21.153846153846153,0.4879518072289157,2.2771084337349397,45.1,0.5963855421686747,4.0659939759036146,1.9519156626506025,0.7048192771084338,0.7048192771084338,11.0
パトリック,Anderson Patric Aguiar Oliveira,FW,フォワード,,,,,,,,,,5.5588235294117645
白輪地　敬大,Keita Shirawachi,FW,フォワード,,,,,,,,,,10.115384615384615
横山　夢樹,Yumeki Yokoyama,FW,フォワード,11.538461538461538,1.09967845659164,1.9099678456591642,30.76730769230769,0.3472668810289389,0.17363344051446944,2.3732797427652734,1.09967845659164,0.6366559485530547,8.434782608695652
平岡　将豪,Masahide Hiraoka,FW,フォワード,,,,,,,,,,7.148148148148148
マテウス　レイリア,Matheus Leiria Dos Santos,FW,フォワード,7.5,0.4758757435558493,1.844018506278916,28.210256410256413,0.1784534038334435,1.3682022471910114,1.8443159286186386,1.4871116986120292,0.4758757435558493,11.25
脇坂　崚平,Ryohei Wakizaka,FW,フォワード,14.814814814814813,0.582995951417004,1.3846153846153846,44.440740740740736,0.291497975708502,0.6560161943319839,3.861546558704453,0.8016194331983805,0.8744939271255061,5.466666666666667
オニエ　オゴチュクウ,Promise Oniye Ugochukwu,FW,フォワード,15.384615384615385,0.3054989816700611,1.2830957230142568,46.16538461538461,0.24439918533604887,0.7330142566191445,1.1608961303462322,0.5498981670061099,0.4276985743380855,2.6666666666666665
萱沼　優聖,Yusei Kayanuma,FW,フォワード,7.6923076923076925,0.5644599303135889,1.0662020905923346,34.61153846153845,0.1254355400696864,2.947547038327526,3.3871358885017426,1.0662020905923346,0.6898954703832753,5.863636363636363
瀬沼　優司,Yuji Senuma,FW,フォワード,16.666666666666664,0.06502890173410404,1.1054913294797688,38.88333333333333,0.1950867052023121,3.251965317919075,1.2355491329479769,0.5202312138728323,0.13005780346820808,5.2272727272727275
都倉　賢,Ken Tokura,FW,フォワード,7.142857142857142,0.1834862385321101,2.385321100917431,21.432142857142857,0.1834862385321101,6.6051376146789,3.48651376146789,0.6422018348623854,0.0,4.434782608695652
ピーター　ウタカ,Peter Utaka,FW,フォワード,,,,,,,,,,6.357142857142857
川又　堅碁,Kengo Kawamata,FW,フォワード,10.714285714285714,0.27692307692307694,3.6,42.85,0.4153846153846154,3.461123076923077,1.938738461538462,0.9692307692307692,0.4153846153846154,3.75
丹羽　詩温,Shion Niwa,FW,フォワード,11.538461538461538,0.26732673267326734,2.0495049504950495,26.923076923076923,0.26732673267326734,3.1184554455445537,2.0494158415841586,0.6237623762376238,0.26732673267326734,7.107142857142857
藤井　一志,Kazushi Fujii,FW,フォワード,17.142857142857142,0.6711409395973155,1.6778523489932888,34.285714285714285,0.40268456375838924,0.4698657718120805,1.9460402684563758,1.610738255033557,0.6711409395973155,6.333333333333333
ピーダーセン　世穏,Jorn Pedersen,FW,フォワード,6.896551724137931,0.4337349397590362,1.5903614457831323,28.575000000000006,0.14457831325301204,7.736240963855423,4.192626506024096,1.2289156626506024,0.4337349397590362,1.5238095238095237
ラファエル　フルタード,Rafael Victor de Oliveira Furtado,FW,フォワード,,,,,,,,,,7.12
渡邉　颯太,Sota Watanabe,FW,フォワード,6.666666666666667,1.1894273127753305,4.757709251101322,26.66,0.39647577092511016,8.324801762114538,2.775726872246696,1.5859030837004406,1.5859030837004406,5.232558139534884
阪野　豊史,Toyofumi Sakano,FW,フォワード,10.714285714285714,0.14516129032258066,1.8870967741935485,21.428571428571427,0.21774193548387097,4.572072580645162,1.741717741935484,1.2338709677419355,0.43548387096774194,3.5
河田　篤秀,Atsushi Kawata,FW,フォワード,,,,,,,,,,5.521739130434782
マリソン,Marlyson Conceição Oliveira,FW,フォワード,16.129032258064516,0.22332506203473945,1.935483870967742,34.48275862068966,0.37220843672456577,4.243920595533499,1.8604466501240695,0.8188585607940447,0.37220843672456577,3.5625
青木　翔大,Shota Aoki,FW,フォワード,,,,,,,,,,8.884615384615385
山本　宗太朗,Sotaro Yamamoto,FW,フォワード,0.0,0.28846153846153844,0.28846153846153844,25.0,0.0,2.451634615384615,5.479326923076923,0.5769230769230769,0.5769230769230769,2.5625
松本　ケン　チザンガ,Ken Tshizanga Matsumoto,FW,フォワード,0.0,0.7070707070707072,2.02020202020202,33.32222222222222,0.0,7.07060606060606,2.4261616161616164,0.4040404040404041,0.30303030303030304,4.195121951219512
白井　陽斗,Haruto Shirai,FW,フォワード,20.408163265306122,0.5393835616438356,2.773972602739726,37.2046511627907,0.7705479452054794,2.003347602739726,2.0803253424657533,0.6934931506849314,0.23116438356164382,10.833333333333334
