FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,raw_out_box_shots_per90,raw_box_shots_per90,raw_shot_on_target_rate_pct,raw_aerial_retain_proxy_pct,raw_aerial_pass_proxy_per90,raw_pressure_engagement_proxy_per90,raw_consecutive_on_ball_engagement_proxy_per90,raw_runs_in_behind_proxy_per_match,raw_passing_option_receive_proxy_per90,raw_xthreat_passing_option_proxy_per90,raw_successful_forward_passes_per90,raw_attacking_third_tackle_gain_proxy_per90,raw_goals_per90,raw_first_shot_proxy_per90,win_shot_conversion_rate_pct,win_out_box_shots_per90,win_box_shots_per90,win_shot_on_target_rate_pct,win_aerial_retain_proxy_pct,win_aerial_pass_proxy_per90,win_pressure_engagement_proxy_per90,win_consecutive_on_ball_engagement_proxy_per90,win_runs_in_behind_proxy_per_match,win_passing_option_receive_proxy_per90,win_xthreat_passing_option_proxy_per90,win_successful_forward_passes_per90,win_attacking_third_tackle_gain_proxy_per90,win_goals_per90,win_first_shot_proxy_per90,z_shot_conversion_rate_pct,z_out_box_shots_per90,z_box_shots_per90,z_shot_on_target_rate_pct,z_aerial_retain_proxy_pct,z_aerial_pass_proxy_per90,z_pressure_engagement_proxy_per90,z_consecutive_on_ball_engagement_proxy_per90,z_runs_in_behind_proxy_per_match,z_passing_option_receive_proxy_per90,z_xthreat_passing_option_proxy_per90,z_successful_forward_passes_per90,z_attacking_third_tackle_gain_proxy_per90,z_goals_per90,z_first_shot_proxy_per90,imputed_shot_conversion_rate_pct,imputed_out_box_shots_per90,imputed_box_shots_per90,imputed_shot_on_target_rate_pct,imputed_aerial_retain_proxy_pct,imputed_aerial_pass_proxy_per90,imputed_pressure_engagement_proxy_per90,imputed_consecutive_on_ball_engagement_proxy_per90,imputed_runs_in_behind_proxy_per_match,imputed_passing_option_receive_proxy_per90,imputed_xthreat_passing_option_proxy_per90,imputed_successful_forward_passes_per90,imputed_attacking_third_tackle_gain_proxy_per90,imputed_goals_per90,imputed_first_shot_proxy_per90
橋本　啓吾,Keigo Hashimoto,FW,フォワード,14.285714285714285,0.547550432276657,1.8731988472622478,29.760714285714286,54.33669467787116,5.590259365994236,0.7780979827089338,3.34299711815562,14.627118644067796,9.164265129682997,0.0,2.420806916426513,0.25936599423631124,0.345821325648415,2.4207492795389047,14.285714285714285,0.547550432276657,1.8731988472622478,29.760714285714286,54.33669467787116,5.590259365994236,0.7780979827089338,3.34299711815562,13.410800000000004,9.164265129682997,0.0,2.420806916426513,0.25936599423631124,0.345821325648415,2.4207492795389047,0.31872934537382264,0.137884656509656,-0.016459524292581705,-0.37643467242555384,1.2451604473761486,1.2503745729988436,-0.46946710903435696,-0.40907113892837493,2.6700009157714755,-0.591931449573819,0.0,-0.1499236850259706,-0.8760216991389366,0.3205840359691398,-0.02054952650439474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐藤　碧,Aoi Sato,FW,フォワード,6.0,0.895310279488394,1.1084793936522974,25.52978723404255,31.88115942028985,0.9378588346755092,1.3216485078162008,5.11605873993368,7.9245283018867925,10.78635717669351,0.0,3.197621980104216,0.8526764566556135,0.12790146849834202,2.1316911416390334,6.0,0.895310279488394,1.1084793936522974,25.52978723404255,31.88115942028985,0.9378588346755092,1.3216485078162008,5.11605873993368,7.9245283018867925,10.78635717669351,0.0,3.197621980104216,0.8526764566556135,0.12790146849834202,2.1316911416390334,-0.8045619984856437,1.379257271733905,-1.065498124843711,-0.7627269189194044,-0.8369578413441239,-0.9797691441756534,0.8341273628226974,0.6264506865943554,0.5883977422483705,0.03367601166062154,0.0,0.45049362725446696,1.4703094121054516,-0.886014074536504,-0.35562358534853056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富樫　佑太,Yuta Togashi,FW,フォワード,3.6363636363636362,0.9222886421861657,1.1912894961571308,27.27272727272727,25.30361445783133,0.8070794192997438,1.4987190435525193,4.8807130657557645,6.018518518518518,9.030742954739539,0.0,3.612566182749787,0.3074295473953886,0.07685738684884715,2.1135781383432963,3.6363636363636362,0.9222886421861657,1.1912894961571308,27.27272727272727,25.30361445783133,0.8070794192997438,1.4987190435525193,4.8807130657557645,6.018518518518518,9.030742954739539,0.0,3.612566182749787,0.3074295473953886,0.07685738684884715,2.1135781383432963,-1.1249993410913222,1.4755599384308176,-0.9518996102079438,-0.6035929478476109,-1.4468398372137652,-1.0424586932745887,1.2587947320043922,0.48900166668426315,-0.13478117271312723,-0.6434281997359487,0.0,0.7712130552728841,-0.6859475015017591,-1.168639500581832,-0.376620045009743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西谷　亮,Ryo Nishitani,FW,フォワード,14.814814814814813,0.39003250270855905,0.9263271939328277,37.03703703703704,46.774193548387096,1.4138678223185264,1.7063921993499458,6.240081256771397,12.018518518518519,16.088840736728063,0.0,4.972719393282773,0.6338028169014085,0.19501625135427952,1.3163596966413869,14.814814814814813,0.39003250270855905,0.9263271939328277,37.03703703703704,46.774193548387096,1.4138678223185264,1.7063921993499458,6.240081256771397,12.018518518518519,16.088840736728063,0.0,4.972719393282773,0.6338028169014085,0.19501625135427952,1.3163596966413869,0.39045931624607455,-0.4243954506977851,-1.3153736678013068,0.2879083964799182,0.5439515147210964,-0.7515926477703097,1.7568562099087845,1.282913966983457,2.1417409771895013,2.078734603954598,0.0,1.8225051492900675,0.6047422884573714,-0.5144069560296184,-1.3007497754067048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永井　龍,Ryo Nagai,FW,フォワード,15.053763440860216,0.8194233687405159,2.1851289833080427,29.537499999999994,44.675126903553306,3.004893778452201,0.3755690440060698,2.697166160849772,9.958333333333334,8.296661608497724,0.0,1.638744309559939,0.4779969650986343,0.4779969650986343,3.1752655538694996,15.053763440860216,0.8194233687405159,2.1851289833080427,29.537499999999994,44.675126903553306,3.004893778452201,0.3755690440060698,2.697166160849772,9.958333333333334,8.296661608497724,0.0,1.638744309559939,0.4779969650986343,0.4779969650986343,3.1752655538694996,0.42285349663999516,1.1083693770799095,0.41144478995297684,-0.39681459078033243,0.34932221729762075,0.011070952675827384,-1.4348502243427026,-0.7862560284291622,1.3600647760269475,-0.9265482410482072,0.0,-0.7543969379348264,-0.011414244343537968,1.0524259107813108,0.8540801668186951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澤上　竜二,Ryuji Sawakami,FW,フォワード,11.11111111111111,0.5831533477321814,1.1663066954643628,27.77777777777778,50.511340206185565,4.762030237580994,0.48596112311015116,1.847138228941685,8.566037735849056,8.45572354211663,0.0,1.2639848812095034,0.48596112311015116,0.19438444924406048,1.7494600431965444,11.11111111111111,0.5831533477321814,1.1663066954643628,27.77777777777778,50.511340206185565,4.762030237580994,0.48596112311015116,1.847138228941685,8.566037735849056,8.45572354211663,0.0,1.2639848812095034,0.48596112311015116,0.19438444924406048,1.7494600431965444,-0.11165047985968932,0.26497375153597946,-0.9861709003560777,-0.5574808093479108,0.8904665861534283,0.8533601769515307,-1.1700974600463425,-1.2826981514683318,0.8317994815461355,-0.865201332496525,0.0,-1.0440566770967312,0.020081157981058348,-0.5179051743304811,-0.7987030519987385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
増田　隼司,Shunji Masuda,FW,フォワード,10.0,0.5871886120996441,1.0142348754448398,20.003333333333334,34.62051282051282,1.4414946619217084,1.814946619217082,9.074893238434163,7.654545454545454,12.117437722419929,0.0,5.925587188612099,0.9608540925266904,0.16014234875444838,1.6014234875444842,10.0,0.5871886120996441,1.0142348754448398,20.003333333333334,34.62051282051282,1.4414946619217084,1.814946619217082,9.02785588154662,7.654545454545454,12.117437722419929,0.0,5.925587188612099,0.9608540925266904,0.16014234875444838,1.6014234875444842,-0.26228341869141847,0.27937813640422005,-1.194782317920345,-1.2673034021291891,-0.5829599852054386,-0.7383496300310437,2.017201725362977,2.911058997666735,0.4859607535706478,0.5470463363873671,0.0,2.5589974592120974,1.898113350620521,-0.7074998918144288,-0.9703059341041508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島田　拓海,Takumi Shimada,FW,フォワード,8.108108108108109,0.3973509933774834,2.0529801324503314,27.027027027027028,44.79166666666667,2.847682119205298,0.46357615894039733,4.304701986754967,7.758064516129032,7.880794701986755,0.0,2.78158940397351,0.1986754966887417,0.1986754966887417,2.4503311258278146,8.108108108108109,0.3973509933774834,2.0529801324503314,27.027027027027028,44.79166666666667,2.847682119205298,0.46357615894039733,4.304701986754967,7.758064516129032,7.880794701986755,0.0,2.78158940397351,0.1986754966887417,0.1986754966887417,2.4503311258278146,-0.5187665307562547,-0.39827117564412884,0.23016360910450057,-0.6260258800907077,0.3601279972248458,-0.06428898071251302,-1.2237832062585285,0.15259370617013865,0.5252379930093393,-1.0869395333137943,0.0,0.1289329716218375,-1.1160309549543637,-0.4941461199397798,0.013741531260468816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樋口　寛規,Hiroki Higuchi,FW,フォワード,23.333333333333332,0.307797537619699,1.292749658002736,46.15384615384615,25.003571428571426,0.8619562243502051,0.6771545827633378,2.5851915184678527,7.5,8.864569083447332,0.0,1.96953488372093,0.24623803009575923,0.43091655266757867,1.8467852257181943,23.333333333333332,0.307797537619699,1.292749658002736,46.15384615384615,25.003571428571426,0.8619562243502051,0.6771545827633378,2.5851915184678527,7.5,8.864569083447332,0.0,1.96953488372093,0.24623803009575923,0.43091655266757867,1.8467852257181943,1.545311847289332,-0.7179435255940742,-0.81271703064656,1.1202916145257804,-1.4746603755112953,-1.0161533136801093,-0.711559153952474,-0.8516526196515816,0.4273230618307317,-0.7075180360274291,0.0,-0.49872168554573465,-0.9279381116098652,0.791746882150995,-0.6858844191375113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浅川　隼人,Hayato Asakawa,FW,フォワード,22.033898305084744,0.2915316982878297,2.082369273484498,49.11929824561403,35.55666666666667,1.3327579824155484,0.9578898658028691,1.4993475242943082,7.410714285714286,4.622859787135585,0.0,1.1245210550670985,0.5414160111059695,0.5414160111059695,2.4571957427117077,22.033898305084744,0.2915316982878297,2.082369273484498,49.11929824561403,35.55666666666667,1.3327579824155484,0.9578898658028691,1.4993475242943082,7.410714285714286,4.622859787135585,0.0,1.1245210550670985,0.5414160111059695,0.5414160111059695,2.4571957427117077,1.3691479018759536,-0.7760064896542291,0.2704794965013016,1.3910434229140336,-0.4961580888456231,-0.7904729201464679,-0.03827314626563203,-1.4858184835271397,0.3934462441238473,-2.3434578638878385,0.0,-1.1518513113258002,0.23938544674178258,1.4035701437266537,0.021698944459099454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
