対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,河村　慶人,Keito  Kawamura,FW,Center Forward,2907.0,3202.59,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Keito Kawamura,鹿児島,2025|鹿児島|3202.59,鹿児島,2025|鹿児島|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,安藤　翼,Tsubasa Ando,FW,Center Forward,2773.0,2335.74,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Tsubasa Ando,松本,2024|松本|1826.30; 2025|松本|509.44,松本,2024|松本|2305.00; 2025|松本|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,杉本　健勇,Kenyu Sugimoto,FW,Center Forward,2751.0,1981.06,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kenyu Sugimoto,大宮,2024|大宮|1981.06,大宮,2024|大宮|2751.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,和田　育,Hagumi Wada,FW,Center Forward,2538.0,2172.11,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Hagumi Wada,沼津,2024|沼津|1921.62; 2025|FC大阪|250.49,沼津,2024|沼津|2342.00; 2025|FC大阪|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,土信田　悠生,Yusei  Toshida,FW,Center Forward,2519.0,2526.83,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Yusei Toshida,金沢,2025|金沢|2071.35; 2024|金沢|455.48,金沢,2024|金沢|699.00; 2025|金沢|0.00,normalized,composite_normalized,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,オリオラ　サンデー,Oriola Sunday,FW,Center Forward,2515.0,1869.56,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Oriola Sunday,大宮,2024|大宮|1041.61; 2024|八戸|827.95,八戸,2024|八戸|1518.00; 2024|大宮|997.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,田中　翔太,Shota Tanaka,FW,Center Forward,2502.0,2011.02,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Shota Tanaka,群馬,2025|群馬|1149.79; 2024|鳥取|861.23,鳥取,2024|鳥取|1503.00; 2025|群馬|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,田口　裕也,Yuya Taguchi,FW,Center Forward,2502.0,1758.53,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Yuya Taguchi,金沢,2024|金沢|889.73; 2024|岐阜|868.80,岐阜,2024|岐阜|1579.00; 2024|金沢|923.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,清水　一雅,Kazumasa  Shimizu,FW,Wide Attacker,2476.0,2617.32,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Kazumasa Shimizu,福島,2025|福島|2063.83; 2024|福島|553.49,福島,2024|福島|617.00; 2025|福島|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,藤岡　浩介,Kosuke Fujioka,FW,Center Forward,2457.0,1794.9,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kosuke Fujioka,岐阜,2024|岐阜|1794.90,岐阜,2024|岐阜|2457.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
