FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,raw_ball_gains_per90,raw_interceptions_per90,raw_pass_success_rate_pct,raw_forward_pass_success_rate_pct,raw_short_pass_share_pct,raw_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_running_distance_full_all_per_match,win_ball_gains_per90,win_interceptions_per90,win_pass_success_rate_pct,win_forward_pass_success_rate_pct,win_short_pass_share_pct,win_long_pass_share_pct,win_opponent_half_gain_share_pct,z_running_distance_full_all_per_match,z_ball_gains_per90,z_interceptions_per90,z_pass_success_rate_pct,z_forward_pass_success_rate_pct,z_short_pass_share_pct,z_long_pass_share_pct,z_opponent_half_gain_share_pct,imputed_running_distance_full_all_per_match,imputed_ball_gains_per90,imputed_interceptions_per90,imputed_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,imputed_short_pass_share_pct,imputed_long_pass_share_pct,imputed_opponent_half_gain_share_pct
針谷　岳晃,Takeaki Harigaya,CMF,セントラルMF,1155.532258064516,4.447058823529411,0.31764705882352945,85.30961248112733,67.95626043405676,67.03573225968798,7.3477604428787116,39.682539682539684,1155.532258064516,4.447058823529411,0.31764705882352945,85.30961248112733,67.95626043405676,67.03573225968798,7.3477604428787116,39.682539682539684,-0.57469234530227,-1.67745923207824,0.8294536449272575,1.6301210811561102,1.633049011046518,1.5467631444124694,-0.7645515812074513,1.0420381163942545,0,0,0,0,0,0,0,0
安田　虎士朗,Kojiro Yasuda,CMF,セントラルMF,1925.3653846153845,7.77307366638442,0.3810330228619814,74.34539473684211,47.8811320754717,62.5,8.05921052631579,39.21568627450981,1925.3653846153845,7.77307366638442,0.3810330228619814,74.34539473684211,47.8811320754717,62.5,8.05921052631579,39.21568627450981,1.5688499511823943,0.4406205846742846,1.3576510333404654,-0.8864828557680493,-1.3482951839592798,0.6968008920634098,-0.44379564366011015,0.9481673187091314,0,0,0,0,0,0,0,0
力安　祥伍,Shogo Rikiyasu,CMF,セントラルMF,1668.5471698113208,6.210743801652892,0.1115702479338843,79.3295746785361,45.972627737226276,55.984174085064296,9.000989119683481,37.12574850299401,1668.5471698113208,6.210743801652892,0.1115702479338843,79.3295746785361,45.972627737226276,55.984174085064296,9.000989119683481,37.12574850299401,0.8537589958130959,-0.5543056288109888,-0.8877914104354996,0.25753007394080435,-1.6317259161736568,-0.524216080167246,-0.019196528823704546,0.5279409214073437,0,0,0,0,0,0,0,0
佐藤　祐太,Yuta Sato,CMF,セントラルMF,1503.159090909091,5.89321692411014,0.3022162525184688,78.49808219178082,63.886538461538464,72.26027397260275,4.931506849315069,33.84615384615385,1503.159090909091,5.89321692411014,0.3022162525184688,78.49808219178082,63.886538461538464,71.16175070989485,4.931506849315069,33.84615384615385,0.3932483601515281,-0.7565137674921883,0.7008682125672046,0.06667858644805802,1.0286572601531185,2.319948097664728,-1.853914988140249,-0.13149127128161187,0,0,0,0,0,0,0,0
高吉　正真,Shoma Takayoshi,CMF,セントラルMF,1536.0,7.810044414075845,0.1844892381277759,79.40531295487628,59.651973684210525,57.78748180494906,10.116448326055313,32.677165354330704,1536.0,7.810044414075845,0.1844892381277759,79.40531295487628,59.651973684210525,57.78748180494906,10.116448326055313,32.677165354330704,0.48469139535419625,0.46416437452347253,-0.280154991704421,0.2749141909712127,0.3997848120293304,-0.18628972042723305,0.4837061650759068,-0.36654124698007534,0,0,0,0,0,0,0,0
神垣　陸,Riku Kamigaki,CMF,セントラルMF,1538.0166666666667,4.114555964266947,0.09458749343142406,74.46011477761839,43.408780487804876,56.9583931133429,8.751793400286944,27.586206896551722,1538.0166666666667,4.372245680195356,0.09458749343142406,74.46011477761839,43.408780487804876,56.9583931133429,8.751793400286944,27.586206896551722,0.49030665163353887,-1.7251018964710587,-1.0293092797672734,-0.8601513004309477,-2.0124811959113957,-0.3416547312718511,-0.13154595216155382,-1.3901866208678755,0,0,0,0,0,0,0,0
堀内　颯人,Hayato Horiuchi,CMF,セントラルMF,1680.0425531914893,7.9801192842942354,0.42942345924453285,83.16666666666667,62.94396551724139,52.63157894736842,11.017543859649123,32.28699551569507,1680.0425531914893,7.9801192842942354,0.42942345924453285,83.16666666666667,62.94396551724139,52.63157894736842,11.017543859649123,32.28699551569507,0.8857670240985217,0.5724718135958606,1.7608901811419226,1.1382532617580723,0.8886763680933242,-1.152467297677718,0.8899633986140162,-0.4449931836168086,0,0,0,0,0,0,0,0
井澤　春輝,Haruki Izawa,CMF,セントラルMF,1198.84,5.04,0.045,79.06860103626944,55.413057324840764,56.476683937823836,9.740932642487046,36.607142857142854,1198.84,5.04,0.045,79.06860103626944,55.413057324840764,56.476683937823836,9.740932642487046,36.607142857142854,-0.45410520322919096,-1.299861176224164,-1.4425235445617064,0.1976291023549343,-0.22973388670006964,-0.43192342271122597,0.31440562249283344,0.423664236643503,0,0,0,0,0,0,0,0
前澤　甲気,Koki Maezawa,CMF,セントラルMF,1651.8260869565217,10.032267527134058,0.44881196831915515,66.1006031363088,48.357341772151905,55.60916767189384,12.907117008443908,32.631578947368425,1651.8260869565217,10.032267527134058,0.43378587378632283,68.84746716634365,48.357341772151905,55.60916767189384,12.907117008443908,32.631578947368425,0.8072004013513674,1.8793252040672361,1.797242329493748,-2.1484156713628484,-1.277573593071127,-0.5944894731575164,1.7418739135132062,-0.3757073627490619,0,0,0,0,0,0,0,0
菅井　拓也,Takuya Sugai,CMF,セントラルMF,1221.7619047619048,8.6845521419299,0.1947209000432713,82.9072802197802,58.344067796610176,52.197802197802204,9.409340659340659,42.600896860986545,1221.7619047619048,8.6845521419299,0.1947209000432713,82.9072802197802,58.344067796610176,52.197802197802204,9.409340659340659,42.600896860986545,-0.3902808877008701,1.0210702379897383,-0.1948942058999626,1.078716597251433,0.20554856327609766,-1.2337538115124909,0.164907997974376,1.6288358382465502,0,0,0,0,0,0,0,0
