FB_Name,SC_Name,analysis_position_code,analysis_position_jp,total_distance_full_all_per_match,loose_ball_gain_proxy_per90,mid_third_aerial_win_rate_proxy_pct,mid_third_tackle_win_rate_proxy_pct,out_box_shot_conversion_rate_pct,shot_on_target_rate_pct,interception_engagement_proxy_per90,pressure_engagement_proxy_per90,pass_success_rate_pct,forward_pass_success_rate_pct,short_pass_share_pct,long_pass_share_pct,forward_momentum_proxy_per90,vital_area_entry_proxy_per90,opponent_half_loose_ball_gain_share_proxy_pct
針谷　岳晃,Takeaki Harigaya,CMF,セントラルMF,8701.08064516129,4.447058823529411,40.61875,65.71714285714286,4.761904761904762,38.46153846153847,0.31764705882352945,1.2352941176470589,85.30961248112733,67.95626043405676,67.03573225968798,7.3477604428787116,0.0,0.0,39.682539682539684
安田　虎士朗,Kojiro Yasuda,CMF,セントラルMF,11442.634615384615,7.77307366638442,48.005333333333326,64.89468085106384,0.0,0.0,0.3810330228619814,3.581710414902625,74.34539473684211,47.8811320754717,62.5,8.05921052631579,0.0,0.0,39.21568627450981
力安　祥伍,Shogo Rikiyasu,CMF,セントラルMF,10256.924528301886,6.210743801652892,47.72954545454546,74.42325581395349,18.75,15.0,0.1115702479338843,1.5991735537190084,79.3295746785361,45.972627737226276,55.984174085064296,9.000989119683481,0.0,0.0,37.12574850299401
佐藤　祐太,Yuta Sato,CMF,セントラルMF,9628.0,5.89321692411014,31.88550724637681,64.70588235294117,0.0,34.61153846153845,0.3022162525184688,2.0550705171255874,78.49808219178082,63.886538461538464,72.26027397260275,4.931506849315069,0.0,0.0,33.84615384615385
高吉　正真,Shoma Takayoshi,CMF,セントラルMF,9741.274509803921,7.810044414075845,52.85714285714286,72.06176470588235,5.88235294117647,10.526315789473683,0.1844892381277759,2.090878032114793,79.40531295487628,59.651973684210525,57.78748180494906,10.116448326055313,0.0,0.0,32.677165354330704
神垣　陸,Riku Kamigaki,CMF,セントラルMF,9577.35,4.114555964266947,29.26341463414634,63.63333333333333,0.0,22.22222222222222,0.09458749343142406,1.5606936416184969,74.46011477761839,43.408780487804876,56.9583931133429,8.751793400286944,0.0,0.0,27.586206896551722
堀内　颯人,Hayato Horiuchi,CMF,セントラルMF,9634.170212765957,7.9801192842942354,31.031034482758617,75.00625000000001,7.6923076923076925,7.142857142857142,0.42942345924453285,2.290258449304175,83.16666666666667,62.94396551724139,52.63157894736842,11.017543859649123,0.0,0.0,32.28699551569507
井澤　春輝,Haruki Izawa,CMF,セントラルMF,8650.04,5.04,61.81454545454547,76.92692307692309,0.0,11.76470588235294,0.045,1.17,79.06860103626944,55.413057324840764,56.476683937823836,9.740932642487046,0.0,0.0,36.607142857142854
前澤　甲気,Koki Maezawa,CMF,セントラルMF,11206.608695652174,10.032267527134058,64.32046783625732,66.03396226415093,0.0,20.585294117647056,0.44881196831915515,2.798474625990026,66.1006031363088,48.357341772151905,55.60916767189384,12.907117008443908,,,32.631578947368425
菅井　拓也,Takuya Sugai,CMF,セントラルMF,8267.595238095239,8.6845521419299,61.10555555555555,63.08307692307693,7.142857142857142,29.411764705882355,0.1947209000432713,2.531371700562527,82.9072802197802,58.344067796610176,52.197802197802204,9.409340659340659,0.0,0.0,42.600896860986545
