cluster_id,cluster_label,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,top10_filter_mode,top10_imputed_ratio_threshold_used,official_top10_eligible_count,analysis_position_jp,imputed_count,imputed_ratio,z_shot_conversion_rate_pct,z_out_box_shots_per90,z_box_shots_per90,z_shot_on_target_rate_pct,z_goals_per90,z_aerial_wins_per90,z_successful_forward_passes_per90,z_last_passes_per90,z_attacking_third_gains_per90,z_sprint_count_full_all_per_match
1,フィニッシュ型,7,7,松木　駿之介,Shunnosuke Matsuki,FW,0,平均型,3.981843,,score_cluster_1 = z_shot_conversion_rate_pct + z_goals_per90 + z_shot_on_target_rate_pct,strict,0.25,82,フォワード,0,0.0,1.24984,-0.07486,0.537622,1.024073,1.70793,0.519713,-0.51234,-0.629019,0.885587,1.755294
1,フィニッシュ型,8,8,ファビアン　ゴンザレス,Fabián Andrés González Lasso,FW,2,空中戦・前進関与型,3.96178,,score_cluster_1 = z_shot_conversion_rate_pct + z_goals_per90 + z_shot_on_target_rate_pct,strict,0.25,82,フォワード,0,0.0,0.230697,3.077396,2.505094,1.472283,2.2588,-0.317544,-0.766016,3.415894,0.850221,-0.799469
1,フィニッシュ型,9,9,日野　友貴,Tomoki Hino,FW,0,平均型,3.8484629999999997,,score_cluster_1 = z_shot_conversion_rate_pct + z_goals_per90 + z_shot_on_target_rate_pct,strict,0.25,82,フォワード,0,0.0,1.394679,-0.080091,0.750695,0.456479,1.997305,-0.496539,-1.018434,-1.61105,-0.619135,-1.134138
1,フィニッシュ型,10,10,藤岡　浩介,Kosuke Fujioka,FW,0,平均型,3.83895,,score_cluster_1 = z_shot_conversion_rate_pct + z_goals_per90 + z_shot_on_target_rate_pct,strict,0.25,82,フォワード,0,0.0,1.276204,1.321467,0.529328,0.303424,2.259322,-0.990349,-0.492218,-0.935475,-0.308276,0.142758
2,空中戦・前進関与型,1,1,渡邉　颯太,Sota Watanabe,FW,2,空中戦・前進関与型,7.432634999999999,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,-0.714182,2.429145,3.22645,-0.659536,0.601052,2.561187,0.124402,1.644998,4.183909,-0.432991
2,空中戦・前進関与型,2,2,ジョップ　セリンサリウ,Serigne Diop,FW,0,平均型,6.133457999999999,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,-1.61798,-1.816666,3.22645,-0.811098,-1.59419,2.556517,-0.065433,0.350491,-1.901722,-0.948076
2,空中戦・前進関与型,3,3,ファビアン　ゴンザレス,Fabián Andrés González Lasso,FW,2,空中戦・前進関与型,5.6034440000000005,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,0.230697,3.077396,2.505094,1.472283,2.2588,-0.317544,-0.766016,3.415894,0.850221,-0.799469
2,空中戦・前進関与型,4,4,マルクス　ヴィニシウス,Marcus Vinicius Ferreira Teixeira,FW,2,空中戦・前進関与型,5.255967,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,0.012288,2.689027,1.803103,-0.270073,1.493899,1.961391,1.495428,1.491473,0.768243,2.032563
2,空中戦・前進関与型,5,5,ウェズレイ　タンキ,Wesley Tanque da Silva,FW,2,空中戦・前進関与型,4.882887,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,1.51055,-1.418566,1.238603,1.11994,2.110791,0.22839,-0.728026,3.415894,1.185546,0.071616
2,空中戦・前進関与型,6,6,望月　想空,Sora Mochizuki,FW,1,フィニッシュ型,4.775921,,score_cluster_2 = z_last_passes_per90 + z_aerial_wins_per90 + z_box_shots_per90,strict,0.25,82,フォワード,0,0.0,4.72668,-1.816666,0.662884,3.754004,3.205707,1.976597,1.182082,2.13644,-1.901722,-1.627871
