FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_out_box_shots_per90,win_out_box_shots_per90,z_out_box_shots_per90,imputed_out_box_shots_per90,raw_box_shots_per90,win_box_shots_per90,z_box_shots_per90,imputed_box_shots_per90,raw_shot_on_target_rate_pct,win_shot_on_target_rate_pct,z_shot_on_target_rate_pct,imputed_shot_on_target_rate_pct,raw_goals_per90,win_goals_per90,z_goals_per90,imputed_goals_per90,raw_aerial_wins_per90,win_aerial_wins_per90,z_aerial_wins_per90,imputed_aerial_wins_per90,raw_successful_forward_passes_per90,win_successful_forward_passes_per90,z_successful_forward_passes_per90,imputed_successful_forward_passes_per90,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_attacking_third_gains_per90,win_attacking_third_gains_per90,z_attacking_third_gains_per90,imputed_attacking_third_gains_per90,raw_sprint_count_full_all_per_match,win_sprint_count_full_all_per_match,z_sprint_count_full_all_per_match,imputed_sprint_count_full_all_per_match,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center
橋本　啓吾,Keigo Hashimoto,FW,フォワード,14.285714285714285,14.285714285714285,0.318729,0,0.547550432276657,0.547550432276657,0.137885,0,1.8731988472622478,1.8731988472622478,-0.016460,0,29.760714285714286,29.760714285714286,-0.376435,0,0.345821325648415,0.345821325648415,0.320584,0,5.590259365994236,5.590259365994236,1.250375,0,2.420806916426513,2.420806916426513,-0.149924,0,1.0086455331412103,1.0086455331412103,0.155136,0,0.25936599423631124,0.25936599423631124,-0.876022,0,14.627118644067796,13.410800000000004,2.670001,0,0,0.0000,0,2.988913
佐藤　碧,Aoi Sato,FW,フォワード,6.0,6.0,-0.804562,0,0.895310279488394,0.895310279488394,1.379257,0,1.1084793936522974,1.1084793936522974,-1.065498,0,25.52978723404255,25.52978723404255,-0.762727,0,0.12790146849834202,0.12790146849834202,-0.886014,0,0.9378588346755092,0.9378588346755092,-0.979769,0,3.197621980104216,3.197621980104216,0.450494,0,1.1084793936522974,1.1084793936522974,0.412800,0,0.8526764566556135,0.8526764566556135,1.470309,0,7.9245283018867925,7.9245283018867925,0.588398,0,0,0.0000,3,2.230344
富樫　佑太,Yuta Togashi,FW,フォワード,3.6363636363636362,3.6363636363636362,-1.124999,0,0.9222886421861657,0.9222886421861657,1.475560,0,1.1912894961571308,1.1912894961571308,-0.951900,0,27.27272727272727,27.27272727272727,-0.603593,0,0.07685738684884715,0.07685738684884715,-1.168640,0,0.8070794192997438,0.8070794192997438,-1.042459,0,3.612566182749787,3.612566182749787,0.771213,0,0.5764304013663536,0.5764304013663536,-0.960382,0,0.3074295473953886,0.3074295473953886,-0.685948,0,6.018518518518518,6.018518518518518,-0.134781,0,0,0.0000,3,2.689954
西谷　亮,Ryo Nishitani,FW,フォワード,14.814814814814813,14.814814814814813,0.390459,0,0.39003250270855905,0.39003250270855905,-0.424395,0,0.9263271939328277,0.9263271939328277,-1.315374,0,37.03703703703704,37.03703703703704,0.287908,0,0.19501625135427952,0.19501625135427952,-0.514407,0,1.4138678223185264,1.4138678223185264,-0.751593,0,4.972719393282773,4.972719393282773,1.822505,0,1.0725893824485373,1.0725893824485373,0.320171,0,0.6338028169014085,0.6338028169014085,0.604742,0,12.018518518518519,12.018518518518519,2.141741,0,0,0.0000,3,2.826585
永井　龍,Ryo Nagai,FW,フォワード,15.053763440860216,15.053763440860216,0.422853,0,0.8194233687405159,0.8194233687405159,1.108369,0,2.1851289833080427,2.1851289833080427,0.411445,0,29.537499999999994,29.537499999999994,-0.396815,0,0.4779969650986343,0.4779969650986343,1.052426,0,3.004893778452201,3.004893778452201,0.011071,0,1.638744309559939,1.638744309559939,-0.754397,0,0.6828528072837633,0.6828528072837633,-0.685713,0,0.4779969650986343,0.4779969650986343,-0.011414,0,9.958333333333334,9.958333333333334,1.360065,0,0,0.0000,0,2.199515
澤上　竜二,Ryuji Sawakami,FW,フォワード,11.11111111111111,11.11111111111111,-0.111650,0,0.5831533477321814,0.5831533477321814,0.264974,0,1.1663066954643628,1.1663066954643628,-0.986171,0,27.77777777777778,27.77777777777778,-0.557481,0,0.19438444924406048,0.19438444924406048,-0.517905,0,4.762030237580994,4.762030237580994,0.853360,0,1.2639848812095034,1.2639848812095034,-1.044057,0,1.0691144708423326,1.0691144708423326,0.311202,0,0.48596112311015116,0.48596112311015116,0.020081,0,8.566037735849056,8.566037735849056,0.831799,0,0,0.0000,0,1.977522
増田　隼司,Shunji Masuda,FW,フォワード,10.0,10.0,-0.262283,0,0.5871886120996441,0.5871886120996441,0.279378,0,1.0142348754448398,1.0142348754448398,-1.194782,0,20.003333333333334,20.003333333333334,-1.267303,0,0.16014234875444838,0.16014234875444838,-0.707500,0,1.4414946619217084,1.4414946619217084,-0.738350,0,5.925587188612099,5.925587188612099,2.558997,0,1.4412811387900357,1.4412811387900357,1.271739,0,0.9608540925266904,0.9608540925266904,1.898113,0,7.654545454545454,7.654545454545454,0.485961,0,0,0.0000,3,2.691706
島田　拓海,Takumi Shimada,FW,フォワード,8.108108108108109,8.108108108108109,-0.518767,0,0.3973509933774834,0.3973509933774834,-0.398271,0,2.0529801324503314,2.0529801324503314,0.230164,0,27.027027027027028,27.027027027027028,-0.626026,0,0.1986754966887417,0.1986754966887417,-0.494146,0,2.847682119205298,2.847682119205298,-0.064289,0,2.78158940397351,2.78158940397351,0.128933,0,1.0596026490066226,1.0596026490066226,0.286653,0,0.1986754966887417,0.1986754966887417,-1.116031,0,7.758064516129032,7.758064516129032,0.525238,0,0,0.0000,0,1.513998
樋口　寛規,Hiroki Higuchi,FW,フォワード,23.333333333333332,23.333333333333332,1.545312,0,0.307797537619699,0.307797537619699,-0.717944,0,1.292749658002736,1.292749658002736,-0.812717,0,46.15384615384615,46.15384615384615,1.120292,0,0.43091655266757867,0.43091655266757867,0.791747,0,0.8619562243502051,0.8619562243502051,-1.016153,0,1.96953488372093,1.96953488372093,-0.498722,0,0.8002735978112175,0.8002735978112175,-0.382658,0,0.24623803009575923,0.24623803009575923,-0.927938,0,7.5,7.5,0.427323,0,0,0.0000,0,2.606314
浅川　隼人,Hayato Asakawa,FW,フォワード,22.033898305084744,22.033898305084744,1.369148,0,0.2915316982878297,0.2915316982878297,-0.776006,0,2.082369273484498,2.082369273484498,0.270479,0,49.11929824561403,49.11929824561403,1.391043,0,0.5414160111059695,0.5414160111059695,1.403570,0,1.3327579824155484,1.3327579824155484,-0.790473,0,1.1245210550670985,1.1245210550670985,-1.151851,0,0.4997686256362795,0.4997686256362795,-1.158241,0,0.5414160111059695,0.5414160111059695,0.239385,0,7.410714285714286,7.410714285714286,0.393446,0,0,0.0000,0,2.933590
