FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_out_box_shots_per90,win_out_box_shots_per90,z_out_box_shots_per90,imputed_out_box_shots_per90,raw_box_shots_per90,win_box_shots_per90,z_box_shots_per90,imputed_box_shots_per90,raw_shot_on_target_rate_pct,win_shot_on_target_rate_pct,z_shot_on_target_rate_pct,imputed_shot_on_target_rate_pct,raw_goals_per90,win_goals_per90,z_goals_per90,imputed_goals_per90,raw_aerial_wins_per90,win_aerial_wins_per90,z_aerial_wins_per90,imputed_aerial_wins_per90,raw_successful_forward_passes_per90,win_successful_forward_passes_per90,z_successful_forward_passes_per90,imputed_successful_forward_passes_per90,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_attacking_third_gains_per90,win_attacking_third_gains_per90,z_attacking_third_gains_per90,imputed_attacking_third_gains_per90,raw_sprint_count_full_all_per_match,win_sprint_count_full_all_per_match,z_sprint_count_full_all_per_match,imputed_sprint_count_full_all_per_match,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_0,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
橋本　啓吾,Keigo Hashimoto,FW,フォワード,14.285714285714285,14.285714285714285,0.318729,0,0.547550432276657,0.547550432276657,0.137885,0,1.873198847262248,1.873198847262248,-0.01646,0,29.76071428571429,29.76071428571429,-0.376435,0,0.345821325648415,0.345821325648415,0.320584,0,5.590259365994236,5.590259365994236,1.250375,0,2.420806916426513,2.420806916426513,-0.149924,0,1.0086455331412103,1.0086455331412103,0.155136,0,0.2593659942363112,0.2593659942363112,-0.876022,0,14.627118644067796,13.410800000000004,2.670001,0,0,0.0,0,2.988913,2.9889129263645335,-2.9889129263645335,0.262878,1.389051,-1.025946,69,37,26,97
佐藤　碧,Aoi Sato,FW,フォワード,6.0,6.0,-0.804562,0,0.895310279488394,0.895310279488394,1.379257,0,1.1084793936522974,1.1084793936522974,-1.065498,0,25.52978723404255,25.52978723404255,-0.762727,0,0.127901468498342,0.127901468498342,-0.886014,0,0.9378588346755092,0.9378588346755092,-0.979769,0,3.197621980104216,3.197621980104216,0.450494,0,1.1084793936522974,1.1084793936522974,0.4128,0,0.8526764566556135,0.8526764566556135,1.470309,0,7.924528301886792,7.924528301886792,0.588398,0,0,0.0,3,2.230344,3.3057340198140563,-3.3057340198140563,-2.453303,-1.6324670000000001,1.920803,78,105,92,16
富樫　佑太,Yuta Togashi,FW,フォワード,3.636363636363636,3.636363636363636,-1.124999,0,0.9222886421861656,0.9222886421861656,1.47556,0,1.1912894961571308,1.1912894961571308,-0.9519,0,27.27272727272727,27.27272727272727,-0.603593,0,0.0768573868488471,0.0768573868488471,-1.16864,0,0.8070794192997438,0.8070794192997438,-1.042459,0,3.612566182749787,3.612566182749787,0.771213,0,0.5764304013663536,0.5764304013663536,-0.960382,0,0.3074295473953886,0.3074295473953886,-0.685948,0,6.018518518518518,6.018518518518518,-0.134781,0,0,0.0,3,2.689954,3.0920152706616766,-3.0920152706616766,-2.897232,-2.9547410000000003,0.08526500000000004,71,109,110,35
西谷　亮,Ryo Nishitani,FW,フォワード,14.814814814814811,14.814814814814811,0.390459,0,0.390032502708559,0.390032502708559,-0.424395,0,0.9263271939328276,0.9263271939328276,-1.315374,0,37.03703703703704,37.03703703703704,0.287908,0,0.1950162513542795,0.1950162513542795,-0.514407,0,1.4138678223185264,1.4138678223185264,-0.751593,0,4.972719393282773,4.972719393282773,1.822505,0,1.0725893824485373,1.0725893824485373,0.320171,0,0.6338028169014085,0.6338028169014085,0.604742,0,12.01851851851852,12.01851851851852,2.141741,0,0,0.0,3,2.826585,3.613827634011202,-3.613827634011202,0.16396000000000005,-1.746796,2.427247,88,38,94,11
永井　龍,Ryo Nagai,FW,フォワード,15.053763440860216,15.053763440860216,0.422853,0,0.8194233687405159,0.8194233687405159,1.108369,0,2.1851289833080427,2.1851289833080427,0.411445,0,29.53749999999999,29.53749999999999,-0.396815,0,0.4779969650986343,0.4779969650986343,1.052426,0,3.004893778452201,3.004893778452201,0.011071,0,1.638744309559939,1.638744309559939,-0.754397,0,0.6828528072837633,0.6828528072837633,-0.685713,0,0.4779969650986343,0.4779969650986343,-0.011414,0,9.958333333333334,9.958333333333334,1.360065,0,0,0.0,0,2.199515,2.1995153211123584,-2.1995153211123584,1.078464,-0.26319699999999996,-0.765811,46,30,41,85
澤上　竜二,Ryuji Sawakami,FW,フォワード,11.11111111111111,11.11111111111111,-0.11165,0,0.5831533477321814,0.5831533477321814,0.264974,0,1.1663066954643628,1.1663066954643628,-0.986171,0,27.77777777777778,27.77777777777778,-0.557481,0,0.1943844492440604,0.1943844492440604,-0.517905,0,4.762030237580994,4.762030237580994,0.85336,0,1.2639848812095034,1.2639848812095034,-1.044057,0,1.0691144708423326,1.0691144708423326,0.311202,0,0.4859611231101511,0.4859611231101511,0.020081,0,8.566037735849056,8.566037735849056,0.831799,0,0,0.0,0,1.977522,1.9775220319799223,-1.9775220319799223,-1.187036,0.17839100000000008,-1.023976,43,85,37,96
増田　隼司,Shunji Masuda,FW,フォワード,10.0,10.0,-0.262283,0,0.5871886120996441,0.5871886120996441,0.279378,0,1.0142348754448398,1.0142348754448398,-1.194782,0,20.003333333333337,20.003333333333337,-1.267303,0,0.1601423487544483,0.1601423487544483,-0.7075,0,1.4414946619217084,1.4414946619217084,-0.73835,0,5.925587188612099,5.925587188612099,2.558997,0,1.4412811387900355,1.4412811387900355,1.271739,0,0.9608540925266904,0.9608540925266904,1.898113,0,7.654545454545454,7.654545454545454,0.485961,0,0,0.0,3,2.691706,4.523291885798661,-4.523291885798661,-2.237086,-0.661393,4.45711,101,103,81,1
島田　拓海,Takumi Shimada,FW,フォワード,8.108108108108109,8.108108108108109,-0.518767,0,0.3973509933774834,0.3973509933774834,-0.398271,0,2.0529801324503314,2.0529801324503314,0.230164,0,27.027027027027028,27.027027027027028,-0.626026,0,0.1986754966887417,0.1986754966887417,-0.494146,0,2.847682119205298,2.847682119205298,-0.064289,0,2.78158940397351,2.78158940397351,0.128933,0,1.0596026490066226,1.0596026490066226,0.286653,0,0.1986754966887417,0.1986754966887417,-1.116031,0,7.758064516129032,7.758064516129032,0.525238,0,0,0.0,0,1.513998,1.5139980516209393,-1.5139980516209393,-1.638939,0.45252800000000004,-0.987098,35,93,33,93
樋口　寛規,Hiroki Higuchi,FW,フォワード,23.333333333333332,23.333333333333332,1.545312,0,0.307797537619699,0.307797537619699,-0.717944,0,1.292749658002736,1.292749658002736,-0.812717,0,46.15384615384615,46.15384615384615,1.120292,0,0.4309165526675786,0.4309165526675786,0.791747,0,0.8619562243502051,0.8619562243502051,-1.016153,0,1.96953488372093,1.96953488372093,-0.498722,0,0.8002735978112175,0.8002735978112175,-0.382658,0,0.2462380300957592,0.2462380300957592,-0.927938,0,7.5,7.5,0.427323,0,0,0.0,0,2.606314,2.6063134045256335,-2.6063134045256335,3.457351,-2.211528,-1.42666,57,12,103,105
浅川　隼人,Hayato Asakawa,FW,フォワード,22.033898305084744,22.033898305084744,1.369148,0,0.2915316982878297,0.2915316982878297,-0.776006,0,2.082369273484498,2.082369273484498,0.270479,0,49.11929824561403,49.11929824561403,1.391043,0,0.5414160111059695,0.5414160111059695,1.40357,0,1.3327579824155484,1.3327579824155484,-0.790473,0,1.1245210550670983,1.1245210550670983,-1.151851,0,0.4997686256362795,0.4997686256362795,-1.158241,0,0.5414160111059695,0.5414160111059695,0.239385,0,7.410714285714286,7.410714285714286,0.393446,0,0,0.0,0,2.93359,2.93358888199659,-2.93358888199659,4.163761,-1.678235,-0.912466,65,5,93,92
