feature_name,impurity_importance,permutation_importance_mean,permutation_importance_std,cluster_id,positive_count,negative_count,rank_by_permutation,feature_label,cluster_center_z
z_last_passes_per90,0.326941,0.032591,0.013118,2,16,101,1,ラストパス_per90,1.450350
z_box_shots_per90,0.159595,0.003362,0.003018,2,16,101,2,ボックス内シュート_per90,1.083838
z_aerial_wins_per90,0.114822,0.000660,0.000829,2,16,101,3,空中戦勝利数_per90,1.040615
z_attacking_third_gains_per90,0.065044,0.000598,0.000587,2,16,101,4,攻撃3rd奪回_per90,0.726974
z_out_box_shots_per90,0.073596,0.000330,0.000415,2,16,101,5,ボックス外シュート_per90,0.986969
z_successful_forward_passes_per90,0.107009,0.000186,0.000363,2,16,101,6,前進パス成功数_per90,0.743161
z_goals_per90,0.071221,0.000000,0.000000,2,16,101,7,得点_per90,0.711060
z_sprint_count_full_all_per_match,0.042349,0.000000,0.000000,2,16,101,8,スプリント回数_per_match,-0.478686
z_shot_on_target_rate_pct,0.023290,0.000000,0.000000,2,16,101,9,枠内率,-0.177768
z_shot_conversion_rate_pct,0.016134,0.000000,0.000000,2,16,101,10,決定率,0.018349
