対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,マテイ　ヨニッチ,Matej Jonjić,DF,Central Defender,2919.0,3204.69,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Matej Jonjić,栃木Ｃ,2025|栃木Ｃ|3204.69,栃木Ｃ,2025|栃木Ｃ|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,大畑　隆也,Ryuya Ohata,DF,Central Defender,2864.0,3137.07,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Ryuya Ohata,群馬,2025|群馬|3137.07,群馬,2025|群馬|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,篠﨑　輝和,Terukazu Shinozaki,DF,Central Defender,2732.0,3192.56,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Terukazu Shinozaki,沼津,2025|沼津|2994.79; 2024|沼津|197.77,沼津,2024|沼津|180.00; 2025|沼津|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,沼田　航征,Kosei Numata,MF,Midfield,2720.0,3035.78,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Kosei Numata,沼津,2025|沼津|1885.47; 2024|沼津|1150.31,沼津,2024|沼津|1201.00; 2025|沼津|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴木　俊也,Shunya Suzuki,DF,Central Defender,2697.0,2961.45,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Shunya Suzuki,高知,2025|高知|2930.96; 2024|大宮|30.49,大宮,2024|大宮|24.00; 2025|高知|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,市原　吏音,Rion Ichihara,DF,Central Defender,2695.0,2163.9,CB,センターバック,CB (Position Group: Central Defender),CB,Central Defender,Rion Ichihara,大宮,2024|大宮|2163.90,大宮,2024|大宮|2695.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,村上　陽介,Yosuke Murakami,DF,Central Defender,2695.0,2259.57,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Yosuke Murakami,大宮,2024|大宮|2259.57,大宮,2024|大宮|2695.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,庄司　朋乃也,Honoya Shoji,DF,Central Defender,2669.0,2523.13,CB,センターバック,RCB (Position Group: Central Defender),RCB,Central Defender,Honoya Shoji,金沢,2024|金沢|1463.70; 2025|金沢|1059.43,金沢,2024|金沢|1825.00; 2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,岩﨑　博,Hiroshi  Iwasaki,DF,Central Defender,2662.0,2914.71,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Hiroshi Iwasaki,栃木SC,2025|栃木SC|2914.71,栃木SC,2025|栃木SC|0.00,normalized,composite_normalized,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,高橋　勇利也,Yuriya Takahashi,MF,Central Defender,2617.0,2863.92,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Yuriya Takahashi,群馬,2025|群馬|2863.92,群馬,2025|群馬|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
