FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_aerial_duel_win_rate_pct,raw_tackle_win_rate_pct,raw_interceptions_per90,raw_blocks_per90,raw_clearances_per90,raw_pass_success_rate_pct,raw_successful_forward_passes_per90,raw_successful_long_passes_per90,raw_medaccel_count_full_all_per_match,raw_highaccel_count_full_all_per_match,win_aerial_duel_win_rate_pct,win_tackle_win_rate_pct,win_interceptions_per90,win_blocks_per90,win_clearances_per90,win_pass_success_rate_pct,win_successful_forward_passes_per90,win_successful_long_passes_per90,win_medaccel_count_full_all_per_match,win_highaccel_count_full_all_per_match,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,imputed_aerial_duel_win_rate_pct,imputed_tackle_win_rate_pct,imputed_interceptions_per90,imputed_blocks_per90,imputed_clearances_per90,imputed_pass_success_rate_pct,imputed_successful_forward_passes_per90,imputed_successful_long_passes_per90,imputed_medaccel_count_full_all_per_match,imputed_highaccel_count_full_all_per_match
温井　駿斗,Hayato Nukui,CB,センターバック,49.07222222222223,58.53414634146341,0.0,1.6781954887218045,2.1924812030075187,83.32442316064433,20.167227067669177,4.845464661654136,99.80357142857143,4.303571428571429,49.07222222222223,58.53414634146341,0.0,1.6781954887218045,2.1924812030075187,83.32442316064433,20.167227067669177,4.845464661654136,99.80357142857143,4.303571428571429,-0.9320619381210706,-0.36622826889970383,-0.9645064480379035,-0.6487004184456124,-1.695222326055664,0.7808538637302995,2.0377317286278394,1.169470160916744,0.6110552236612073,-0.3617889214767697,0,0,0,0,0,0,0,0,0,0
黒木　謙吾,Kengo  Kuroki,CB,センターバック,63.06193181818182,78.72340425531915,0.0,2.1972098922003807,4.4514901712111605,76.02378908645004,12.698075459733673,2.967574508560558,108.92063492063492,5.682539682539683,63.06193181818182,78.72340425531915,0.0,2.1972098922003807,4.4514901712111605,76.02378908645004,12.698075459733673,2.967574508560558,108.92063492063492,5.682539682539683,0.4676295584319443,1.269070340901531,-0.9645064480379035,0.16842972807293569,0.270415499429895,-0.45123044821281627,-0.09610538295583758,-0.14661813462196782,1.1340172340601344,0.9236987868746002,0,0,0,0,0,0,0,0,0,0
蓑田　広大,Kodai  Minoda,CB,センターバック,56.314942528735635,65.07777777777778,0.029116790682626983,2.8825622775800714,4.018117114202523,72.09248305606901,12.753474603688126,3.698065351019088,98.58620689655173,5.551724137931035,56.314942528735635,65.07777777777778,0.029116790682626983,2.8825622775800714,4.018117114202523,72.09248305606901,12.753474603688126,3.698065351019088,98.58620689655173,5.551724137931035,-0.2074168727319704,0.1637957387441171,-0.6615513874895855,1.2474404286020968,-0.10667661724278896,-1.1146934346129918,-0.08027858554629173,0.36533430635234576,0.5412262262425133,0.8017512553257131,0,0,0,0,0,0,0,0,0,0
鈴木　順也,Junya Suzuki,CB,センターバック,54.839247311827954,57.57424242424243,0.13215859030837004,1.9030837004405285,3.4889867841409687,85.35242862439748,15.991400881057267,4.018044052863436,99.83333333333333,4.722222222222222,54.839247311827954,57.57424242424243,0.13215859030837004,1.9030837004405285,3.4889867841409687,85.35242862439748,15.991400881057267,4.018044052863436,99.83333333333333,4.722222222222222,-0.35506239978466825,-0.44397899892019366,0.41058032458302257,-0.2946390741738814,-0.5670902791715938,1.1231082064396938,0.8447538167792491,0.5895860942565941,0.6127623901804635,0.02848144753350218,0,0,0,0,0,0,0,0,0,0
辻岡　佑真,Yuma  Tsujioka,CB,センターバック,66.84145077720207,75.86551724137931,0.14807502467917077,2.6949654491609083,4.4422507403751235,72.60236432025793,13.862102665350443,5.537324777887463,113.44067796610169,6.322033898305085,66.84145077720207,75.86551724137931,0.14807502467917077,2.6949654491609083,4.4422507403751235,72.60236432025793,13.862102665350443,5.537324777887463,113.44067796610169,6.322033898305085,0.8457761176378207,1.037585920780401,0.5761880109203897,0.952090197731494,0.26237596749668896,-1.0286438257466246,0.2364416827107878,1.6543488955033887,1.3932904967948636,1.5198415563419736,0,0,0,0,0,0,0,0,0,0
鈴木　大誠,Daisei Suzuki,CB,センターバック,59.998,59.45945945945946,0.08530805687203792,1.9905213270142181,3.9526066350710902,82.84752783964365,14.503905213270142,6.454151658767772,112.06896551724138,5.620689655172414,59.998,59.45945945945946,0.08530805687203792,1.9905213270142181,3.9526066350710902,82.84752783964365,14.503905213270142,6.454151658767772,112.06896551724138,5.620689655172414,0.16107856947032176,-0.2912793400214755,-0.07689119481055684,-0.15697830766233645,-0.16367943465471999,0.7003710950457366,0.4197961206639558,2.2968918711796196,1.314607980152341,0.8660415857657119,0,0,0,0,0,0,0,0,0,0
附木　雄也,Yuya Tsukegi,CB,センターバック,60.54495412844037,63.63636363636363,0.03571428571428571,1.5,3.357142857142857,86.44141090242785,18.714214285714288,6.68,108.98275862068965,4.568965517241379,60.54495412844037,63.63636363636363,0.03571428571428571,1.5,3.357142857142857,86.44141090242785,18.714214285714288,6.68,108.98275862068965,4.568965517241379,0.21580215306805817,0.04704342661556137,-0.5929056178177247,-0.9292492911402462,-0.6818120060951156,1.3068892269797996,1.6226253336195087,2.4551739506574366,1.137580698886536,-0.11438595344427387,0,0,0,0,0,0,0,0,0,0
加藤　大育,Daisuke Kato,CB,センターバック,57.822891566265056,54.54545454545454,0.30077979948013367,2.3393984404010397,3.5425176383215744,76.17092846270928,13.569279613813592,1.604025250649833,106.57142857142857,6.875,57.822891566265056,54.54545454545454,0.30077979948013367,2.3393984404010397,3.5425176383215744,76.17092846270928,13.569279613813592,1.604025250649833,106.57142857142857,6.875,-0.05654430239106629,-0.6893061243003432,2.165054201569841,0.39228969890563364,-0.5205113265029718,-0.42639861644098204,0.15278603782701497,-1.1022391094540227,0.9992648901401494,2.035321970643195,0,0,0,0,0,0,0,0,0,0
杉山　耕二,Koji  Sugiyama,CB,センターバック,66.23441558441559,60.004000000000005,0.0590744995077125,1.9494584837545126,4.430587463078438,80.83399357601714,12.939058089924515,3.6334952412208725,105.0925925925926,5.925925925925926,66.23441558441559,60.004000000000005,0.0590744995077125,1.9494584837545126,4.430587463078438,80.83399357601714,12.939058089924515,3.6334952412208725,105.0925925925926,5.925925925925926,0.7850413331432908,-0.2471723999483967,-0.3498467223044932,-0.22162716307826594,0.2522273672271988,0.3605589701587695,-0.027259855841092626,0.32008141144414903,0.9144376826499792,1.150585826046448,0,0,0,0,0,0,0,0,0,0
秋山　拓也,Takuya Akiyama,CB,センターバック,76.62532467532468,70.58823529411765,0.07755277897457992,1.3959500215424385,5.506247307195175,65.10365198711064,10.970305902628176,2.985898319689789,93.07272727272728,4.290909090909091,76.62532467532468,70.58823529411765,0.07755277897457992,1.3959500215424385,5.506247307195175,65.10365198711064,10.970305902628176,2.985898319689789,93.07272727272728,4.290909090909091,1.8246674237521618,0.6101342596689007,-0.15758349055849755,-1.0930643482416211,1.1881942919769888,-2.2941566197794874,-0.5897061283603398,-0.1337761942576098,0.22496865154439527,-0.37359287662736057,0,0,0,0,0,0,0,0,0,0
川上　竜,Ryu Kawakami,CB,センターバック,57.756034482758636,69.23076923076923,0.15375854214123008,1.5888382687927107,2.4601366742596813,82.83208955223881,21.375820045558086,5.946611617312072,101.88235294117646,5.098039215686274,57.756034482758636,69.23076923076923,0.15375854214123008,1.5888382687927107,2.4601366742596813,82.83208955223881,21.375820045558086,5.946611617312072,101.88235294117646,5.098039215686274,-0.0632334542012867,0.5001816117945793,0.6353240055296091,-0.7893833700627046,-1.462326518249386,0.6977656676922414,2.383010641734761,1.941190816473789,0.7302957839532799,0.3788217286076796,0,0,0,0,0,0,0,0,0,0
甲斐　健太郎,Kentaro Kai,CB,センターバック,57.88304093567251,65.88352941176471,0.3625045770779934,2.24093738557305,4.4818747711461,77.18948306595365,16.11692054192603,4.5815635298425486,96.75555555555556,4.666666666666667,57.88304093567251,65.88352941176471,0.3625045770779934,2.24093738557305,4.4818747711461,77.18948306595365,16.11692054192603,4.5815635298425486,96.75555555555556,4.666666666666667,-0.05052626747010153,0.2290603726660806,2.8072896023844165,0.23727377715330603,0.29685413680806216,-0.2545032530025223,0.8806131117372743,0.9845194117025319,0.4362186098690788,-0.023307985320941315,0,0,0,0,0,0,0,0,0,0
山田　将之,Masayuki Yamada,CB,センターバック,64.23357664233576,57.15238095238095,0.20323673315769664,2.43884079789236,4.606699284907791,86.8730828615543,21.238780579601052,1.9985961610839293,90.73584905660377,4.452830188679245,64.23357664233576,57.15238095238095,0.20323673315769664,2.43884079789236,4.606699284907791,86.8730828615543,21.238780579601052,1.9985961610839293,90.73584905660377,4.452830188679245,0.5848543861597668,-0.47814912450912483,1.150135837595933,0.5488505719804915,0.4054680419546764,1.3797399195827078,2.3438602919279568,-0.8257106042446497,0.09092345913948785,-0.2226484438550268,0,0,0,0,0,0,0,0,0,0
白井　達也,Tatsuya Shirai,CB,センターバック,57.49375,60.0,0.0,1.4463111760409055,4.7991234477720965,81.74993141289437,10.980920379839299,2.7610737764791815,93.66666666666667,4.791666666666667,57.49375,60.0,0.0,1.4463111760409055,4.7991234477720965,81.74993141289437,10.980920379839299,2.7610737764791815,93.66666666666667,4.791666666666667,-0.0894754113825208,-0.2474963937508001,-0.9645064480379035,-1.0137763414380214,0.5729026198546685,0.5151363161896478,-0.5866737136254335,-0.29134076180267077,0.2590374873905044,0.09321823860155697,0,0,0,0,0,0,0,0,0,0
山本　義道,Norimichi Yamamoto,CB,センターバック,64.27678571428572,56.519565217391296,0.07383100902379,1.070549630844955,3.8022969647251843,82.6737246680643,14.840992616899099,3.0637284659557014,111.8913043478261,6.565217391304348,64.27678571428572,56.519565217391296,0.07383100902379,1.070549630844955,3.8022969647251843,82.6737246680643,14.840992616899099,3.0637284659557014,111.8913043478261,6.565217391304348,0.5891775188286374,-0.5294062185590614,-0.1963078490593549,-1.60537087990188,-0.29446881076026166,0.6710393741441505,0.5160975012580588,-0.07923022181513706,1.3044171942256968,1.7465395896178728,0,0,0,0,0,0,0,0,0,0
大野　佑哉,Yuya  Ono,CB,センターバック,58.950526315789475,65.628125,0.0,2.2529644268774702,5.296442687747036,83.44902962206334,8.578893280632412,1.9760474308300398,105.36585365853658,5.341463414634147,58.950526315789475,65.628125,0.0,2.2529644268774702,5.296442687747036,83.44902962206334,8.578893280632412,1.9760474308300398,105.36585365853658,5.341463414634147,0.05627725114445975,0.20837301103654282,-0.9645064480379035,0.25620900892606185,1.0056364085185603,0.8018829503439915,-1.2729008564607434,-0.8415135093919589,0.9301121546479224,0.605744150325716,0,0,0,0,0,0,0,0,0,0
