FB_Name,SC_Name,analysis_position_code,analysis_position_jp,aerial_duel_win_rate_pct,tackle_win_rate_pct,interceptions_per90,shot_block_proxy_per90,psv99_per_match,medaccel_count_full_all_per_match,highaccel_count_full_all_per_match,track_run_proxy_per_match,def_penalty_area_clearance_proxy_per90,affected_line_break_proxy_per90,line_break_proxy_per90,pass_success_rate_pct,forward_pass_success_rate_pct,successful_long_passes_per90,carry_into_30m_proxy_per90
温井　駿斗,Hayato Nukui,CB,センターバック,49.07222222222223,58.53414634146341,0.0,1.6781954887218045,28.337500000000002,99.80357142857143,4.303571428571429,19.5,2.1924812030075187,20.167227067669177,27.98796992481203,83.32442316064433,72.05676982591876,4.845464661654136,0.0
黒木　謙吾,Kengo  Kuroki,CB,センターバック,63.06193181818182,78.72340425531915,0.0,2.1972098922003807,28.787301587301585,108.92063492063492,5.682539682539683,25.19047619047619,4.4514901712111605,12.698075459733673,22.1718452758402,76.02378908645004,57.271171171171176,2.967574508560558,0.0
蓑田　広大,Kodai  Minoda,CB,センターバック,56.314942528735635,65.07777777777778,0.029116790682626983,2.8825622775800714,28.59122807017544,98.58620689655173,5.551724137931035,22.5,4.018117114202523,12.753474603688126,23.70106761565836,72.09248305606901,53.80970515970516,3.698065351019088,0.0
鈴木　順也,Junya Suzuki,CB,センターバック,54.839247311827954,57.57424242424243,0.13215859030837004,1.9030837004405285,28.03333333333333,99.83333333333333,4.722222222222222,20.425925925925927,3.4889867841409687,15.991400881057267,24.05286343612335,85.35242862439748,66.4843956043956,4.018044052863436,0.0
辻岡　佑真,Yuma  Tsujioka,CB,センターバック,66.84145077720207,75.86551724137931,0.14807502467917077,2.6949654491609083,27.996610169491525,113.44067796610169,6.322033898305085,26.89830508474576,4.4422507403751235,13.862102665350443,26.268509378084897,72.60236432025793,52.77080045095829,5.537324777887463,0.0
鈴木　大誠,Daisei Suzuki,CB,センターバック,59.998,59.45945945945946,0.08530805687203792,1.9905213270142181,27.151724137931033,112.06896551724138,5.620689655172414,26.862068965517242,3.9526066350710902,14.503905213270142,23.004739336492893,82.84752783964365,63.04746600741657,6.454151658767772,0.0
附木　雄也,Yuya Tsukegi,CB,センターバック,60.54495412844037,63.63636363636363,0.03571428571428571,1.5,26.82758620689655,108.98275862068965,4.568965517241379,21.448275862068964,3.357142857142857,18.714214285714288,27.607142857142858,86.44141090242785,67.78758085381631,6.68,0.0
加藤　大育,Daisuke Kato,CB,センターバック,57.822891566265056,54.54545454545454,0.30077979948013367,2.3393984404010397,28.939285714285713,106.57142857142857,6.875,27.160714285714285,3.5425176383215744,13.569279613813592,21.221685852209433,76.17092846270928,63.94062992125985,1.604025250649833,0.0
杉山　耕二,Koji  Sugiyama,CB,センターバック,66.23441558441559,60.004000000000005,0.0590744995077125,1.9494584837545126,27.883333333333333,105.0925925925926,5.925925925925926,23.0,4.430587463078438,12.939058089924515,21.768953068592058,80.83399357601714,59.438127544097696,3.6334952412208725,0.0
秋山　拓也,Takuya Akiyama,CB,センターバック,76.62532467532468,70.58823529411765,0.07755277897457992,1.3959500215424385,26.812727272727273,93.07272727272728,4.290909090909091,14.472727272727273,5.506247307195175,10.970305902628176,21.598448944420507,65.10365198711064,50.79210053859964,2.985898319689789,0.0
川上　竜,Ryu Kawakami,CB,センターバック,57.756034482758636,69.23076923076923,0.15375854214123008,1.5888382687927107,27.166666666666668,101.88235294117646,5.098039215686274,23.215686274509803,2.4601366742596813,21.375820045558086,32.49430523917995,82.83208955223881,65.7832807570978,5.946611617312072,0.0
甲斐　健太郎,Kentaro Kai,CB,センターバック,57.88304093567251,65.88352941176471,0.3625045770779934,2.24093738557305,27.727906976744183,96.75555555555556,4.666666666666667,26.333333333333332,4.4818747711461,16.11692054192603,26.66056389600879,77.18948306595365,60.45228677379482,4.5815635298425486,0.0
山田　将之,Masayuki Yamada,CB,センターバック,64.23357664233576,57.15238095238095,0.20323673315769664,2.43884079789236,27.867924528301888,90.73584905660377,4.452830188679245,15.88679245283019,4.606699284907791,21.238780579601052,28.520888219796763,86.8730828615543,74.46745843230403,1.9985961610839293,0.0
白井　達也,Tatsuya Shirai,CB,センターバック,57.49375,60.0,0.0,1.4463111760409055,26.897872340425533,93.66666666666667,4.791666666666667,25.770833333333332,4.7991234477720965,10.980920379839299,18.14463111760409,81.74993141289437,60.518840579710144,2.7610737764791815,0.0
山本　義道,Norimichi Yamamoto,CB,センターバック,64.27678571428572,56.519565217391296,0.07383100902379,1.070549630844955,28.23695652173913,111.8913043478261,6.565217391304348,23.23913043478261,3.8022969647251843,14.840992616899099,21.189499589827726,82.6737246680643,70.03937282229965,3.0637284659557014,0.0
大野　佑哉,Yuya  Ono,CB,センターバック,58.950526315789475,65.628125,0.0,2.2529644268774702,28.77560975609756,105.36585365853658,5.341463414634147,21.073170731707318,5.296442687747036,8.578893280632412,13.39920948616601,83.44902962206334,64.02536873156343,1.9760474308300398,0.0
野々村　鷹人,Takato Nonomura,CB,センターバック,67.73410138248848,59.45945945945946,0.0818926296633303,2.8662420382165603,28.144897959183673,101.96,5.26,22.48,4.422202001819836,12.48817561419472,21.496815286624205,76.05244407622203,58.093142857142865,2.293157415832575,0.0
野澤　陸,Riku Nozawa,CB,センターバック,63.28860759493672,73.34333333333333,0.278853601859024,2.09140201394268,27.270833333333332,91.54166666666667,4.291666666666667,15.9375,4.601084430673896,16.035127807900853,26.35166537567777,80.03128430296377,60.8505291005291,7.530023237800155,0.0
大嶋　春樹,Haruki Oshima,CB,センターバック,60.41006711409397,72.73030303030303,0.3331790837575197,2.124016658954188,28.34888888888889,101.77777777777777,4.777777777777778,29.844444444444445,4.7061545580749655,12.077491901897272,19.74086071263304,82.99567486950036,61.1801687763713,2.457528921795465,0.0
大森　博,Hiroshi  Omori,CB,センターバック,60.81891891891892,47.82608695652174,0.07194244604316546,2.446043165467626,28.224489795918366,103.74,6.02,25.4,5.107913669064748,29.637769784172658,36.47482014388489,90.22122416534181,81.25542406311638,1.8705035971223023,0.0
深川　大輔,Daisuke  Fukagawa,CB,センターバック,66.66021505376344,57.45319148936171,0.12391005048187241,2.4368976594768244,26.9,90.88636363636364,4.454545454545454,21.022727272727273,3.634694814134924,7.766062413951353,16.025699862322163,75.99626666666666,48.460051546391746,3.139013308857274,0.0
澤田　雄大,Yudai Sawada,CB,センターバック,48.93617021276596,62.8,0.21251475796930341,3.0283353010625738,28.417142857142856,115.8,7.0285714285714285,34.628571428571426,4.250295159386068,12.27198347107438,20.985832349468712,83.40649558941459,58.47746835443037,5.206558441558442,0.0
畑尾　大翔,Hiroto Hatao,CB,センターバック,58.53821138211382,60.0,0.07901668129938542,1.106233538191396,27.055813953488375,77.95348837209302,3.744186046511628,13.093023255813954,3.555750658472344,12.801057945566285,18.33187006145742,87.05982203969883,69.82952586206896,3.63472783143108,0.0
常田　克人,Masato Tokida,CB,センターバック,72.37368421052632,55.17931034482759,0.11925795053003535,2.1068904593639575,28.502631578947366,106.63157894736842,7.421052631578948,28.710526315789473,5.207597173144877,13.953975265017666,23.454063604240286,79.45448275862068,59.49491525423729,3.816969964664312,0.0
二階堂　正哉,Seiya Nikaido,CB,センターバック,57.51592920353982,70.37777777777778,0.0,1.8078175895765471,27.8975,89.375,4.3,17.0,4.348534201954397,15.099674267100976,22.42671009771987,86.49421364985163,67.32897603485839,4.34799674267101,0.0
江川　慶城,Genki Egawa,CB,センターバック,63.041304347826085,59.09090909090909,0.0,1.9883720930232558,27.411363636363635,85.26086956521739,4.413043478260869,19.02173913043478,5.337209302325582,8.894982558139535,15.122093023255815,81.63008631319359,58.82110726643598,2.511627906976744,0.0
冨田　康平,Kohei Tomita,CB,センターバック,56.23125,73.91304347826086,0.0,4.649446494464945,28.855555555555554,114.66666666666667,6.444444444444445,24.055555555555557,4.649446494464945,12.452546125461254,18.265682656826566,80.46206896551725,68.17454545454545,1.6615129151291512,0.0
雪江　悠人,Hiroto Yukie,CB,センターバック,50.003846153846155,88.88888888888889,0.6691449814126393,2.007434944237918,27.818,86.44,5.22,28.16,1.3382899628252787,4.851133828996283,13.048327137546467,57.607373271889394,37.178205128205136,0.8365985130111524,0.0
奥田　雄大,Yudai Okuda,CB,センターバック,60.9,60.002857142857145,0.08928571428571427,1.830357142857143,29.1,84.11111111111111,5.5777777777777775,21.333333333333332,3.705357142857143,12.634107142857143,22.232142857142858,75.65321188878235,56.82811244979919,2.9012946428571427,0.0
中村　勇太,Yuta Nakamura,CB,センターバック,58.43766233766233,57.99799999999999,0.0634920634920635,1.7142857142857144,27.48787878787879,102.15151515151516,4.2727272727272725,21.424242424242426,2.984126984126984,18.224031746031745,26.88888888888889,84.8207451701932,67.77532467532468,4.0962539682539685,0.0
菊地　脩太,Shuta Kikuchi,CB,センターバック,,,,,27.099999999999998,98.73684210526316,4.7894736842105265,21.710526315789473,,,,,,,0.0
宮部　大己,Taiki Miyabe,CB,センターバック,67.44651162790699,69.99499999999999,0.06254343293954134,2.9395413481584436,27.980851063829785,80.61702127659575,4.9787234042553195,17.51063829787234,3.3773453787352326,10.94728978457262,16.69909659485754,85.06695652173913,65.5561797752809,2.31416956219597,0.0
工藤　孝太,Kota Kudo,CB,センターバック,69.94404145077719,70.37592592592593,0.1388888888888889,1.5277777777777777,27.929166666666664,99.625,5.166666666666667,21.25,4.722222222222222,14.444722222222222,24.52777777777778,77.9300880372864,58.89127972819932,3.138388888888889,
市原　亮太,Ryota  Ichihara,CB,センターバック,62.4985576923077,64.0703125,0.11399620012666245,1.9949335022165928,29.134615384615383,109.42307692307692,6.038461538461538,32.76923076923077,3.448385053831539,13.310766307789743,22.5427485750475,71.80602923264311,59.04677623261695,2.7361937935402154,
金浦　真樹,Masaki Kaneura,CB,センターバック,40.826530612244895,69.23076923076923,0.0,2.058613295210865,26.98478260869565,78.41304347826087,3.1956521739130435,23.47826086956522,3.1522516082916368,17.629771265189422,27.46962115796998,81.12146542827658,64.1791569086651,6.369092208720513,0.0
佐藤　喜生,Yoshiki Sato,CB,センターバック,,,,,27.647222222222222,98.25,6.083333333333333,25.22222222222222,,,,,,,0.0
加藤　徹也,Tetsuya Kato,CB,センターバック,59.545505617977526,67.68383838383839,0.23203351595230423,2.9874315178859168,28.085185185185182,108.44444444444444,5.925925925925926,36.407407407407405,2.6973896229455363,12.705140186915887,21.231066709635837,75.22681528662422,59.842213114754095,3.2192039961327747,
宗近　慧,Kei Munechika,CB,センターバック,69.4562874251497,72.88305084745762,0.12064343163538874,1.779490616621984,28.97083333333333,101.33333333333333,5.833333333333333,19.666666666666668,4.916219839142092,13.753140080428953,21.353887399463805,79.07412541254126,64.40579096045197,2.533632707774799,
千布　一輝,Kazuki Chibu,CB,センターバック,,,,,27.28611111111111,108.5,5.055555555555555,19.444444444444443,,,,,,,0.0
池ヶ谷　颯斗,Hayato Ikegaya,CB,センターバック,55.62625,69.84761904761905,0.03063308373042886,2.69571136827774,28.714999999999996,98.4,5.0,25.1,3.0020422055820286,14.120258679373723,20.340367597004768,80.43086956521739,69.41987951807228,1.470510551395507,
マテイ　ヨニッチ,Matej Jonjić,CB,センターバック,,,,,27.418181818181818,103.03030303030303,5.2727272727272725,22.21212121212121,,,,,,,0.0
大畑　隆也,Ryuya Ohata,CB,センターバック,,,,,27.45151515151515,105.60606060606061,5.333333333333333,26.757575757575758,,,,,,,0.0
篠﨑　輝和,Terukazu Shinozaki,CB,センターバック,55.55555555555556,100.0,0.5,0.5,29.04848484848485,106.06060606060606,6.121212121212121,25.333333333333332,4.0,16.5,24.0,88.48992805755395,68.75,8.0,0.0
沼田　航征,Kosei Numata,CB,センターバック,43.480434782608704,68.19090909090909,0.0749375520399667,2.0233139050791005,25.928571428571427,78.3265306122449,3.489795918367347,25.102040816326532,1.4987510407993339,12.139508742714407,20.308076602830972,82.65072324011572,59.776752767527675,6.220416319733555,0.0
鈴木　俊也,Shunya Suzuki,CB,センターバック,0.0,50.0,0.0,7.5,28.626470588235293,92.97058823529412,6.117647058823529,21.352941176470587,11.25,18.75,33.75,77.29545454545456,55.55555555555556,0.0,0.0
市原　吏音,Rion Ichihara,CB,センターバック,71.9474820143885,52.628947368421066,0.13358070500927643,1.7031539888682745,27.30454545454546,108.04545454545455,5.181818181818182,20.59090909090909,4.441558441558442,14.827424860853435,23.410018552875698,81.07316176470587,63.33794579172611,3.439636363636364,
村上　陽介,Yosuke Murakami,CB,センターバック,58.825294117647054,61.11481481481482,0.13358070500927643,2.0037105751391464,27.65,88.3076923076923,3.769230769230769,19.23076923076923,4.675324675324676,10.419829313543598,19.20222634508349,77.86285525446132,54.26365217391304,2.7723339517625236,
庄司　朋乃也,Honoya Shoji,CB,センターバック,57.46781609195403,79.17083333333333,0.0,1.6273972602739726,27.95,91.7,4.933333333333334,18.866666666666667,4.093150684931507,13.709736986301369,21.797260273972604,76.25183946488295,62.89660633484164,3.994717808219178,0.0
岩﨑　博,Hiroshi  Iwasaki,CB,センターバック,,,,,28.675,109.5,6.53125,27.625,,,,,,,0.0
高橋　勇利也,Yuriya Takahashi,CB,センターバック,,,,,27.33,121.73333333333333,6.3,28.5,,,,,,,0.0
福森　直也,Naoya Fukumori,CB,センターバック,60.46744186046512,72.22222222222221,0.03452243958573072,1.2773302646720368,27.549999999999997,102.61538461538461,4.615384615384615,22.576923076923077,3.9355581127733026,8.527663981588033,15.189873417721518,79.83165957446809,56.140454545454546,3.2451783659378597,
浦上　仁騎,Niki Urakami,CB,センターバック,50.35594405594406,56.4076923076923,0.1039661147477859,2.4605313823642665,27.09090909090909,118.54545454545455,4.954545454545454,25.136363636363637,3.084328070850982,15.631721216788602,23.877551020408166,82.48432835820897,65.46618287373003,3.153742780130921,
平松　航,Wataru Hiramatsu,CB,センターバック,,,,,28.079310344827583,102.65517241379311,5.586206896551724,21.379310344827587,,,,,,,0.0
井上　竜太,Ryota Inoue,CB,センターバック,73.19587628865979,68.0,0.035115099492781895,1.4748341786968397,28.51304347826087,94.52173913043478,5.739130434782608,19.47826086956522,2.9496683573936795,15.274365977370268,24.088958252048382,81.28037439613526,63.408163265306115,4.7400819352321495,
高橋　祥平,Shohei Takahashi,CB,センターバック,56.53043478260871,50.00833333333333,0.0,2.039408866995074,27.54137931034483,94.20689655172414,4.655172413793103,17.137931034482758,3.7241379310344827,17.205073891625613,24.11822660098522,85.9913561847988,71.33639705882354,5.0551625615763545,0.0
森　侑里,Yuri Mori,CB,センターバック,56.38297872340425,61.3659090909091,0.07211538461538461,2.1634615384615388,27.533333333333335,90.38888888888889,4.166666666666667,16.333333333333332,3.4975961538461537,23.079519230769225,30.43269230769231,87.50177083333334,75.83791469194313,3.24515625,
松本　大輔,Daisuke Matsumoto,CB,センターバック,,,,,27.124242424242425,90.61764705882354,4.676470588235294,19.11764705882353,,,,,,,0.0
中里　崇宏,Takahiro Nakazato,CB,センターバック,44.303797468354425,71.7413043478261,0.22013860578883,1.6510395434162248,25.38125,100.0625,2.875,25.3125,2.4582144313086016,17.79538116591928,29.02160619649409,77.50813633864762,61.31769911504424,5.063628210354667,
柳下　大樹,Daiki Yagishita,CB,センターバック,63.62237762237763,57.88947368421052,0.1258741258741259,2.1398601398601396,27.948,86.0,4.44,23.04,3.2307692307692304,12.753524475524472,23.95804195804196,66.04986595174263,53.23274956217162,2.937524475524476,0.0
山下　諒時,Ryoji Yamashita,CB,センターバック,54.392307692307696,39.47105263157895,0.11455239711497665,2.3674162070428513,26.894444444444446,95.5,4.611111111111111,31.055555555555557,4.2002545608824775,16.878990241832838,27.645311837081035,76.70110893672538,61.05552486187845,3.895163343232923,
大和　優槻,Yuzuki  Yamato,CB,センターバック,65.997,44.44444444444444,0.08866995073891625,2.2167487684729066,28.204166666666666,70.38461538461539,3.5,14.76923076923077,3.857142857142857,11.481916256157636,19.108374384236452,77.86153846153846,60.08839907192576,3.5471083743842367,0.0
近石　哲平,Teppei Chikaishi,CB,センターバック,64.99999999999999,43.75208333333334,0.08310249307479224,3.074792243767313,27.439999999999998,88.3,3.85,16.35,5.2770083102493075,9.350360110803324,17.825484764542935,74.25963983050848,52.45501165501166,3.2829224376731303,0.0
永野　修都,Shuto Nagano,CB,センターバック,,,,,27.25,113.3,4.933333333333334,38.6,,,,,,,0.0
藤谷　匠,Takumi Fujitani,CB,センターバック,,,,,28.7551724137931,98.65517241379311,5.724137931034483,20.344827586206897,,,,,,,0.0
黒石　貴哉,Takaya Kuroishi,CB,センターバック,58.861702127659576,52.94117647058824,0.39858281665190437,2.1922054915854736,28.90555555555555,100.77777777777777,6.444444444444445,29.5,4.105403011514614,8.530389725420727,17.856510186005316,63.272507869884585,47.771875,1.0762134632418068,
神山　京右,Kyosuke Kamiyama,CB,センターバック,58.69347826086957,66.67037037037038,0.199468085106383,2.393617021276596,26.90666666666667,94.06666666666666,5.0,22.466666666666665,3.710106382978723,15.759853723404254,24.295212765957448,81.84781704781705,64.86814449917898,4.985505319148936,
田代　真一,Masakazu Tashiro,CB,センターバック,53.48837209302325,70.0,0.13206162876008803,1.2545854732208364,26.09259259259259,88.25925925925925,4.222222222222222,17.40740740740741,4.4900953778429935,8.254247982391783,14.394717534849596,84.48462623413258,57.34220183486238,3.697989728539986,0.0
長倉　颯,Hayate Nagakura,CB,センターバック,,,,,27.696153846153848,105.26923076923077,5.076923076923077,30.153846153846153,,,,,,,0.0
加藤　慎太郎,Shintaro Kato,CB,センターバック,55.247368421052634,32.35294117647059,0.0862895493767977,3.2790028763183128,28.58181818181818,91.04545454545455,4.363636363636363,22.272727272727273,3.969319271332694,11.391860019175457,22.86673058485139,68.26215213358071,49.81849056603774,2.503432406519655,0.0
深港　壮一郎,Soichiro Fukaminato,CB,センターバック,64.2936507936508,75.50408163265307,0.041455550437586364,2.28005527406725,27.813636363636363,75.29166666666667,4.583333333333333,18.5,4.6015660985720865,11.525016121602949,21.598341777982498,71.3700888450148,53.36065259117083,2.1140257945647165,
花房　稔,Minoru Hanafusa,CB,センターバック,47.91354166666667,63.04347826086957,0.20833333333333331,2.25,27.572222222222223,96.22222222222223,4.277777777777778,22.22222222222222,3.4166666666666665,11.125749999999998,19.541666666666664,76.80267034990791,56.93347547974413,2.7496666666666667,
井上　航希,Koki Inoue,CB,センターバック,65.69142857142857,66.67777777777778,0.16666666666666669,1.3333333333333335,27.29565217391304,95.17391304347827,4.956521739130435,16.47826086956522,3.0,23.503500000000006,31.499999999999996,88.35067961165049,74.61428571428571,3.8324999999999996,0.0
水口　湧斗,Yuto Minakuchi,CB,センターバック,62.88556701030929,75.0125,0.06583760058522312,1.9751280175566934,27.851999999999997,73.14814814814815,4.703703703703703,15.296296296296296,3.555230431602048,8.623013899049011,15.932699341623993,67.72421524663677,54.12148760330579,2.1723774689100215,0.0
杉田　隼,Hayato Sugita,CB,センターバック,,,,,28.442307692307693,90.03846153846153,5.961538461538462,26.96153846153846,,,,,,,0.0
ピトリック,Kevin Pytlik,CB,センターバック,,,,,29.162499999999998,105.75,7.041666666666667,28.166666666666668,,,,,,,0.0
當麻　颯,Hayate Toma,CB,センターバック,,,,,27.882608695652173,108.3913043478261,4.913043478260869,25.26086956521739,,,,,,,0.0
左合　修土,Shuto Sago,CB,センターバック,100.0,0.0,0.0,0.0,29.490625,80.125,5.15625,29.21875,5.0,10.0,15.0,76.48235294117647,66.66666666666666,0.0,0.0
綿引　康,Ko Watahiki,CB,センターバック,32.25806451612904,64.28571428571429,0.1258741258741259,3.6503496503496504,27.94285714285714,108.0,6.333333333333333,32.714285714285715,2.265734265734266,4.15434965034965,9.314685314685315,69.41882352941177,44.599999999999994,1.510993006993007,0.0
野瀬　翔也,Shoya  Nose,CB,センターバック,,,,,28.372,91.68,4.84,21.16,,,,,,,0.0
深津　康太,Kota Fukatsu,CB,センターバック,72.61428571428571,50.003846153846155,0.3915171288743882,2.104404567699837,27.01111111111111,82.72222222222223,4.666666666666667,14.444444444444445,6.117455138662317,10.473621533442087,18.107667210440457,80.0739320920044,57.84081081081081,4.405057096247961,
長谷川　光基,Koki Hasegawa,CB,センターバック,28.94473684210526,81.81818181818183,0.0,3.7138927097661623,26.39090909090909,75.63636363636364,4.136363636363637,19.454545454545453,2.723521320495186,12.010110041265476,17.083906464924347,82.67841945288754,70.30072463768114,2.5992297111416782,0.0
砂森　和也,Kazuya Sunamori,CB,センターバック,53.84615384615385,79.98666666666666,0.4433497536945813,1.7733990147783252,26.684615384615384,98.84615384615384,4.846153846153846,23.53846153846154,1.9950738916256159,14.85177339901478,23.054187192118228,77.07549407114624,64.42115384615386,3.5467980295566504,0.0
齊藤　隆成,Ryusei Saito,CB,センターバック,48.62477064220184,56.259375,0.1003904071388734,1.6564417177914113,28.2,89.81818181818181,4.7272727272727275,21.545454545454547,5.521472392638037,8.08303402119353,16.162855549358618,65.77147950089126,50.00993788819876,1.9575627440044618,
