player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Shota Nishino,Shota Nishino,讃岐,2024|讃岐,2024|讃岐|1202.47,2024-2025,1202.47,RCB,797.01,66.28,Central Defender,LCB,294.18,24.46,Central Defender,"RCB(797min/66.3%), LCB(294min/24.5%), CB(99min/8.3%), RF(12min/1.0%)",CB,センターバック,RCB (Position Group: Central Defender)
Shota Shimogami,Shota Shimogami,岩手,2024|岩手,2024|岩手|367.47,2024-2025,367.47,RM,133.95,36.45,Midfield,LM,126.5,34.42,Midfield,"RM(134min/36.5%), LM(126min/34.4%), LWB(79min/21.4%), LDM(28min/7.7%)",SH,サイドハーフ,RM (Position Group: Midfield)
Shota Tamura,Shota Tamura,奈良,2025|奈良,2025|奈良|2144.08,2024-2025,2144.08,Center Forward,1822.11,84.98,Center Forward,Right Winger,306.64,14.3,Wide Attacker,"Center Forward(1822min/85.0%), Right Winger(307min/14.3%), Left Winger(15min/0.7%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Shota Tanaka,Shota Tanaka,群馬,2025|群馬; 2024|鳥取,2025|群馬|1149.79; 2024|鳥取|861.23,2024-2025,2011.02,CF,823.96,40.97,Center Forward,Left Wing Back,547.35,27.22,Full Back,"CF(824min/41.0%), Left Wing Back(547min/27.2%), Right Wing Back(317min/15.7%), Center Forward(116min/5.8%), Left Midfield(58min/2.9%), Right Winger(43min/2.2%), RF(37min/1.9%), Left Forward(30min/1.5%), Left Winger(25min/1.2%), Right Midfield(13min/0.7%)",FW,フォワード,CF (Position Group: Center Forward)
Shota Yomesaka,Shota Yomesaka,奈良,2024|奈良; 2025|奈良,2024|奈良|802.33; 2025|奈良|165.62,2024-2025,967.95,RW,553.4,57.17,Wide Attacker,Left Wing Back,165.62,17.11,Full Back,"RW(553min/57.2%), Left Wing Back(166min/17.1%), RF(146min/15.1%), LF(46min/4.7%), LWB(30min/3.1%), CF(27min/2.8%)",SH,サイドハーフ,RW (Position Group: Wide Attacker)
Shoya Koyama,Shoya Koyama,讃岐,2024|讃岐,2024|讃岐|29.40,2024-2025,29.4,CF,29.4,100.0,Center Forward,,,,,CF(29min/100.0%),FW,フォワード,CF (Position Group: Center Forward)
Shoya Nose,Shoya Nose,群馬,2025|群馬,2025|群馬|2078.15,2024-2025,2078.15,Right Center Back,1795.68,86.41,Central Defender,Center Back,219.25,10.55,Central Defender,"Right Center Back(1796min/86.4%), Center Back(219min/10.6%), Left Midfield(35min/1.7%), Left Center Back(15min/0.7%), Right Winger(13min/0.6%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
Shu Yoshizawa,Shu Yoshizawa,宮崎,2025|宮崎; 2024|宮崎,2025|宮崎|1317.83; 2024|宮崎|920.67,2024-2025,2238.5,Center Forward,804.55,35.94,Center Forward,CF,636.81,28.45,Center Forward,"Center Forward(805min/35.9%), CF(637min/28.4%), Attacking Midfield(242min/10.8%), AM(232min/10.4%), Left Winger(177min/7.9%), Left Defensive Midfield(52min/2.3%), Right Defensive Midfield(28min/1.2%), RW(26min/1.1%), LDM(18min/0.8%), Right Winger(15min/0.7%), LB(6min/0.3%), LW(2min/0.1%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Shuhei Kunihiro,Shuhei Kunihiro,相模原,2024|相模原,2024|相模原|292.17,2024-2025,292.17,CB,292.17,100.0,Central Defender,,,,,CB(292min/100.0%),CB,センターバック,CB (Position Group: Central Defender)
Shuichi Sakai,Shuichi Sakai,長野,2025|長野,2025|長野|831.30,2024-2025,831.3,Right Center Back,730.86,87.92,Central Defender,Center Back,91.74,11.04,Central Defender,"Right Center Back(731min/87.9%), Center Back(92min/11.0%), Left Midfield(9min/1.0%)",CB,センターバック,Right Center Back (Position Group: Central Defender)
