player_name,team_name,match_id,match_date,competition_name,season_name,position,position_group,minutes_full_all,source_year
Tomohiko Miyazaki,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,13.87,2024
Takeaki Harigaya,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,74.3,2024
Daigo Araki,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,96.87,2024
Kiichi Yajima,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,69.8,2024
Takuto Kato,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,DM,Midfield,83.0,2024
Yuto  Ozeki,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,83.0,2024
Shohei Aihara,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,33.35,2024
Takayuki Arakaki,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,13.42,2024
Masayuki Yamada,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.87,2024
Ryo  Nishitani,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,13.42,2024
Kazuki Dohana,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.87,2024
Yoshihiro Shoji,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,96.87,2024
Kosuke Fujioka,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,83.45,2024
Ryoma Ishida,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,96.87,2024
Kentaro Kai,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.87,2024
Genichi Endo,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,4.95,2024
Ryu Kawakami,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.87,2024
In-Ju Mun,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,91.92,2024
Ryoma  Kita,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,83.45,2024
Oji Kawanami,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,63.52,2024
Hiroki Higuchi,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,27.07,2024
Kota Mori,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LF,Wide Attacker,96.87,2024
Uheiji Uehata,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,22.57,2024
Naoki Suzu,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,96.87,2024
Kento Awano,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,13.87,2024
Toru Shibata,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,96.87,2024
Ryo Shiohama,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,69.8,2024
Kazumasa  Shimizu,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,27.07,2024
Hirofumi Yamauchi,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,63.52,2024
Yuya Taguchi,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,33.35,2024
Yushi Hasegawa,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,28.68,2024
Ryo Takano,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,90.48,2024
Kota Kudo,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.93,2024
Ryo Nagai,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,83.93,2024
Yuzo Iwakami,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,68.25,2024
Yuji Senuma,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,76.47,2024
Takumu Fujinuma,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,20.47,2024
Riku Tanaka,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,6.45,2024
Ryoji Yamashita,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.93,2024
Riku Hashimoto,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,6.45,2024
Ko Watahiki,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,90.48,2024
Taira Maeda,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,68.25,2024
Shuhei Kunihiro,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,96.93,2024
Takumi Nishiyama,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,DM,Midfield,96.93,2024
Rio Yoshitake,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,28.68,2024
Kazuki Fukui,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,96.93,2024
Kohei Kiyama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LDM,Midfield,96.93,2024
Taku Ushinohama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,72.27,2024
Asahi Yada,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,AM,Midfield,39.22,2024
Takaya Inui,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,96.93,2024
Shun  Hirayama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,AM,Midfield,57.72,2024
Koji  Sugiyama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.93,2024
Bunta Ino,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RDM,Midfield,13.0,2024
Kaoru Yamawaki,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,13.0,2024
Kakeru Sakamoto,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,96.93,2024
Rimpei Okano,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,24.67,2024
Shoma Takayoshi,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RDM,Midfield,83.93,2024
Seung-Jin Koh,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,83.93,2024
Sota Watanabe,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,13.0,2024
Yuto Minakuchi,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.93,2024
Hiroki Fujiharu,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,97.3,2024
Daisuke Takagi,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,31.25,2024
Kosei Okazawa,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,97.3,2024
Patrik Gustavsson,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,11.35,2024
Ryota Iwabuchi,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,AM,Midfield,47.58,2024
Haruto Shirai,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,66.05,2024
Yu Tomidokoro,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,49.72,2024
Yuta Sato,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,97.3,2024
Junya Suzuki,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,97.3,2024
Makito Uehara,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,78.08,2024
Yushin Koki,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,78.08,2024
Sho Hiramatsu,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,AM,Midfield,97.3,2024
Kazuto  Takezawa,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,19.22,2024
Yuri Mori,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,97.3,2024
Takeshi Yoshimoto,FC Ryūkyū,1734336,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,19.22,2024
Haruhi Terashima,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,49.7,2024
Shota Yomesaka,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,30.15,2024
Kensei Nakashima,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,85.95,2024
Yota Shimokawa,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,97.3,2024
Daisei Suzuki,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,97.3,2024
Yuki Okada,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,97.3,2024
Rin Morita,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,11.35,2024
Megumu Nishida,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,67.15,2024
Wataru Ise,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,85.95,2024
Hayato Horiuchi,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,97.3,2024
Kei Ikoma,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,47.6,2024
Manato Hyakuda,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,97.3,2024
Yuto Kunitake,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,30.15,2024
Ryota Kuwajima,Nara Club,1734336,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,67.15,2024
Sosuke Shibata,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,16.93,2024
Kenyu Sugimoto,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,AM,Midfield,97.05,2024
Kodai  Minoda,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,97.05,2024
Toya  Izumi,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,97.05,2024
Mizuki Hamada,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,97.05,2024
Fumiya Takayanagi,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,18.87,2024
Masato Kojima,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,97.05,2024
Rikiya Motegi,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,97.05,2024
Toshiki Ishikawa,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,78.18,2024
Tomoya Osawa,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,18.87,2024
Rion Ichihara,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,97.05,2024
Seiya Nakano,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,78.18,2024
Oriola Sunday,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,80.12,2024
Daiki Yagishita,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,97.05,2024
Naoya Senoo,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,34.4,2024
Tomoki Fujisaki,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,97.05,2024
Koki Maezawa,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,80.12,2024
Hiroto Yukie,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,30.37,2024
Masashi Kokubun,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,34.4,2024
Naoyuki Yamada,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,DM,Midfield,97.05,2024
Daisuke Inazumi,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,97.05,2024
Kai  Sasaki,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,16.93,2024
Aoi Sato,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,62.65,2024
Kazuma Nagata,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,66.68,2024
Riku Yamauchi,Vanraure Hachinohe,1734337,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,62.65,2024
Katsuya Nakano,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,69.75,2024
Wakaba Shimoguchi,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,90.15,2024
Kazushi Fujii,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,27.3,2024
Yuta Ueda,Omiya Ardija,1734337,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,6.9,2024
Yohei Toyoda,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,20.72,2024
Takayoshi Ishihara,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LB,Full Back,98.33,2024
Norimichi Yamamoto,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,98.33,2024
Yuki Kajiura,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,98.33,2024
Taiki Kato,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,77.62,2024
Keisuke Oyama,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,68.7,2024
Hiroto Hatao,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,98.33,2024
Yuki  Nishiya,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,29.63,2024
Ryota Inoue,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,20.72,2024
Kyohei Sugiura,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,77.62,2024
Masaya Kojima,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,RB,Full Back,98.33,2024
Shintaro Shimada,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,88.67,2024
Yuto Nagamine,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LWB,Full Back,9.67,2024
Hayato Otani,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,88.67,2024
Hayase Takashio,Ishikawa FC Zweigen Kanazawa,1734342,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,9.67,2024
Kenshiro Suzuki,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,93.92,2024
Tatsuya Anzai,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RB,Full Back,98.33,2024
Naoki Sato,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,AM,Midfield,9.4,2024
Kotaro Tokunaga,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RDM,Midfield,79.38,2024
Takumi Hama,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,LB,Full Back,98.33,2024
Takuya Sugai,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,LDM,Midfield,98.33,2024
Kosei Numata,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RDM,Midfield,18.95,2024
Takumi Tsukui,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,18.95,2024
Yuma Mori,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,79.38,2024
Kyota Mochii,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,AM,Midfield,88.93,2024
Yuya Tsukegi,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,98.33,2024
Hagumi Wada,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,93.92,2024
Shigeo Miyawaki,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,4.42,2024
Yuta Nakamura,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,98.33,2024
Hinata Mukai,FC Azul Claro Numazu,1734342,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,4.42,2024
Aria Jasuru Hasegawa,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,DM,Midfield,12.7,2024
Naoya Fukumori,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,97.17,2024
Tomás Moschión,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,97.17,2024
Toyofumi Sakano,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,88.5,2024
Hiroto Sese,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,DM,Midfield,84.47,2024
Marcus Vinicius Ferreira Teixeira,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,97.17,2024
Hikaru Arai,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,97.17,2024
Tatsuya Shirai,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,97.17,2024
Takafumi Yamada,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,72.4,2024
Takatora Kondo,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,93.92,2024
Ryota  Ichihara,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,RB,Full Back,97.17,2024
Taisei Takase,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,24.77,2024
Tetsuya Kato,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,LB,Full Back,97.17,2024
Kenshin Yuba,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,3.25,2024
Keita Tanaka,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RB,Full Back,97.17,2024
Hayato Nukui,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,97.17,2024
Yuta Togashi,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,63.72,2024
Makoto Fukoin,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,97.17,2024
Naoto Miki,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,75.23,2024
Sota  Higashide,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,75.23,2024
Hideatsu Ozawa,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,21.93,2024
Seiya Nikaido,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,97.17,2024
Tsuneyasu  Mio,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,33.45,2024
Ryuto Koizumi,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,LB,Full Back,97.17,2024
Daichi Soga,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,63.72,2024
Yuhei Nishida,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,21.93,2024
Shota Tanaka,Gainare Tottori,1734339,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,33.45,2024
Yuma Matsumoto,FC Imabari,1734339,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,8.67,2024
Hayate Take,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,30.82,2024
Takaya Kuroishi,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,97.68,2024
Koken Kato,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,19.88,2024
Teppei Usui,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,87.55,2024
Takashi Kondo,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,97.68,2024
Kensei Ukita,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,77.8,2024
Hayato Ikegaya,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,CB,Central Defender,97.68,2024
Hayate Sugii,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,97.68,2024
Kosuke Tanaka,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,LWB,Full Back,97.68,2024
Yasufumi Nishimura,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,77.8,2024
Naoki Sanda,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,87.55,2024
Kyoji Kutsuna,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,19.88,2024
Kazuya Ando,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RWB,Full Back,19.88,2024
Hinata Konishi,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RWB,Full Back,77.8,2024
Su-bin Park,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,10.13,2024
Yuki Morikawa,AC Parceiro Nagano,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,10.13,2024
Shunsuke Tachino,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LB,Full Back,95.97,2024
Ryusei Saito,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,97.68,2024
Sang-Ho Woo,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,10.0,2024
Takuya Akiyama,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,97.68,2024
Daigo Furukawa,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,66.87,2024
Naoki Tanaka,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,66.87,2024
Kaito Hayashida,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,1.72,2024
Yuta Shimozawa,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,87.68,2024
Seigo Takei,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,97.68,2024
Takumi Shimada,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,30.82,2024
Kazuya Mima,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,RB,Full Back,97.68,2024
Rui Tone,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,LW,Wide Attacker,30.82,2024
Rikuto Kubo,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,RW,Wide Attacker,97.68,2024
Takahiro Kitsui,FC Osaka,1734344,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,66.87,2024
Daigo Nishi,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LWB,Full Back,64.68,2024
Ken Tokura,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,32.15,2024
Ryo Niizato,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,79.27,2024
Mizuki  Uchida,Kamatamare Sanuki,1734341,2024-02-25,JPN - J3 League,2024/2024,RWB,Full Back,96.83,2024
Niina Tominaga,Kamatamare Sanuki,1734341,2024-02-25,JPN - J3 League,2024/2024,AM,Midfield,93.75,2024
Tsuyoshi Miyaichi,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RWB,Full Back,96.83,2024
Shumpei Fukahori,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,CF,Center Forward,64.68,2024
Mamoru Kamisasanuki,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RWB,Full Back,32.15,2024
Toi Kagami,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,40.02,2024
Kenneth Otabor,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RF,Wide Attacker,56.82,2024
Yuzuki  Yamato,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RCB,Central Defender,96.83,2024
Daisuke  Fukagawa,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,CB,Central Defender,96.83,2024
Tsubasa  Yuge,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,RM,Midfield,96.83,2024
Sota  Kiri,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,17.57,2024
Ryo Saito,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LCB,Central Defender,96.83,2024
Shuto  Adachi,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LM,Midfield,17.57,2024
Kanta Komatsu,Grulla Morioka,1734341,2024-02-25,JPN - J3 League,2024/2024,LF,Wide Attacker,79.27,2024
